Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CHI,NOP,1,-12,1.77,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3
2024-10-26,CHI,OKC,0,-19,4.43,1,1,1,1,0,0,0,0,1,0,0,0,0,3,1
2024-11-06,CHI,DAL,1,-20,7.6,2,1,2,1,4,6,0,2,1,0,0,0,0,7,5
2024-11-07,CHI,MIN,0,-16,1.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-11-15,CHI,CLE,1,-18,0.77,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-3
2024-11-17,CHI,HOU,0,-36,12.0,4,2,2,0,2,2,1,2,0,0,0,0,1,6,-6
2024-11-20,CHI,MIL,1,-16,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-23,CHI,MEM,0,-11,4.6,1,1,1,1,0,0,1,2,0,0,0,0,0,3,9
2024-11-26,CHI,WAS,1,19,1.92,2,0,1,0,0,0,1,2,1,0,0,0,0,0,-5
2024-11-27,CHI,ORL,1,-14,4.42,3,2,1,1,0,0,0,2,0,0,0,0,1,5,8
2024-12-02,CHI,BRK,0,26,4.43,1,0,1,0,0,0,1,4,1,0,0,1,1,0,2
2024-12-05,CHI,SAS,1,15,4.27,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1
