Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ATL,BRK,0,4,19.52,5,3,0,0,0,0,1,7,1,1,1,1,0,6,0
2024-10-25,ATL,CHO,0,5,21.55,2,2,0,0,2,2,1,7,1,1,2,2,3,6,4
2024-10-27,ATL,OKC,1,-24,21.58,8,3,0,0,0,1,5,10,2,1,1,0,1,6,-4
2024-10-28,ATL,WAS,0,-2,24.88,6,6,0,0,4,6,1,4,2,1,1,2,4,16,6
2024-10-30,ATL,WAS,1,-13,23.88,7,5,0,0,2,2,0,5,0,0,0,2,2,12,-15
2024-11-01,ATL,SAC,0,-8,28.8,9,7,0,0,1,1,3,10,1,0,0,0,4,15,-4
2024-11-03,ATL,NOP,1,15,20.65,5,4,0,0,0,0,0,4,0,0,1,0,1,8,27
2024-11-04,ATL,BOS,0,-30,16.78,3,1,0,0,0,0,0,5,1,0,0,1,1,2,-17
2024-11-06,ATL,NYK,0,5,27.87,8,8,0,0,2,2,4,6,1,0,0,1,3,18,0
2024-11-08,ATL,DET,1,-1,18.67,10,3,0,0,1,4,7,12,2,0,0,2,1,7,-4
