Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ORL,MIA,1,19,17.5,7,0,5,0,0,0,0,3,6,0,0,2,2,0,8
2024-10-25,ORL,BRK,0,15,19.58,3,1,2,1,1,2,0,1,2,3,0,1,2,4,5
2024-10-26,ORL,MEM,1,-13,7.6,3,2,1,0,0,0,0,0,2,1,0,2,1,4,-11
2024-10-28,ORL,IND,0,4,11.2,3,0,2,0,0,0,2,5,1,0,1,3,2,0,2
2024-11-01,ORL,CLE,1,-11,8.07,4,1,0,0,0,1,0,1,2,0,0,1,1,2,1
2024-11-03,ORL,DAL,1,-23,14.37,6,3,2,1,2,4,0,3,3,1,0,1,2,9,2
2024-11-04,ORL,OKC,1,-16,3.17,2,0,1,0,0,0,0,2,1,1,0,0,0,0,1
2024-11-08,ORL,NOP,0,27,12.0,5,3,3,1,1,2,0,6,2,1,0,1,0,8,14
2024-11-10,ORL,WAS,0,27,15.32,4,3,3,2,8,8,1,2,0,0,0,2,2,16,6
2024-11-12,ORL,CHO,0,25,9.65,5,2,2,1,1,2,1,3,2,1,0,1,2,6,-6
2024-11-13,ORL,IND,0,4,4.58,4,1,1,0,0,0,0,2,1,0,0,0,0,2,-1
2024-11-15,ORL,PHI,0,12,4.32,2,0,1,0,0,0,0,0,0,0,0,1,1,0,-8
2024-11-18,ORL,PHO,1,10,3.43,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-2
2024-11-20,ORL,LAC,1,-11,3.2,1,1,0,0,1,2,0,0,1,0,0,1,0,3,3
2024-11-21,ORL,LAL,1,1,4.37,2,1,1,0,0,0,0,0,0,0,0,1,1,2,2
2024-11-23,ORL,DET,0,11,10.43,6,1,2,0,2,2,1,2,1,0,0,1,2,4,-5
2024-11-25,ORL,CHO,1,11,26.68,12,6,4,2,2,3,1,8,4,0,0,1,4,16,15
2024-11-27,ORL,CHI,0,14,11.08,6,3,3,1,2,2,0,1,1,0,0,1,2,9,-7
2024-11-29,ORL,BRK,1,23,3.28,1,1,1,1,0,0,0,0,1,1,0,0,0,3,2
