Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,UTA,MEM,0,-2,24.98,8,5,0,0,6,8,0,2,3,1,1,4,2,16,-3
2024-10-25,UTA,GSW,0,-41,20.57,13,4,2,0,4,5,1,2,1,0,0,4,1,12,-17
2024-10-28,UTA,DAL,1,-8,27.68,11,9,3,2,3,4,0,4,2,1,0,2,3,23,1
2024-10-29,UTA,SAC,0,-17,17.88,7,0,5,0,4,4,0,2,1,0,0,3,1,4,-11
2024-10-31,UTA,SAS,0,-18,24.72,11,5,0,0,6,6,0,3,3,2,0,1,5,16,-1
2024-11-02,UTA,DEN,1,-26,25.55,6,2,3,1,5,5,0,1,4,1,0,4,2,10,-18
2024-11-04,UTA,CHI,1,9,34.28,18,7,7,4,6,6,0,2,5,1,1,1,2,24,7
2024-11-07,UTA,MIL,1,-23,27.23,12,5,4,2,2,2,0,2,7,0,0,3,3,14,-22
2024-11-09,UTA,SAS,1,1,28.95,13,8,3,1,6,7,1,4,2,2,0,3,4,23,2
2024-11-12,UTA,PHO,0,-8,30.67,14,5,6,3,2,2,3,5,3,1,0,1,4,15,9
2024-11-14,UTA,DAL,0,2,31.08,12,7,5,2,0,0,2,5,3,1,0,2,3,16,-10
2024-11-16,UTA,SAC,1,-4,28.92,12,5,7,4,4,6,1,2,2,0,0,1,6,18,0
2024-11-17,UTA,LAC,1,-11,20.05,9,4,5,3,0,0,1,4,3,0,0,3,4,11,-8
2024-11-19,UTA,LAL,1,-6,32.08,12,6,4,2,5,5,1,1,4,1,0,3,1,19,5
2024-11-21,UTA,SAS,1,-8,24.5,13,6,3,0,6,7,1,1,1,1,0,3,1,18,-11
2024-11-23,UTA,NYK,0,15,38.2,14,9,8,6,1,1,0,1,5,1,0,2,2,25,32
2024-11-26,UTA,SAS,0,-13,31.3,16,8,5,2,2,2,1,2,4,0,0,0,2,20,-15
2024-11-27,UTA,DEN,0,-19,39.48,16,9,5,2,6,7,1,1,4,0,0,2,1,26,-13
2024-11-30,UTA,DAL,0,-12,29.68,13,5,5,1,2,2,0,4,2,0,0,2,0,13,-6
