Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,LAL,MIN,0,7,34.22,12,4,7,1,0,0,0,1,5,2,0,1,2,9,15
2024-10-25,LAL,PHO,0,7,29.28,6,1,3,1,2,2,1,2,5,1,1,2,3,5,-6
2024-10-26,LAL,SAC,0,4,32.47,11,6,6,3,1,1,1,4,5,2,0,2,3,16,17
2024-10-28,LAL,PHO,1,-4,33.32,13,5,9,2,2,2,0,1,9,0,0,2,3,14,0
2024-10-30,LAL,CLE,1,-24,24.13,7,2,3,0,6,6,1,3,5,0,0,0,0,10,-8
2024-11-01,LAL,TOR,1,6,32.47,13,7,6,3,2,2,0,3,6,0,0,2,4,19,14
2024-11-04,LAL,DET,1,-12,33.03,14,4,5,2,1,2,1,3,8,1,0,3,2,11,-1
2024-11-06,LAL,MEM,1,-17,21.55,12,4,9,2,2,2,0,1,3,2,0,1,2,12,-9
2024-11-08,LAL,PHI,0,10,25.4,12,7,4,2,2,3,0,2,3,0,0,2,0,18,13
2024-11-10,LAL,TOR,0,20,26.77,13,6,9,3,0,0,0,2,1,1,0,1,0,15,18
2024-11-13,LAL,MEM,0,5,20.4,9,3,6,2,0,0,0,2,2,0,0,1,2,8,5
