Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,POR,GSW,0,-36,8.0,4,1,2,1,0,0,0,1,1,0,0,0,0,3,-10
2024-10-27,POR,NOP,0,22,3.47,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1
2024-10-28,POR,SAC,1,-13,1.62,1,1,0,0,0,3,0,0,0,0,0,1,0,2,2
2024-11-01,POR,OKC,0,-23,9.25,3,3,0,0,5,7,0,0,3,0,1,2,2,11,5
2024-11-02,POR,PHO,1,-6,11.68,7,5,4,2,0,0,1,1,2,2,1,1,2,12,18
2024-11-04,POR,NOP,1,18,12.0,9,8,3,2,2,2,0,1,1,2,0,1,0,20,21
2024-11-07,POR,SAS,1,-13,16.33,8,1,2,0,2,4,1,3,3,1,0,0,0,4,6
2024-11-08,POR,MIN,1,-25,12.0,7,4,1,0,4,5,0,2,2,2,1,0,0,12,-2
2024-11-10,POR,MEM,0,-45,20.22,18,4,5,0,5,6,0,3,2,2,0,1,2,13,-13
2024-11-12,POR,MIN,0,14,23.65,9,4,6,4,0,0,1,4,5,1,2,5,3,12,2
