Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CHI,NOP,1,-12,1.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
2024-10-25,CHI,MIL,1,11,12.35,1,0,0,0,3,4,1,2,1,1,1,0,2,3,4
2024-10-26,CHI,OKC,0,-19,4.43,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1
2024-10-28,CHI,MEM,1,3,12.42,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0
2024-10-30,CHI,ORL,0,3,11.05,6,1,2,0,0,0,0,2,0,0,0,0,2,2,-9
2024-11-01,CHI,BRK,1,-8,13.65,3,2,0,0,1,2,0,2,1,0,1,0,1,5,0
2024-11-04,CHI,UTA,0,-9,17.72,5,2,2,0,0,1,2,2,4,0,1,1,2,4,-6
2024-11-06,CHI,DAL,1,-20,23.7,7,3,3,1,3,4,3,4,1,2,0,3,1,10,3
2024-11-07,CHI,MIN,0,-16,16.43,4,3,0,0,0,0,1,3,1,1,1,2,1,6,3
2024-11-09,CHI,ATL,1,12,14.37,4,2,3,1,4,4,2,4,1,0,1,0,1,9,0
2024-11-11,CHI,CLE,0,-6,15.13,4,2,0,0,0,0,2,4,0,0,0,1,3,4,-15
2024-11-13,CHI,NYK,1,1,10.38,1,1,1,1,1,2,0,1,1,0,0,1,0,4,-23
2024-11-15,CHI,CLE,1,-18,18.25,4,2,2,1,1,2,1,1,2,1,0,4,0,6,-6
2024-11-17,CHI,HOU,0,-36,12.37,6,2,1,0,0,0,1,1,1,2,1,1,2,4,-4
2024-11-18,CHI,DET,1,10,11.55,0,0,0,0,2,2,1,1,0,1,0,0,2,2,-9
2024-11-20,CHI,MIL,1,-16,16.02,5,4,2,2,0,0,0,1,1,1,0,0,2,10,-5
2024-11-22,CHI,ATL,0,14,22.38,4,2,2,2,6,6,0,1,4,2,0,2,1,12,9
2024-11-23,CHI,MEM,0,-11,12.8,5,1,3,0,0,0,0,0,0,0,1,0,0,2,-8
2024-11-26,CHI,WAS,1,19,16.05,3,1,1,0,0,0,0,0,2,0,0,1,2,2,-24
2024-11-27,CHI,ORL,1,-14,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2024-11-29,CHI,BOS,0,-9,7.98,1,1,0,0,0,0,1,1,0,0,0,0,1,2,11
2024-12-02,CHI,BRK,0,26,17.52,1,1,0,0,0,0,0,1,1,0,0,1,4,2,5
2024-12-05,CHI,SAS,1,15,27.78,7,5,3,1,1,1,1,2,0,1,0,2,3,12,-2
2024-12-06,CHI,IND,0,-9,14.53,2,1,2,1,0,0,0,2,1,0,0,0,1,3,-8
2024-12-08,CHI,PHI,0,-8,4.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-12-21,CHI,BOS,0,-25,11.52,5,1,2,1,0,0,0,1,1,0,1,2,2,3,-9
2024-12-23,CHI,MIL,0,-21,16.4,7,4,2,0,0,0,2,3,1,1,0,0,2,8,-5
2024-12-26,CHI,ATL,1,-8,9.13,1,0,1,0,0,0,0,0,1,0,0,1,4,0,-16
2024-12-28,CHI,MIL,0,5,16.85,2,1,0,0,0,2,1,3,2,0,0,1,3,2,-6
2024-12-30,CHI,CHO,1,7,19.47,4,1,3,1,2,4,0,4,3,0,0,1,0,5,5
2025-01-01,CHI,WAS,1,-18,18.53,3,2,2,1,1,2,0,1,3,1,0,2,1,6,-7
2025-01-04,CHI,NYK,0,13,11.87,3,1,0,0,0,0,0,1,1,0,0,1,4,2,5
2025-01-06,CHI,SAS,0,4,5.45,0,0,0,0,0,0,0,2,0,0,0,2,0,0,-8
2025-01-08,CHI,IND,1,-16,8.37,3,1,1,0,0,0,0,1,1,1,0,0,2,2,-8
2025-01-10,CHI,WAS,0,33,10.88,2,0,0,0,0,0,0,1,1,1,0,0,2,0,0
2025-01-12,CHI,SAC,0,-5,14.73,3,1,1,0,0,0,0,1,3,0,1,0,1,2,2
2025-01-14,CHI,NOP,0,-6,6.13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-7
2025-01-15,CHI,ATL,0,-16,5.6,2,0,0,0,0,0,0,0,1,0,0,2,2,0,-2
2025-01-17,CHI,CHO,0,-2,6.38,4,2,3,2,0,0,0,0,1,1,0,0,1,6,-2
