Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MIL,PHI,1,15,38.3,19,9,12,6,6,7,3,9,6,0,0,3,1,30,19
2024-10-25,MIL,CHI,0,-11,35.78,21,11,12,3,3,3,0,4,8,0,0,5,1,28,-7
2024-10-27,MIL,BRK,1,-13,32.07,13,5,7,1,10,11,1,4,4,0,0,4,2,21,-9
2024-10-28,MIL,BOS,1,-11,35.53,15,7,8,2,17,18,1,7,7,2,1,1,2,33,-10
2024-10-31,MIL,MEM,1,-23,33.35,12,1,6,0,2,2,1,2,6,1,0,1,3,4,-29
2024-11-02,MIL,CLE,0,-1,38.57,24,13,15,10,5,8,0,4,9,0,1,1,4,41,3
2024-11-04,MIL,CLE,1,-2,37.33,22,11,9,5,9,9,1,2,7,0,0,8,1,36,3
2024-11-07,MIL,UTA,0,23,37.03,22,12,11,4,6,7,0,4,7,4,0,0,2,34,27
2024-11-08,MIL,NYK,1,-22,34.43,15,6,4,0,7,7,1,6,6,0,0,1,0,19,-28
2024-11-10,MIL,BOS,0,-6,35.78,15,4,8,1,5,5,0,4,6,3,0,3,3,14,-14
2024-11-18,MIL,HOU,0,1,35.63,18,6,6,0,6,7,0,4,10,0,0,2,1,18,-4
2024-11-20,MIL,CHI,0,16,35.62,17,7,10,2,4,4,0,5,10,0,0,4,2,20,11
2024-11-22,MIL,IND,0,12,36.82,19,8,8,3,5,5,1,5,13,1,0,4,2,24,19
2024-11-23,MIL,CHO,0,6,34.7,21,9,9,3,10,11,0,4,4,1,0,1,2,31,4
2024-11-26,MIL,MIA,1,3,37.9,17,10,13,8,9,9,0,3,12,1,1,4,2,37,0
2024-11-30,MIL,WAS,0,10,39.85,18,8,9,5,4,4,1,5,10,3,1,2,2,25,12
2024-12-03,MIL,DET,1,21,31.73,17,9,11,5,4,4,0,4,5,0,0,3,1,27,7
2024-12-04,MIL,ATL,0,-15,34.25,14,8,9,5,4,5,0,4,5,1,0,5,1,25,-10
2024-12-06,MIL,BOS,1,-6,40.45,25,12,12,4,3,3,1,5,4,1,0,1,3,31,-7
2024-12-08,MIL,BRK,1,5,38.82,7,2,7,2,9,11,0,6,11,1,0,7,0,15,-11
2024-12-10,MIL,ORL,0,5,38.73,15,8,5,2,10,10,1,2,9,1,0,4,4,28,2
2024-12-14,MIL,ATL,0,8,37.15,21,8,14,5,4,5,0,6,7,3,0,2,3,25,5
2024-12-28,MIL,CHI,1,-5,35.47,19,8,9,3,10,10,1,6,12,2,0,0,2,29,-4
2024-12-31,MIL,IND,1,8,35.95,14,3,9,3,0,0,2,4,5,2,0,4,2,9,4
2025-01-02,MIL,BRK,0,-3,40.3,20,6,13,4,7,8,1,3,7,1,0,3,2,23,-4
2025-01-04,MIL,POR,0,-3,36.68,15,5,7,2,4,5,1,2,6,4,0,3,1,16,-2
2025-01-06,MIL,TOR,1,24,25.72,12,7,8,5,6,7,0,5,3,0,0,1,0,25,20
2025-01-08,MIL,SAS,0,16,35.33,13,8,7,4,6,6,0,5,8,0,0,2,1,26,8
2025-01-10,MIL,ORL,1,3,39.68,21,9,7,3,8,9,1,4,7,3,0,4,4,29,4
2025-01-12,MIL,NYK,1,-34,37.27,17,8,7,2,4,5,0,3,5,1,0,6,2,22,-24
2025-01-14,MIL,SAC,0,15,35.1,15,8,8,5,3,3,0,5,7,0,1,2,2,24,14
2025-01-15,MIL,ORL,0,29,30.48,19,13,3,3,1,1,0,5,4,4,0,3,1,30,27
2025-01-17,MIL,TOR,0,18,35.85,14,6,7,4,10,10,0,3,8,2,1,0,3,26,11
2025-01-19,MIL,PHI,0,14,39.92,17,7,11,4,7,7,0,5,4,1,0,4,1,25,5
2025-01-23,MIL,MIA,0,29,35.5,21,9,14,5,6,6,1,10,11,2,0,1,1,29,16
2025-01-25,MIL,LAC,1,-10,39.9,16,6,9,1,16,17,1,10,10,1,1,4,2,29,-1
2025-01-27,MIL,UTA,1,15,41.43,22,14,10,4,3,4,0,5,8,0,1,6,0,35,9
2025-01-28,MIL,POR,1,-13,38.42,17,7,6,2,4,4,0,3,6,1,0,0,1,20,-9
2025-01-31,MIL,SAS,1,-26,37.48,17,6,7,3,7,7,1,3,7,0,1,1,2,22,-16
2025-02-02,MIL,MEM,0,-13,37.2,15,4,8,2,5,6,0,3,9,0,0,3,2,15,-14
2025-02-05,MIL,CHO,1,10,30.53,18,9,9,3,8,9,0,4,12,2,0,2,2,29,12
2025-02-07,MIL,ATL,1,-5,34.87,19,7,13,4,5,5,3,9,10,0,0,3,1,23,-1
2025-02-09,MIL,PHI,0,8,43.83,27,14,15,8,7,7,1,7,8,2,0,4,1,43,3
2025-02-10,MIL,GSW,0,-14,38.87,20,12,9,3,11,13,0,5,7,1,0,10,2,38,-10
2025-02-20,MIL,LAC,0,6,32.55,12,2,8,2,9,10,0,7,7,2,0,2,3,15,-2
2025-02-23,MIL,MIA,0,7,37.78,17,9,12,5,5,6,1,3,8,0,0,1,2,28,-3
2025-02-25,MIL,HOU,1,-3,36.9,22,7,11,4,4,5,0,1,3,1,0,3,0,22,2
2025-02-27,MIL,DEN,0,9,35.32,9,5,6,3,6,6,1,4,4,2,0,4,0,19,9
2025-03-01,MIL,DAL,1,15,35.6,17,8,12,4,8,8,0,6,6,2,0,3,1,28,22
2025-03-04,MIL,ATL,1,6,36.12,18,9,10,2,3,3,0,5,4,2,0,1,2,23,10
2025-03-05,MIL,DAL,0,30,26.73,15,11,8,5,7,7,0,3,5,2,0,2,0,34,28
2025-03-08,MIL,ORL,0,-2,35.67,18,9,9,4,4,4,0,7,4,1,0,4,4,26,-19
2025-03-09,MIL,CLE,0,-12,34.8,19,8,7,1,5,6,1,5,4,2,0,2,2,22,-8
2025-03-11,MIL,IND,1,-1,37.47,14,4,7,2,5,6,0,3,11,0,0,3,1,15,10
