Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,DAL,SAS,0,11,18.52,6,3,0,0,3,4,4,6,2,1,1,1,5,9,8
2024-10-26,DAL,PHO,1,-12,18.15,7,3,0,0,1,2,4,8,4,0,0,1,2,7,-1
2024-10-28,DAL,UTA,0,8,20.43,8,4,0,0,1,1,4,7,0,0,3,0,2,9,-1
2024-10-29,DAL,MIN,1,6,20.73,6,6,0,0,2,2,1,4,1,1,1,0,3,14,1
2024-10-31,DAL,HOU,0,-6,15.08,4,3,0,0,0,0,1,3,1,0,2,1,4,6,-15
2024-11-03,DAL,ORL,0,23,20.12,13,9,0,0,0,1,3,8,0,1,0,3,3,18,4
2024-11-04,DAL,IND,0,-7,15.13,3,3,0,0,2,2,1,4,0,0,0,0,3,8,-12
2024-11-06,DAL,CHI,0,20,23.53,9,7,0,0,3,4,2,7,1,0,3,0,1,17,19
2024-11-08,DAL,PHO,0,-1,23.15,7,6,0,0,3,3,3,7,0,0,0,1,6,15,0
2024-11-10,DAL,DEN,1,-2,33.8,9,7,0,0,2,4,2,7,3,2,2,1,5,16,-5
2024-11-12,DAL,GSW,1,-3,23.58,8,7,0,0,1,3,2,6,2,0,0,1,5,15,2
2024-11-14,DAL,UTA,1,-2,18.98,7,4,0,0,2,4,4,5,0,0,2,0,1,10,-19
2024-11-16,DAL,SAS,0,17,18.22,10,9,0,0,4,4,3,7,1,1,3,0,2,22,13
2024-11-17,DAL,OKC,1,2,17.95,9,4,0,0,3,7,8,12,0,0,1,3,2,11,-12
2024-11-19,DAL,NOP,0,41,20.2,7,5,0,0,1,1,3,6,0,0,0,2,1,11,12
2024-11-22,DAL,DEN,1,3,27.0,7,5,0,0,3,4,3,6,1,3,1,0,2,13,5
2024-11-24,DAL,MIA,1,-5,20.62,6,5,0,0,0,0,3,8,2,0,3,1,2,10,-13
2024-11-25,DAL,ATL,1,10,23.42,6,5,0,0,0,0,3,9,3,1,2,0,0,10,-2
2024-11-30,DAL,UTA,1,12,23.93,6,6,0,0,2,3,3,11,3,1,0,2,3,14,11
2024-12-01,DAL,POR,1,6,27.15,11,7,0,0,5,7,1,4,4,0,0,1,2,19,11
2024-12-03,DAL,MEM,0,5,15.55,4,4,0,0,3,3,1,4,0,1,1,0,1,11,-6
2024-12-05,DAL,WAS,1,36,18.53,9,6,0,0,4,6,3,7,1,0,2,0,3,16,24
