Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-01-31,DAL,DET,1,-15,14.0,2,1,1,0,1,2,0,2,1,0,0,2,2,3,-4
2025-02-02,DAL,CLE,1,-43,21.02,14,5,3,1,3,4,1,2,3,2,0,1,0,14,-35
2025-02-04,DAL,PHI,1,-2,19.87,10,6,2,0,2,2,0,1,4,1,0,1,4,14,2
2025-02-06,DAL,BOS,1,7,19.72,8,5,6,4,1,2,0,0,5,0,0,1,0,15,29
2025-02-08,DAL,HOU,0,11,21.02,3,1,1,0,2,2,0,2,3,0,0,0,1,4,11
2025-02-10,DAL,SAC,0,-1,18.52,5,2,2,1,0,4,0,2,6,0,0,1,2,5,-7
2025-02-13,DAL,MIA,0,5,24.13,13,11,2,2,3,3,1,3,4,2,1,1,2,27,8
2025-02-21,DAL,NOP,0,8,20.68,7,1,4,1,1,2,0,2,4,1,1,2,0,4,-8
2025-02-23,DAL,GSW,1,-24,20.02,4,2,2,1,0,0,0,0,5,0,0,1,2,5,-9
2025-02-25,DAL,LAL,1,-8,11.47,9,3,7,2,0,0,0,3,1,0,0,0,0,8,3
2025-02-27,DAL,CHO,0,7,25.43,4,3,1,1,5,5,0,3,3,4,1,1,1,12,-1
2025-03-01,DAL,MIL,0,-15,11.33,3,1,0,0,2,2,0,1,0,0,0,1,4,4,-2
2025-03-03,DAL,SAC,0,-24,22.07,10,2,3,1,0,0,0,0,4,0,0,4,2,5,-17
2025-03-07,DAL,MEM,0,-11,20.43,6,1,3,1,0,0,1,2,1,0,0,0,2,3,-19
2025-03-09,DAL,PHO,0,-9,21.83,8,5,3,2,0,0,1,2,2,1,0,0,3,12,-14
2025-03-10,DAL,SAS,1,4,23.67,9,4,4,2,0,0,0,2,1,0,0,1,5,10,16
2025-03-12,DAL,SAS,1,-10,22.22,7,6,3,2,3,3,0,3,3,1,0,2,1,17,-16
