Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CLE,TOR,1,30,22.7,12,3,6,1,0,0,0,1,6,0,0,2,4,7,1
2024-10-25,CLE,DET,0,12,33.03,11,5,7,3,0,0,0,2,6,1,0,3,2,13,0
2024-10-26,CLE,WAS,1,19,23.95,11,9,5,4,1,1,0,2,5,2,0,4,4,23,17
2024-10-28,CLE,NYK,1,6,32.75,19,12,8,5,5,5,1,3,3,2,2,3,3,34,7
2024-10-30,CLE,LAL,0,24,22.18,14,5,7,2,0,0,0,0,10,2,0,2,3,12,16
2024-11-01,CLE,ORL,0,11,28.55,16,8,9,3,6,6,1,3,4,1,1,3,5,25,10
2024-11-02,CLE,MIL,1,1,33.57,13,5,5,1,0,0,2,3,10,0,0,0,2,11,-2
2024-11-04,CLE,MIL,0,2,34.75,22,15,11,7,2,2,1,2,8,0,0,2,1,39,7
2024-11-06,CLE,NOP,1,9,29.97,10,5,6,4,0,0,0,1,9,1,1,3,2,14,14
2024-11-08,CLE,GSW,0,19,30.28,17,9,11,6,3,4,0,3,6,3,0,4,0,27,30
2024-11-09,CLE,BRK,0,5,32.27,11,8,5,2,2,2,0,1,6,1,0,3,3,20,-2
2024-11-11,CLE,CHI,1,6,29.92,17,7,5,1,2,3,1,2,5,4,0,1,2,17,-14
2024-11-13,CLE,PHI,1,8,34.37,16,10,4,1,4,5,2,5,6,0,0,3,2,25,11
2024-11-15,CLE,CHI,0,18,34.15,18,9,7,4,7,7,0,3,9,1,0,5,2,29,18
