Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-27,ATL,OKC,1,-24,19.63,5,4,1,1,1,3,2,5,3,0,0,0,0,10,-4
2024-10-28,ATL,WAS,0,-2,19.37,4,3,2,1,2,2,0,6,2,1,1,0,0,9,-18
2024-10-30,ATL,WAS,1,-13,31.77,10,5,4,1,6,6,0,4,1,2,0,4,4,17,-9
2024-11-01,ATL,SAC,0,-8,27.32,10,3,6,2,0,0,0,8,2,2,1,1,2,8,7
2024-11-03,ATL,NOP,1,15,25.85,3,3,2,2,0,0,1,3,3,0,0,1,1,8,-8
2024-11-04,ATL,BOS,0,-30,29.2,7,4,3,1,2,2,0,6,3,0,0,2,1,11,4
2024-11-06,ATL,NYK,0,5,11.15,1,0,1,0,0,0,1,2,1,0,0,0,0,0,-18
2024-11-08,ATL,DET,1,-1,15.95,1,1,1,1,0,0,0,5,3,1,0,3,3,3,5
2024-11-09,ATL,CHI,0,-12,2.37,1,0,1,0,0,0,0,0,1,0,0,1,0,0,-5
2024-11-12,ATL,BOS,1,1,5.23,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-1
2024-11-18,ATL,SAC,1,1,7.4,2,2,1,1,0,0,0,0,0,0,0,1,0,5,-2
2024-11-20,ATL,GSW,1,-23,4.28,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-2
2024-11-29,ATL,CLE,0,16,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-12-08,ATL,DEN,0,-30,4.12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,-9
2024-12-21,ATL,MEM,0,-16,9.2,3,2,2,1,0,0,0,2,0,0,0,1,0,5,10
2024-12-23,ATL,MIN,0,13,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-12-29,ATL,TOR,1,29,9.28,2,0,2,0,0,0,1,1,0,1,0,1,0,0,-9
2025-01-01,ATL,DEN,1,-19,17.07,7,4,3,2,0,0,0,1,2,0,0,2,1,10,5
2025-01-03,ATL,LAL,1,-17,1.68,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-2
2025-01-04,ATL,LAC,1,-26,17.97,4,3,1,0,3,3,1,3,2,2,1,0,1,9,-14
2025-01-09,ATL,PHO,1,-8,10.18,5,4,3,3,0,0,0,0,0,0,0,0,2,11,-2
2025-01-14,ATL,PHO,0,5,15.82,3,0,1,0,0,0,3,6,3,0,2,1,1,0,3
2025-01-15,ATL,CHI,1,16,23.53,11,2,5,0,0,0,1,6,2,3,0,1,0,4,7
2025-01-23,ATL,TOR,0,-3,6.6,2,0,0,0,2,4,0,2,1,0,0,0,1,2,3
2025-01-25,ATL,TOR,0,-23,7.37,3,1,0,0,2,2,0,3,1,0,1,0,0,4,-3
2025-01-27,ATL,MIN,1,-8,18.03,3,1,2,0,0,0,1,5,0,0,1,1,1,2,-3
2025-01-30,ATL,CLE,1,-22,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2025-02-20,PHI,BOS,0,-20,13.48,7,2,4,0,0,0,0,5,2,0,0,0,1,4,6
2025-02-22,PHI,BRK,0,-2,4.6,1,1,0,0,0,0,1,1,0,0,0,0,0,2,-4
2025-02-24,PHI,CHI,0,-32,10.5,11,5,7,2,0,0,1,3,1,2,0,1,0,12,5
