Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,BOS,NYK,0,23,26.63,13,8,10,6,2,2,0,3,4,1,0,0,1,24,21
2024-10-24,BOS,WAS,1,20,29.27,11,6,7,4,3,4,1,4,4,1,0,1,1,19,33
2024-10-26,BOS,DET,1,6,39.37,14,6,6,0,5,5,2,6,3,0,3,1,2,17,7
2024-10-28,BOS,MIL,0,11,33.57,13,5,10,3,0,0,0,3,8,1,1,0,2,13,10
2024-10-30,BOS,IND,1,-3,37.08,9,8,5,5,2,2,1,3,1,1,1,2,4,23,-7
2024-11-01,BOS,CHO,1,15,35.08,16,6,10,3,2,2,0,2,5,1,1,0,4,17,20
2024-11-02,BOS,CHO,1,10,33.72,17,5,13,4,4,4,1,8,2,1,2,3,2,18,8
2024-11-04,BOS,ATL,1,30,29.32,16,8,9,4,1,2,2,6,6,2,1,3,3,21,31
2024-11-06,BOS,GSW,0,-6,36.3,19,8,16,7,3,3,1,6,3,2,0,1,5,26,-11
2024-11-08,BOS,BRK,0,4,42.52,11,5,6,1,3,4,1,3,6,0,3,3,3,14,-3
2024-11-10,BOS,MIL,1,6,36.13,12,6,6,3,0,0,2,6,6,1,1,0,2,15,4
2024-11-12,BOS,ATL,0,-1,37.87,15,10,12,7,4,5,1,6,5,1,0,3,2,31,5
2024-11-13,BOS,BRK,1,25,22.02,11,3,9,3,0,0,2,2,3,0,1,3,3,9,13
2024-11-16,BOS,TOR,0,3,41.23,20,7,12,3,1,2,2,5,4,0,2,1,1,18,1
2024-11-19,BOS,CLE,0,3,42.35,12,7,7,4,1,1,2,6,5,0,1,1,1,19,17
2024-11-22,BOS,WAS,1,12,36.48,11,4,8,2,0,0,0,2,3,0,1,2,2,10,3
2024-11-24,BOS,MIN,0,2,37.93,12,7,9,4,1,2,2,9,5,1,2,2,2,19,8
2024-11-25,BOS,LAC,0,32,31.12,12,6,9,5,2,2,2,4,7,1,0,1,4,19,12
2024-11-29,BOS,CHI,1,9,24.03,10,6,8,4,0,0,1,6,4,1,0,0,1,16,-5
2024-12-02,BOS,MIA,0,19,31.35,14,7,12,5,0,0,2,6,8,0,0,2,4,19,21
2024-12-04,BOS,DET,0,10,37.63,15,4,11,3,3,4,1,4,11,2,2,0,3,14,5
2024-12-06,BOS,MIL,0,6,37.48,10,1,8,0,4,4,1,6,7,3,0,2,0,6,12
2024-12-07,BOS,MEM,0,-6,37.88,9,3,7,2,2,2,1,6,3,3,2,3,0,10,-11
2024-12-12,BOS,DET,0,24,30.58,13,7,12,7,2,2,1,2,4,2,1,2,0,23,14
2024-12-15,BOS,WAS,1,14,35.45,10,5,7,3,2,4,0,5,5,2,2,1,3,15,18
2024-12-19,BOS,CHI,0,-9,35.5,14,5,12,3,3,3,1,8,4,1,2,0,1,16,-9
