Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MEM,UTA,1,2,27.08,20,8,10,4,4,4,0,4,4,1,1,1,4,24,-8
2024-10-25,MEM,HOU,1,-20,29.18,16,8,4,0,1,2,1,3,4,2,2,2,3,17,-12
2024-10-26,MEM,ORL,0,13,28.05,10,5,6,2,1,1,1,7,2,2,0,3,4,13,7
2024-10-28,MEM,CHI,0,-3,31.43,19,11,10,6,2,2,2,7,4,0,0,1,3,30,2
2024-10-30,MEM,BRK,0,-13,16.72,7,3,2,1,3,3,1,6,0,0,0,2,1,10,-10
2024-11-15,MEM,GSW,1,-5,27.02,13,7,4,1,3,4,1,6,2,2,0,3,1,18,12
2024-11-17,MEM,DEN,0,15,28.52,12,5,7,1,0,0,1,11,7,0,1,2,1,11,14
2024-11-19,MEM,DEN,0,-12,29.4,10,1,5,0,3,5,0,5,5,1,0,2,5,5,-24
2024-11-20,MEM,PHI,0,6,34.97,18,8,11,5,0,0,1,10,6,1,1,4,2,21,14
2024-11-23,MEM,CHI,1,11,30.05,14,4,5,1,4,6,2,7,2,0,1,2,1,13,5
2024-11-25,MEM,POR,0,25,23.98,8,2,4,1,3,4,0,7,2,0,1,2,3,8,9
2024-11-27,MEM,DET,0,20,22.37,6,1,3,0,0,0,1,7,7,1,0,5,1,2,6
2024-11-29,MEM,NOP,0,11,25.63,8,3,3,1,0,0,0,3,4,1,0,1,4,7,11
2024-12-01,MEM,IND,0,15,30.0,15,7,8,2,0,0,0,6,6,1,0,1,4,16,18
2024-12-03,MEM,DAL,1,-5,31.25,14,8,5,2,1,1,1,3,3,1,1,2,5,19,-1
2024-12-05,MEM,SAC,0,5,32.42,10,6,4,2,4,4,2,8,7,1,0,3,2,18,15
