Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-03,ATL,NOP,1,15,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2024-11-04,ATL,BOS,0,-30,8.35,1,0,0,0,1,2,0,0,0,0,0,0,1,1,3
2024-12-21,ATL,MEM,0,-16,5.4,1,1,1,1,0,0,0,1,0,1,0,0,1,3,9
2024-12-29,ATL,TOR,1,29,3.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2025-01-01,ATL,DEN,1,-19,4.03,3,1,0,0,0,0,0,2,1,0,0,0,0,2,3
2025-01-03,ATL,LAL,1,-17,1.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2
2025-01-04,ATL,LAC,1,-26,5.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-4
2025-01-23,ATL,TOR,0,-3,17.37,6,4,1,1,2,2,0,2,1,2,0,0,1,11,1
2025-01-25,ATL,TOR,0,-23,2.68,1,0,1,0,1,2,0,1,0,0,0,0,0,1,5
2025-01-27,ATL,MIN,1,-8,8.5,2,0,1,0,0,0,1,2,1,0,0,0,2,0,-3
