Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,MIN,LAL,1,-7,31.55,11,3,8,2,2,4,1,3,3,2,0,1,2,10,-5
2024-10-24,MIN,SAC,1,2,26.65,10,4,6,1,0,0,1,1,2,0,0,2,3,9,7
2024-10-26,MIN,TOR,0,11,23.35,15,5,11,4,2,2,0,2,2,1,0,2,1,16,-6
2024-10-29,MIN,DAL,0,-6,26.45,6,1,5,1,0,0,0,2,6,2,0,1,1,3,5
2024-11-01,MIN,DEN,0,3,24.93,7,2,7,2,1,2,1,8,6,1,0,3,1,7,-4
2024-11-02,MIN,SAS,1,-10,27.87,7,5,5,3,1,1,1,2,2,0,0,1,2,14,-1
2024-11-04,MIN,CHO,0,21,28.28,9,5,6,3,1,1,0,5,3,2,2,4,4,14,33
2024-11-07,MIN,CHI,1,16,27.18,12,4,10,3,2,2,0,4,4,3,1,2,3,13,19
2024-11-08,MIN,POR,0,25,29.05,12,4,11,4,2,2,1,3,7,1,0,1,1,14,8
2024-11-10,MIN,MIA,0,-1,29.27,9,3,7,2,0,0,1,6,2,4,1,2,3,8,3
2024-11-12,MIN,POR,1,-14,17.98,3,1,3,1,0,0,0,2,1,2,0,4,1,3,-20
2024-11-13,MIN,POR,1,-8,21.97,10,1,6,0,0,0,0,3,3,0,0,0,0,2,-8
2024-11-15,MIN,SAC,1,4,19.1,4,1,4,1,0,0,0,3,2,0,0,0,2,3,-14
2024-11-17,MIN,PHO,0,3,25.72,11,5,10,5,0,0,0,1,3,0,0,0,2,15,10
2024-11-21,MIN,TOR,1,-5,30.1,12,4,9,3,0,0,0,2,4,3,0,3,3,11,-9
