Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ORL,MIA,1,19,23.1,16,10,6,3,0,0,1,4,4,2,1,0,3,23,31
2024-10-25,ORL,BRK,0,15,38.9,19,10,6,3,6,6,2,6,5,1,0,3,2,29,16
2024-10-26,ORL,MEM,1,-13,34.33,16,7,10,4,5,6,1,7,3,2,0,6,2,23,-17
2024-10-28,ORL,IND,0,4,10.88,5,3,3,1,0,0,0,1,1,1,0,0,1,7,8
2024-10-30,ORL,CHI,1,-3,22.58,8,3,3,0,1,1,1,3,4,1,1,0,2,7,-6
2024-11-01,ORL,CLE,1,-11,30.07,19,8,2,0,1,3,2,8,6,1,0,4,3,17,-11
2024-11-03,ORL,DAL,1,-23,25.18,15,6,2,1,0,0,1,6,6,2,0,2,3,13,-13
2024-11-04,ORL,OKC,1,-16,34.15,17,8,4,1,5,6,2,4,2,2,0,5,2,22,1
2024-11-06,ORL,IND,1,-7,39.37,23,10,7,2,6,8,1,8,6,0,0,3,4,28,-1
2024-11-08,ORL,NOP,0,27,32.43,18,9,5,2,7,8,2,5,6,2,0,2,2,27,8
2024-11-10,ORL,WAS,0,27,28.65,20,9,5,1,4,4,0,4,7,1,0,0,0,23,16
2024-11-12,ORL,CHO,0,25,31.97,25,14,9,2,2,3,1,8,5,3,0,2,2,32,19
2024-11-13,ORL,IND,0,4,36.77,24,9,8,3,8,9,0,3,6,1,1,1,0,29,0
2024-11-15,ORL,PHI,0,12,40.72,23,10,11,5,6,6,1,11,6,2,1,0,4,31,18
2024-11-18,ORL,PHO,1,10,39.2,24,12,8,4,4,5,0,5,8,0,0,1,2,32,12
2024-11-20,ORL,LAC,1,-11,34.9,11,5,4,0,4,4,0,6,6,4,0,3,3,14,-18
2024-11-21,ORL,LAL,1,1,38.72,26,13,10,4,7,8,0,6,11,4,0,3,5,37,5
2024-11-23,ORL,DET,0,11,29.2,22,11,9,4,4,4,3,9,8,2,0,4,3,30,16
2024-11-25,ORL,CHO,1,11,40.18,17,8,6,2,3,6,0,1,7,4,2,1,3,21,13
2024-11-27,ORL,CHI,0,14,31.05,20,7,6,1,6,6,1,3,6,2,1,3,3,21,19
2024-11-29,ORL,BRK,1,23,35.17,20,12,6,3,2,2,1,8,8,2,1,3,0,29,35
2024-12-01,ORL,BRK,1,8,37.97,17,4,6,0,12,14,1,9,8,0,2,4,3,20,13
