Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,LAL,MIN,0,7,17.22,2,1,0,0,0,0,0,2,2,0,0,2,1,2,-2
2024-10-25,LAL,PHO,0,7,20.58,5,2,3,1,0,0,1,2,0,3,0,0,4,5,9
2024-10-26,LAL,SAC,0,4,12.62,6,1,4,0,0,0,0,0,0,1,0,0,1,2,-5
2024-10-28,LAL,PHO,1,-4,19.28,3,1,2,1,0,0,0,0,0,0,0,0,0,3,-5
2024-10-30,LAL,CLE,1,-24,16.15,5,2,3,1,0,0,0,0,0,0,0,1,0,5,-10
2024-11-01,LAL,TOR,1,6,20.53,6,1,4,0,0,0,1,3,2,0,0,0,4,2,-4
2024-11-04,LAL,DET,1,-12,17.77,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-5
2024-11-06,LAL,MEM,1,-17,23.35,8,2,6,1,1,2,0,1,1,0,0,2,1,6,-15
2024-11-08,LAL,PHI,0,10,15.67,2,1,1,0,0,0,0,0,0,0,0,0,3,2,4
2024-11-10,LAL,TOR,0,20,18.48,5,2,3,1,0,0,0,1,0,1,0,1,1,5,13
2024-11-13,LAL,MEM,0,5,12.62,6,0,4,0,0,0,0,0,0,0,0,0,2,0,6
2024-11-15,LAL,SAS,1,5,19.57,4,2,2,1,1,2,1,2,0,3,0,0,1,6,13
2024-11-16,LAL,NOP,1,5,21.63,2,0,2,0,0,0,1,2,2,0,0,0,1,0,-9
2024-11-19,LAL,UTA,0,6,18.72,3,1,2,1,0,0,0,2,1,1,0,0,3,3,8
2024-11-21,LAL,ORL,0,-1,14.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6
2024-11-23,LAL,DEN,0,-25,13.77,5,3,3,1,0,0,0,0,1,0,0,1,3,7,3
2024-11-26,LAL,PHO,1,-27,14.1,4,1,4,1,0,0,0,2,1,0,1,0,0,3,4
2024-11-27,LAL,SAS,1,18,5.93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-11-29,LAL,OKC,0,-8,14.57,1,1,0,0,0,2,1,1,0,0,0,0,2,2,-7
2024-12-01,LAL,UTA,1,1,31.5,5,4,3,2,0,0,0,3,2,1,0,0,3,10,-8
2024-12-02,LAL,MIN,1,-29,22.47,5,2,4,1,0,0,0,1,0,2,0,0,2,5,-20
2024-12-04,LAL,MIA,1,-41,24.3,11,3,5,1,2,2,1,2,3,3,0,1,1,9,-11
2024-12-06,LAL,ATL,1,-2,34.37,11,5,4,2,0,0,0,1,5,2,1,0,5,12,4
2024-12-08,LAL,POR,0,9,24.85,4,1,2,1,0,0,1,1,0,3,0,2,4,3,16
2024-12-13,LAL,MIN,1,-10,24.65,7,2,4,2,0,0,1,2,2,1,1,3,4,6,-5
2024-12-15,LAL,MEM,0,6,13.95,3,1,3,1,0,0,0,2,0,1,2,1,1,3,-3
2024-12-19,LAL,SAC,1,13,22.43,5,4,5,4,0,0,2,5,3,0,0,0,4,12,4
2024-12-21,LAL,SAC,1,4,15.92,3,2,3,2,0,0,0,0,0,1,0,0,2,6,-4
2024-12-23,LAL,DET,0,-3,18.8,5,3,5,3,0,0,0,2,1,0,0,2,1,9,-22
2024-12-25,LAL,GSW,1,2,29.35,7,2,6,1,0,0,0,3,3,0,0,1,3,5,3
2024-12-28,LAL,SAC,0,10,6.92,1,0,1,0,0,0,0,1,0,0,0,1,0,0,9
2025-01-07,LAL,DAL,1,-21,24.05,4,0,3,0,0,0,0,1,2,0,0,0,1,0,-5
2025-01-13,LAL,SAS,0,-24,17.37,6,3,3,1,0,0,1,2,1,1,0,3,1,7,-3
2025-01-15,LAL,MIA,0,9,25.93,9,6,5,2,0,0,0,1,4,1,1,0,3,14,0
2025-01-17,LAL,BRK,0,1,29.07,8,4,5,1,1,2,0,1,3,2,2,1,2,10,0
2025-01-19,LAL,LAC,1,-14,22.67,5,2,3,0,0,0,0,0,1,0,0,1,2,4,0
2025-01-21,LAL,WAS,0,23,25.12,2,1,2,1,0,0,0,2,3,0,0,0,3,3,1
2025-01-23,LAL,BOS,0,21,25.95,8,4,7,4,0,0,0,1,4,0,0,0,5,12,22
2025-01-25,LAL,GSW,1,10,24.7,8,3,6,1,0,0,0,0,2,0,1,1,4,7,1
2025-02-01,LAL,NYK,1,16,20.47,6,3,6,3,0,0,0,1,1,0,1,0,3,9,1
2025-02-04,LAL,LAC,1,25,22.03,10,4,8,4,0,0,0,3,2,0,0,0,0,12,10
2025-02-06,LAL,GSW,0,8,29.55,8,5,8,5,0,0,0,0,1,0,0,1,3,15,-3
2025-02-08,LAL,IND,0,7,24.93,13,5,8,2,0,0,0,0,7,2,0,2,4,12,5
2025-02-10,LAL,UTA,0,19,17.7,9,4,8,3,0,0,0,0,4,0,0,0,1,11,17
2025-02-19,LAL,CHO,0,-3,20.2,7,2,6,2,0,0,2,3,2,0,0,1,3,6,-6
2025-02-20,LAL,POR,1,8,16.0,7,2,6,1,2,2,0,1,1,1,0,0,3,7,0
2025-02-22,LAL,DEN,1,23,19.45,4,1,4,1,0,0,0,2,1,1,0,0,2,3,17
2025-02-25,LAL,DAL,0,8,16.17,6,1,4,0,0,0,0,0,0,1,0,1,1,2,-2
2025-02-27,LAL,MIN,0,9,20.32,6,1,5,0,2,2,0,1,0,0,0,0,1,4,-5
2025-02-28,LAL,LAC,0,4,25.82,7,3,4,1,0,0,0,1,3,4,1,0,0,7,11
2025-03-02,LAL,LAC,0,6,30.5,10,3,6,3,0,0,0,3,2,1,1,0,3,9,2
