Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MIL,PHI,1,15,34.45,6,3,5,2,3,3,0,2,0,0,0,0,5,11,11
2024-10-25,MIL,CHI,0,-11,34.02,8,3,5,2,2,2,0,1,2,2,0,0,2,10,-5
2024-10-27,MIL,BRK,1,-13,27.9,8,2,6,2,3,4,0,0,2,0,0,2,4,9,-3
2024-10-28,MIL,BOS,1,-11,37.43,8,3,6,2,2,2,0,3,1,2,0,0,2,10,-21
2024-10-31,MIL,MEM,1,-23,18.15,12,4,7,0,1,1,0,2,0,1,0,0,1,9,-23
2024-11-02,MIL,CLE,0,-1,34.02,10,1,7,1,0,0,0,1,1,1,0,3,3,3,8
2024-11-04,MIL,CLE,1,-2,20.87,7,1,3,0,2,2,0,2,1,0,0,1,3,4,-19
2024-11-07,MIL,UTA,0,23,7.87,2,1,0,0,0,0,0,0,0,0,0,1,2,2,-14
2024-11-12,MIL,TOR,0,14,5.95,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-1
2024-11-13,MIL,DET,0,7,34.32,8,4,5,3,0,0,0,4,3,2,0,0,1,11,18
2024-11-16,MIL,CHO,1,-1,17.83,8,4,6,2,0,0,0,0,1,3,0,0,0,10,-1
2024-11-18,MIL,HOU,0,1,24.45,8,4,6,4,0,0,0,1,0,1,0,0,5,12,15
2024-11-20,MIL,CHI,0,16,28.5,6,3,5,3,2,2,1,6,0,0,0,0,3,11,-1
2024-11-22,MIL,IND,0,12,29.3,10,6,10,6,0,0,0,2,1,1,0,1,1,18,-6
2024-11-23,MIL,CHO,0,6,29.27,8,6,5,4,0,0,1,3,2,0,0,2,3,16,13
2024-11-26,MIL,MIA,1,3,23.52,9,1,4,0,0,0,1,2,0,3,0,0,3,2,-8
2024-11-30,MIL,WAS,0,10,19.5,3,1,1,0,0,0,0,4,2,0,0,1,1,2,5
2024-12-03,MIL,DET,1,21,26.78,12,6,5,3,1,2,0,3,2,2,0,0,1,16,10
2024-12-04,MIL,ATL,0,-15,31.38,11,4,9,3,0,0,0,3,1,0,0,0,3,11,-7
2024-12-06,MIL,BOS,1,-6,36.52,6,4,5,3,0,0,0,4,1,0,0,0,3,11,-6
2024-12-08,MIL,BRK,1,5,24.5,10,6,7,3,5,5,0,0,0,1,0,1,1,20,6
2024-12-10,MIL,ORL,0,5,24.45,4,2,4,2,0,0,0,0,2,1,0,0,3,6,11
2024-12-14,MIL,ATL,0,8,21.87,5,0,4,0,1,2,0,1,0,0,0,0,2,1,8
2024-12-20,MIL,CLE,1,-23,18.47,5,3,3,1,1,1,0,1,0,1,0,1,0,8,-20
2024-12-21,MIL,WAS,0,11,31.03,16,6,10,3,0,0,1,7,2,2,1,1,3,15,-2
2024-12-23,MIL,CHI,1,21,16.65,10,5,6,4,0,0,1,4,0,1,0,0,2,14,16
2024-12-26,MIL,BRK,0,-6,21.67,10,6,2,2,0,0,0,3,0,3,0,3,0,14,3
2024-12-28,MIL,CHI,1,-5,16.57,8,3,4,1,0,0,0,2,1,1,0,2,1,7,-7
2024-12-31,MIL,IND,1,8,28.68,9,5,5,4,0,0,0,2,1,2,0,0,1,14,5
2025-01-02,MIL,BRK,0,-3,21.03,8,2,7,2,4,4,1,2,0,1,0,1,2,10,-11
2025-01-04,MIL,POR,0,-3,18.02,5,2,3,1,0,0,0,2,0,0,0,0,2,5,-4
2025-01-06,MIL,TOR,1,24,23.93,9,6,5,3,2,2,0,3,1,3,0,1,3,17,14
2025-01-08,MIL,SAS,0,16,21.65,5,5,4,4,0,0,0,3,2,2,0,0,1,14,20
2025-01-10,MIL,ORL,1,3,23.63,3,1,2,1,0,0,0,3,1,0,0,1,2,3,5
2025-01-17,MIL,TOR,0,18,24.78,8,4,5,2,0,0,0,3,1,2,0,0,2,10,9
