Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CLE,TOR,1,30,18.55,5,4,4,3,0,0,0,1,0,0,0,1,1,11,14
2024-10-25,CLE,DET,0,12,15.33,3,1,2,1,0,0,0,5,0,0,0,1,2,3,-4
2024-10-26,CLE,WAS,1,19,21.23,7,1,6,1,0,0,3,6,1,1,0,0,2,3,7
2024-10-28,CLE,NYK,1,6,14.53,6,2,4,1,0,0,1,4,1,1,0,0,2,5,14
2024-10-30,CLE,LAL,0,24,21.55,4,2,3,1,0,0,1,2,2,1,0,2,3,5,13
2024-11-01,CLE,ORL,0,11,16.12,5,3,2,1,0,0,0,3,2,0,0,1,2,7,10
2024-11-02,CLE,MIL,1,1,20.67,5,1,4,0,1,2,0,4,2,0,1,2,2,3,-3
2024-11-04,CLE,MIL,0,2,26.32,6,3,6,3,0,0,0,4,2,1,0,0,5,9,-1
2024-11-06,CLE,NOP,1,9,21.12,8,4,5,1,0,0,0,2,2,0,1,0,2,9,-7
2024-11-08,CLE,GSW,0,19,14.37,4,3,2,1,0,0,0,2,1,0,0,1,2,7,-12
2024-11-09,CLE,BRK,0,5,14.72,6,4,1,0,0,0,0,2,1,0,1,1,3,8,9
2024-11-11,CLE,CHI,1,6,16.62,10,5,5,1,1,1,2,5,0,1,0,0,2,12,15
2024-11-13,CLE,PHI,1,8,15.88,8,3,6,2,0,0,0,1,0,1,0,0,1,8,-2
2024-11-15,CLE,CHI,0,18,24.87,8,5,7,4,0,0,0,8,0,1,0,1,3,14,7
2024-11-17,CLE,CHO,0,14,26.0,11,5,7,3,0,0,1,2,1,0,1,4,1,13,6
2024-11-19,CLE,BOS,1,-3,29.62,8,5,3,1,0,0,2,4,3,0,0,0,4,11,15
2024-11-20,CLE,NOP,0,28,21.83,14,6,12,6,2,2,0,4,2,1,0,1,2,20,19
2024-11-24,CLE,TOR,0,14,19.3,13,1,8,0,0,0,0,4,1,0,0,1,3,2,3
2024-11-27,CLE,ATL,0,-11,21.2,8,3,7,2,0,0,2,8,1,0,0,3,3,8,-2
2024-11-29,CLE,ATL,1,-16,20.48,6,1,4,0,1,2,0,1,2,0,0,1,0,3,-8
2024-12-01,CLE,BOS,0,4,21.88,6,4,3,3,2,2,1,2,1,0,0,1,0,13,8
2024-12-03,CLE,WAS,0,31,26.07,9,6,5,2,0,0,0,6,1,0,0,0,5,14,17
2024-12-05,CLE,DEN,0,12,16.37,4,2,3,1,0,0,0,4,0,0,1,2,2,5,17
2024-12-07,CLE,CHO,1,14,18.33,2,1,1,0,1,2,0,6,3,0,0,1,2,3,6
2024-12-08,CLE,MIA,1,-9,31.47,7,5,4,3,2,2,2,6,2,1,0,1,2,15,11
2024-12-13,CLE,WAS,0,10,22.17,8,4,5,2,0,0,2,5,1,0,0,0,2,10,5
2024-12-16,CLE,BRK,1,29,24.72,10,7,5,2,1,1,4,9,2,0,0,3,3,17,28
2024-12-20,CLE,MIL,0,23,16.65,4,2,2,1,0,0,0,2,1,1,0,0,0,5,13
2024-12-21,CLE,PHI,0,27,27.37,9,5,5,3,0,0,1,5,2,0,0,0,5,13,18
2024-12-23,CLE,UTA,0,11,21.25,8,3,6,2,0,0,1,7,3,1,0,2,4,8,-1
2024-12-27,CLE,DEN,1,14,15.98,5,1,3,1,0,0,0,1,3,0,0,0,1,3,-4
2024-12-30,CLE,GSW,1,18,19.8,3,1,2,1,0,0,0,3,5,1,0,1,4,3,5
2024-12-31,CLE,LAL,1,12,18.22,5,3,3,2,1,2,1,3,1,0,0,0,1,9,-3
2025-01-03,CLE,DAL,1,12,20.25,9,6,5,3,0,0,0,2,3,0,0,2,1,15,9
2025-01-05,CLE,CHO,0,10,18.37,7,4,5,2,0,0,0,2,3,0,0,3,5,10,6
2025-01-08,CLE,OKC,0,7,13.97,5,1,3,1,0,0,0,2,2,0,0,1,3,3,-1
2025-01-09,CLE,TOR,0,6,13.43,8,3,5,2,0,0,0,0,1,0,0,1,2,8,-13
2025-01-12,CLE,IND,0,-15,19.58,6,3,4,1,0,0,0,0,0,1,1,2,2,7,-12
2025-01-14,CLE,IND,1,10,17.38,5,3,3,1,0,0,2,3,0,0,0,1,2,7,-3
2025-01-16,CLE,OKC,1,-20,14.42,7,2,3,0,1,1,0,2,1,0,0,1,0,5,-30
2025-01-18,CLE,MIN,1,7,29.07,7,5,4,3,2,2,3,10,1,1,0,0,3,15,9
2025-01-20,CLE,PHO,0,26,23.23,6,3,3,2,0,0,0,6,1,0,0,0,3,8,18
2025-01-22,CLE,HOU,1,-1,20.4,7,3,4,2,0,0,2,5,0,0,0,1,2,8,-12
2025-01-24,CLE,PHI,1,-3,17.83,6,2,4,1,0,0,0,3,2,1,0,1,3,5,-17
2025-01-25,CLE,HOU,0,-4,28.53,9,7,7,6,1,2,0,4,1,1,0,0,4,21,-1
2025-01-27,CLE,DET,0,19,19.67,9,1,6,1,0,0,1,3,0,0,0,2,5,3,0
2025-01-29,CLE,MIA,1,20,28.43,9,6,6,3,0,0,0,4,1,1,0,0,2,15,11
2025-01-30,CLE,ATL,0,22,17.88,6,2,6,2,4,4,1,3,0,0,0,0,4,10,25
2025-02-02,CLE,DAL,0,43,22.1,7,5,5,3,0,0,0,2,1,0,1,1,3,13,7
2025-02-04,CLE,BOS,0,-7,25.13,3,1,3,1,3,4,0,2,0,0,0,0,5,6,-13
2025-02-05,CLE,DET,1,3,23.02,7,3,4,1,0,0,1,5,1,0,0,1,4,7,2
2025-02-08,ATL,WAS,1,14,26.18,10,6,7,4,0,0,2,6,3,3,0,1,0,16,18
2025-02-10,ATL,ORL,1,6,24.33,7,2,3,1,3,4,0,4,1,0,0,1,3,8,-2
2025-02-12,ATL,NYK,1,-1,33.8,16,8,10,4,1,1,1,4,3,1,2,0,5,21,18
2025-02-20,ATL,ORL,0,-6,26.38,6,2,4,2,2,2,0,6,2,0,0,0,4,8,-5
2025-02-23,ATL,DET,0,-5,35.93,20,10,14,7,0,0,2,5,1,1,1,2,5,27,-12
2025-02-24,ATL,MIA,0,12,23.63,9,4,7,3,0,0,0,5,1,0,0,0,5,11,-2
2025-02-26,ATL,MIA,1,-22,24.3,10,3,6,1,0,0,0,4,2,0,1,1,0,7,-19
