Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,GSW,POR,1,36,5.12,1,1,0,0,1,2,0,1,1,0,0,0,1,3,8
2024-10-25,GSW,UTA,1,41,5.93,0,0,0,0,0,0,0,3,0,0,0,1,2,0,9
2024-10-29,GSW,NOP,0,18,2.72,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2024-10-30,GSW,NOP,0,15,1.37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-08,GSW,CLE,1,-19,4.73,1,1,1,1,0,0,1,1,0,0,0,0,0,3,1
2024-11-20,GSW,ATL,0,23,2.52,2,0,1,0,0,0,0,1,0,0,0,0,0,0,-3
2024-12-19,GSW,MEM,1,-51,8.07,0,0,0,0,0,0,1,1,0,0,1,0,1,0,4
2024-12-27,GSW,LAC,1,-10,4.83,1,0,1,0,0,0,0,1,1,0,0,1,2,0,-8
2024-12-30,GSW,CLE,0,-18,4.65,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2025-01-02,GSW,PHI,0,34,7.52,2,1,1,0,0,0,0,0,1,0,1,0,0,2,1
2025-01-05,GSW,SAC,0,-30,12.0,3,1,2,0,0,0,1,2,1,1,0,1,2,2,0
2025-01-07,GSW,MIA,0,-16,3.08,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2025-01-09,GSW,DET,1,3,26.22,6,4,6,4,1,2,3,5,3,2,0,4,3,13,7
2025-01-10,GSW,IND,1,-12,23.97,5,4,2,2,1,2,1,3,3,2,0,1,2,11,9
2025-01-13,GSW,TOR,1,-3,11.63,3,0,2,0,0,0,3,3,2,0,1,0,3,0,-9
2025-01-15,GSW,MIN,1,1,21.43,5,2,3,1,0,0,1,7,3,0,0,0,4,5,5
2025-01-18,GSW,WAS,0,8,8.48,1,0,0,0,0,0,2,3,2,1,0,0,2,0,2
2025-01-20,GSW,BOS,0,-40,27.4,8,3,6,1,0,0,2,2,0,1,0,0,2,7,-18
2025-01-22,GSW,SAC,1,-6,22.55,9,6,5,4,0,0,1,5,2,0,0,1,1,16,0
2025-01-23,GSW,CHI,0,25,26.82,10,7,6,5,0,0,4,7,2,1,0,1,2,19,31
2025-01-25,GSW,LAL,0,-10,19.8,5,1,4,1,1,2,1,4,2,0,0,0,1,4,-12
2025-01-28,GSW,UTA,0,11,23.3,3,2,1,0,3,4,4,7,2,1,0,1,2,7,25
2025-01-29,GSW,OKC,0,7,19.17,3,1,2,0,1,1,1,7,2,0,0,2,4,3,-12
2025-01-31,GSW,PHO,0,-25,19.08,3,1,1,0,3,4,0,1,2,0,0,1,2,5,-4
2025-02-03,GSW,ORL,0,5,2.45,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-4
2025-02-05,GSW,UTA,1,-3,10.5,1,1,1,1,1,2,0,0,0,0,0,0,0,4,11
2025-02-08,GSW,CHI,1,21,14.68,3,2,2,1,2,2,4,8,0,0,0,1,5,7,5
2025-02-10,GSW,MIL,1,14,6.37,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2
2025-02-12,GSW,DAL,1,-4,12.18,0,0,0,0,0,0,2,7,2,0,0,2,1,0,10
2025-02-13,GSW,HOU,1,7,17.37,4,1,3,1,2,2,0,2,2,2,0,1,2,5,-7
2025-02-21,GSW,SAC,1,24,12.7,3,0,2,0,0,0,1,3,3,1,0,1,4,0,4
2025-02-23,GSW,DAL,0,24,19.88,5,2,4,1,0,0,5,8,1,0,2,1,1,5,-3
2025-02-25,GSW,CHO,0,36,19.35,5,1,2,0,1,1,3,5,6,2,0,2,2,3,17
2025-02-27,GSW,ORL,1,6,6.92,2,1,1,0,0,0,0,0,0,1,0,0,1,2,
