Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-20,OKC,POR,0,10,28.55,12,6,0,0,1,2,5,14,3,0,4,3,1,13,16
2024-11-25,OKC,SAC,1,21,31.5,15,9,0,0,1,1,3,10,4,0,0,1,5,19,18
2024-11-27,OKC,GSW,1,4,30.8,8,5,0,0,4,6,1,14,3,0,2,4,5,14,11
2024-11-29,OKC,LAL,1,8,36.87,7,4,0,0,3,4,3,18,5,1,1,2,2,11,3
2024-12-01,OKC,HOU,1,-3,30.03,12,9,1,0,1,3,2,13,4,1,1,1,5,19,-7
2024-12-03,OKC,UTA,0,27,22.22,7,2,1,0,0,0,2,5,6,2,1,2,3,4,14
2024-12-05,OKC,TOR,1,37,27.85,3,1,1,0,0,2,3,16,6,1,1,0,3,2,15
2024-12-07,OKC,NOP,1,10,29.13,8,5,0,0,2,2,6,12,5,1,0,3,4,12,14
2024-12-10,OKC,DAL,0,14,30.3,11,5,1,0,0,1,5,13,3,1,1,3,2,10,-6
2024-12-14,OKC,HOU,0,15,33.3,12,9,0,0,3,4,1,8,2,0,1,4,4,21,7
2024-12-19,OKC,ORL,1,6,33.22,9,5,0,0,2,2,2,12,4,4,1,2,1,12,7
2024-12-20,OKC,MIA,1,7,33.83,6,4,0,0,5,8,5,18,2,1,0,0,4,13,4
2024-12-23,OKC,WAS,0,18,27.1,12,7,0,0,2,2,3,11,3,0,2,0,2,16,-4
2024-12-26,OKC,IND,1,6,34.47,6,3,0,0,5,8,2,13,1,0,1,0,2,11,-4
2024-12-28,OKC,CHO,1,12,25.47,7,6,0,0,0,0,1,15,4,1,0,3,4,12,10
2024-12-29,OKC,MEM,0,24,25.22,13,6,2,0,0,0,2,9,6,0,3,2,3,12,14
2024-12-31,OKC,MIN,0,8,32.0,10,5,1,0,5,5,3,10,4,1,2,0,1,15,13
2025-01-02,OKC,LAC,0,18,23.48,9,5,1,0,1,1,0,9,6,1,2,2,4,11,23
2025-01-03,OKC,NYK,0,10,31.15,4,2,0,0,0,2,2,14,7,1,1,3,1,4,11
2025-01-05,OKC,BOS,0,13,35.13,9,4,1,0,0,1,2,10,2,2,3,2,2,8,11
2025-01-08,OKC,CLE,1,-7,30.58,14,8,1,0,2,2,5,11,8,0,0,2,5,18,-2
2025-01-10,OKC,NYK,1,25,29.97,6,2,0,0,2,2,1,9,6,2,2,7,4,6,10
2025-01-12,OKC,WAS,1,41,21.67,7,4,0,0,2,2,6,12,2,0,0,0,1,10,20
2025-01-14,OKC,PHI,1,16,30.75,7,4,1,0,1,2,3,16,3,1,1,2,2,9,13
2025-01-26,OKC,POR,1,10,32.67,6,5,0,0,4,9,5,12,6,0,1,1,3,14,12
2025-01-29,OKC,GSW,1,-7,30.97,10,2,1,0,0,0,6,18,6,0,1,1,2,4,-8
2025-02-01,OKC,SAC,0,34,26.67,12,8,0,0,0,0,3,15,6,0,0,0,3,16,14
2025-02-03,OKC,MIL,0,29,18.48,7,3,1,0,0,0,3,12,3,1,2,3,2,6,24
2025-02-05,OKC,PHO,0,31,25.53,6,3,0,0,3,4,2,4,4,1,0,1,4,9,17
2025-02-07,OKC,TOR,0,12,25.98,7,6,0,0,0,2,1,6,2,2,0,1,2,12,6
2025-02-08,OKC,MEM,1,13,32.47,9,5,0,0,2,2,6,14,4,0,2,1,5,12,5
2025-02-10,OKC,NOP,0,36,21.83,6,3,0,0,0,0,6,13,2,0,0,1,2,6,24
2025-02-12,OKC,MIA,0,14,29.73,7,4,0,0,0,0,5,8,1,2,1,3,3,8,-3
2025-02-13,OKC,MIN,1,-15,27.25,6,5,0,0,0,0,4,12,1,0,2,4,2,10,0
2025-02-21,OKC,UTA,1,23,25.02,10,4,0,0,0,0,4,13,4,0,1,1,3,8,10
2025-02-23,OKC,MIN,1,7,25.93,8,6,0,0,0,0,2,9,5,0,0,1,3,12,-4
2025-02-24,OKC,MIN,0,-3,15.72,4,1,1,0,2,2,4,5,2,0,1,1,3,4,13
2025-02-26,OKC,BRK,1,8,23.83,9,6,0,0,1,2,0,2,3,1,0,0,4,13,-22
2025-02-28,OKC,ATL,1,16,27.12,8,6,0,0,1,2,2,10,6,2,1,2,5,13,-13
2025-03-02,OKC,SAS,1,14,28.97,8,5,0,0,0,0,3,11,7,0,1,2,2,10,17
2025-03-03,OKC,HOU,0,9,25.22,4,3,0,0,2,2,1,5,6,1,1,2,4,8,8
2025-03-05,OKC,MEM,1,17,28.13,9,5,0,0,0,0,2,15,2,3,1,0,3,10,17
