Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,DET,IND,0,-6,16.98,2,1,1,0,0,0,1,4,2,1,1,2,2,2,5
2024-10-25,DET,CLE,1,-12,11.47,0,0,0,0,0,0,1,3,1,1,1,3,5,0,9
2024-10-26,DET,BOS,0,-6,18.87,3,3,0,0,0,0,2,5,3,1,0,1,4,6,-1
2024-10-28,DET,MIA,1,-8,19.22,3,0,0,0,2,2,7,15,2,0,0,3,3,2,-11
2024-10-30,DET,PHI,1,10,34.48,3,1,0,0,5,5,5,11,3,1,3,1,4,7,18
2024-11-01,DET,NYK,0,-30,16.47,3,1,2,0,0,0,1,2,2,1,2,0,2,2,-13
2024-11-03,DET,BRK,1,14,13.7,0,0,0,0,2,2,0,5,0,0,2,1,6,2,8
2024-11-04,DET,LAL,0,12,24.7,7,3,0,0,2,2,4,9,2,0,2,0,3,8,4
2024-11-06,DET,CHO,1,-1,25.98,6,3,1,0,0,2,1,7,6,0,1,1,2,6,-7
2024-11-08,DET,ATL,0,1,32.63,8,5,0,0,0,0,4,11,3,0,1,1,2,10,-3
2024-11-10,DET,HOU,0,-2,33.03,9,7,0,0,2,2,5,8,1,1,2,1,4,16,2
2024-11-12,DET,MIA,0,2,22.72,6,4,0,0,5,6,5,10,1,1,0,0,2,13,2
2024-11-13,DET,MIL,1,-7,14.33,6,4,1,1,0,0,1,3,0,0,1,0,2,9,1
2024-11-15,DET,TOR,1,4,23.65,2,1,1,0,1,1,1,7,1,0,2,1,2,3,9
2024-11-17,DET,WAS,1,20,25.45,8,4,2,1,0,0,2,6,1,0,2,0,3,9,3
2024-11-18,DET,CHI,0,-10,19.22,4,3,2,1,0,0,0,4,3,1,0,2,3,7,0
2024-11-21,DET,CHO,1,-2,28.77,5,5,0,0,3,4,5,9,3,1,2,3,4,13,10
2024-11-23,DET,ORL,1,-11,19.7,4,3,2,1,0,0,1,5,4,1,5,4,3,7,-11
2024-11-25,DET,TOR,0,2,23.05,6,3,1,0,3,3,3,7,2,1,3,1,3,9,-16
2024-11-27,DET,MEM,1,-20,18.0,6,0,4,0,0,0,0,2,0,0,0,0,0,0,-9
2024-11-29,DET,IND,1,24,21.67,2,1,0,0,0,0,2,3,2,0,0,0,2,2,1
2024-11-30,DET,PHI,0,-15,15.23,5,2,2,0,2,2,3,4,0,0,2,0,2,6,0
2024-12-03,DET,MIL,0,-21,20.0,5,3,1,1,2,2,3,6,2,0,0,3,6,9,-16
2024-12-04,DET,BOS,1,-10,22.33,2,1,0,0,0,0,0,2,1,1,1,0,2,2,-6
2024-12-07,DET,NYK,1,9,22.8,5,3,0,0,0,0,1,5,2,1,0,0,2,6,-9
