Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-01,TOR,LAL,0,-6,21.87,8,1,3,0,3,3,2,6,1,0,1,0,3,5,7
2024-11-02,TOR,SAC,0,3,10.33,1,0,0,0,0,2,1,2,1,0,0,0,2,0,-6
2024-11-04,TOR,DEN,1,-2,8.7,4,1,2,1,0,0,1,2,1,0,0,0,3,3,10
2024-11-06,TOR,SAC,1,-15,7.75,3,1,1,0,0,0,0,1,0,0,0,0,0,2,8
2024-11-27,TOR,NOP,1,26,27.55,14,6,10,2,0,1,2,11,5,2,0,3,0,14,31
2024-11-29,TOR,MIA,1,-10,25.67,8,3,2,0,0,0,0,3,2,1,1,1,2,6,-12
2024-12-01,TOR,MIA,0,3,17.1,10,5,4,2,0,0,1,3,0,0,0,0,4,12,-12
2024-12-03,TOR,IND,0,11,16.72,6,1,3,0,0,0,0,1,0,1,0,1,3,2,15
2024-12-05,TOR,OKC,0,-37,23.07,8,2,4,0,2,2,3,6,2,0,0,3,1,6,-27
2024-12-07,TOR,DAL,0,-7,20.75,10,4,4,0,0,0,0,0,3,2,0,1,3,8,6
2024-12-09,TOR,NYK,0,-5,21.75,12,6,7,3,4,5,0,1,2,0,0,2,1,19,-10
2024-12-12,TOR,MIA,1,-10,25.53,8,3,5,2,1,1,1,2,1,1,1,1,0,9,-7
2024-12-16,TOR,CHI,0,-1,23.85,6,3,1,0,0,0,1,3,2,2,0,1,2,6,-6
2024-12-19,TOR,BRK,0,-7,24.23,10,3,3,1,0,1,2,4,2,0,0,0,4,7,-9
2024-12-22,TOR,HOU,0,-4,27.87,18,9,11,6,3,4,2,2,3,0,0,1,6,27,-14
2024-12-23,TOR,NYK,1,-14,24.93,5,4,1,0,8,10,0,1,0,0,2,1,4,16,-19
2024-12-29,TOR,ATL,0,-29,16.2,3,2,2,1,0,0,0,0,1,1,0,2,1,5,-6
2024-12-31,TOR,BOS,1,-54,22.38,10,1,4,0,1,2,1,2,2,0,1,1,1,3,-26
2025-01-01,TOR,BRK,0,17,17.65,6,4,4,2,1,2,1,3,3,0,0,0,1,11,-4
2025-01-03,TOR,ORL,0,-9,18.37,3,2,2,1,0,0,0,2,0,0,0,0,0,5,-3
2025-01-06,TOR,MIL,0,-24,11.25,5,3,3,2,0,1,1,2,1,0,0,3,0,8,3
2025-01-08,TOR,NYK,1,-14,21.83,5,0,3,0,0,0,1,1,1,2,0,0,1,0,-4
2025-01-09,TOR,CLE,1,-6,15.4,2,1,2,1,1,2,0,0,1,0,0,0,2,4,5
2025-01-11,TOR,DET,1,-9,3.85,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1
2025-01-21,TOR,ORL,0,16,17.77,2,1,0,0,1,1,0,3,1,0,0,0,0,3,12
2025-01-23,TOR,ATL,1,3,6.75,2,0,1,0,0,0,0,1,0,0,0,0,4,0,-5
2025-01-25,TOR,ATL,1,23,16.48,6,3,2,1,0,1,0,3,3,2,0,0,1,7,5
2025-01-29,TOR,WAS,1,24,22.45,9,2,4,0,0,0,0,0,2,1,0,0,2,4,-1
2025-01-31,TOR,CHI,0,-16,18.35,7,3,3,1,7,8,1,4,2,1,0,0,0,14,-8
2025-02-02,TOR,LAC,0,7,21.4,11,4,6,2,0,0,0,4,2,1,0,1,1,10,-3
2025-02-04,TOR,NYK,0,-6,29.13,7,5,4,3,0,0,0,1,0,2,0,2,3,13,-8
2025-02-05,TOR,MEM,0,-31,28.2,11,5,4,1,3,3,1,3,3,2,0,1,4,14,-18
2025-02-07,TOR,OKC,1,-12,22.5,9,5,5,2,0,1,1,2,1,1,1,1,2,12,6
2025-02-09,TOR,HOU,1,-7,25.35,10,4,5,2,0,0,1,3,0,1,0,1,1,10,-2
2025-02-11,TOR,PHI,1,3,19.98,8,2,4,1,0,0,3,5,1,1,0,1,0,5,-6
2025-02-12,TOR,CLE,0,-23,21.77,4,3,0,0,0,0,1,4,2,1,0,2,2,6,3
2025-02-21,TOR,MIA,0,-9,17.28,5,3,3,2,0,0,1,4,0,0,0,1,1,8,-2
2025-02-23,TOR,PHO,0,18,18.13,6,2,3,0,2,2,1,4,0,1,0,0,2,6,9
2025-02-25,TOR,BOS,0,-10,15.95,8,3,2,0,0,0,2,3,0,1,0,0,1,6,6
2025-02-26,TOR,IND,1,-20,23.38,6,1,1,0,1,2,3,8,1,1,0,2,2,3,-4
2025-02-28,TOR,CHI,1,-10,21.82,7,3,1,0,1,1,3,4,1,0,0,1,3,7,2
2025-03-02,TOR,ORL,1,2,30.8,4,2,2,1,2,2,1,4,1,1,0,2,2,7,-1
2025-03-04,TOR,ORL,1,1,28.32,10,4,4,2,7,8,1,3,0,1,1,4,1,17,4
2025-03-07,TOR,UTA,0,9,18.28,12,5,6,2,2,2,3,5,2,1,0,0,3,14,11
