Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,BOS,WAS,1,20,5.55,1,0,0,0,1,2,2,3,1,0,0,0,0,1,-8
2024-10-28,BOS,MIL,0,11,1.82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5
2024-11-01,BOS,CHO,1,15,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-11-04,BOS,ATL,1,30,8.35,4,1,2,0,0,0,0,1,0,2,0,0,1,2,-3
2024-11-25,BOS,LAC,0,32,5.02,2,1,0,0,1,2,0,1,2,1,0,0,1,3,4
2024-12-01,BOS,CLE,1,-4,0.1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-4
2024-12-02,BOS,MIA,0,19,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2024-12-15,BOS,WAS,1,14,2.37,1,0,0,0,1,2,1,1,0,0,0,0,0,1,-7
2024-12-19,BOS,CHI,0,-9,13.12,2,0,1,0,0,0,0,4,0,0,0,0,1,0,-5
2024-12-21,BOS,CHI,1,25,3.45,1,1,0,0,1,1,0,1,0,0,0,0,0,3,0
2024-12-27,BOS,IND,0,37,7.72,0,0,0,0,6,6,0,1,0,0,0,0,2,6,9
2024-12-29,BOS,IND,0,-9,2.42,2,0,1,0,0,0,0,1,1,0,0,0,0,0,6
2024-12-31,BOS,TOR,0,54,6.23,1,1,0,0,0,0,0,0,1,0,0,1,1,2,6
2025-01-03,BOS,HOU,1,23,3.87,0,0,0,0,2,2,0,0,0,1,0,0,2,2,2
2025-01-07,BOS,DEN,1,12,0.98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2025-01-10,BOS,SAC,0,-17,2.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3
