Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,TOR,CLE,0,-30,26.15,6,2,0,0,2,4,3,9,2,0,0,5,4,6,-13
2024-10-25,TOR,PHI,0,8,27.4,8,5,0,0,9,11,1,9,3,0,4,2,4,19,7
2024-10-26,TOR,MIN,1,-11,29.97,9,4,0,0,0,0,3,10,3,1,1,2,4,8,-12
2024-10-28,TOR,DEN,0,-2,40.18,13,7,0,0,2,2,8,19,2,0,1,3,2,16,-1
2024-10-30,TOR,CHO,1,-5,35.12,14,10,0,0,0,0,5,16,2,2,0,1,4,20,18
2024-11-01,TOR,LAL,0,-6,35.1,14,9,0,0,1,1,6,12,6,0,3,2,3,19,-4
2024-11-02,TOR,SAC,0,3,33.82,8,5,0,0,3,4,3,9,2,2,1,4,6,13,-16
2024-11-04,TOR,DEN,1,-2,32.45,18,11,0,0,2,4,6,11,3,3,0,2,6,24,-5
2024-11-06,TOR,SAC,1,-15,34.62,8,5,0,0,0,0,1,8,4,2,0,3,2,10,-18
2024-11-09,TOR,LAC,1,-2,30.13,6,1,0,0,3,6,2,12,3,0,3,4,2,5,0
2024-11-10,TOR,LAL,1,-20,31.13,12,7,0,0,0,0,4,10,4,1,0,1,4,14,-4
2024-11-12,TOR,MIL,1,-14,28.22,13,6,0,0,1,2,4,8,1,3,2,3,4,13,0
2024-11-15,TOR,DET,0,-4,35.02,20,12,0,0,1,4,10,18,3,1,3,1,4,25,6
2024-11-16,TOR,BOS,1,-3,37.23,19,16,0,0,3,4,6,12,0,1,0,2,2,35,-3
2024-11-18,TOR,IND,0,11,37.62,18,13,0,0,4,6,4,15,2,2,2,6,3,30,18
2024-11-21,TOR,MIN,0,5,28.78,8,5,0,0,5,8,3,12,2,0,0,0,4,15,0
2024-11-24,TOR,CLE,1,-14,33.02,12,5,1,0,2,3,8,19,2,1,2,1,2,12,-14
2024-11-25,TOR,DET,1,-2,27.7,11,4,0,0,0,0,4,11,2,0,2,2,4,8,-13
2024-11-27,TOR,NOP,1,26,30.63,4,1,0,0,0,2,1,8,1,2,1,0,4,2,26
2024-11-29,TOR,MIA,1,-10,32.4,11,10,0,0,4,5,4,10,1,0,1,2,6,24,-2
2024-12-01,TOR,MIA,0,3,36.68,12,6,0,0,5,8,4,11,3,2,1,1,4,17,-11
2024-12-03,TOR,IND,0,11,35.85,10,7,0,0,3,3,1,10,4,1,2,3,5,17,18
2024-12-07,TOR,DAL,0,-7,33.53,11,7,0,0,6,6,2,7,7,2,0,3,5,20,-8
2024-12-09,TOR,NYK,0,-5,33.42,8,4,0,0,2,2,6,12,4,1,2,1,2,10,10
2024-12-12,TOR,MIA,1,-10,27.1,12,7,1,0,2,3,2,4,2,1,1,1,2,16,-18
