Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-22,NYK,BOS,1,-23,24.5,14,9,2,1,3,3,0,1,2,0,0,4,3,22,-23
2024-10-25,NYK,IND,0,25,29.92,19,10,5,3,3,4,2,5,5,0,0,1,1,26,36
2024-10-28,NYK,CLE,0,-6,37.6,24,8,4,0,5,7,0,3,7,0,0,1,2,21,0
2024-10-30,NYK,MIA,1,9,36.37,18,6,7,3,7,8,0,2,9,0,0,1,0,22,5
2024-11-01,NYK,DET,1,30,30.67,22,14,8,6,2,4,0,1,5,2,0,2,2,36,23
2024-11-04,NYK,HOU,1,-12,42.42,24,9,4,2,9,9,1,3,8,1,0,1,2,29,-8
2024-11-06,NYK,ATL,1,-5,36.75,18,8,11,4,1,2,0,3,4,0,0,3,3,21,-5
2024-11-08,NYK,MIL,0,22,31.77,14,6,5,0,3,4,1,2,9,1,0,0,2,15,28
2024-11-10,NYK,IND,1,-11,40.62,17,11,2,1,10,12,0,6,10,0,0,3,4,33,-8
2024-11-12,NYK,PHI,1,12,34.87,15,5,4,0,8,8,0,3,5,1,0,6,1,18,7
2024-11-13,NYK,CHI,0,-1,34.48,20,9,9,3,3,5,1,3,8,0,0,2,3,24,-13
2024-11-15,NYK,BRK,0,2,34.12,20,12,8,3,10,12,0,3,7,0,0,3,4,37,-1
2024-11-17,NYK,BRK,0,10,34.37,14,3,5,0,6,8,1,5,10,2,0,3,4,12,-1
2024-11-18,NYK,WAS,0,28,30.3,15,9,9,5,3,3,0,1,11,1,0,0,1,26,26
2024-11-20,NYK,PHO,1,16,36.7,21,12,11,7,5,5,1,2,10,1,0,5,1,36,16
2024-11-23,NYK,UTA,1,-15,37.05,19,8,9,2,5,5,0,2,8,1,0,2,3,23,-15
2024-11-25,NYK,DEN,1,27,37.87,14,8,5,4,3,3,0,3,17,0,0,2,2,23,19
2024-11-27,NYK,DAL,1,-15,36.37,21,14,3,0,9,10,0,3,7,2,0,2,4,37,-12
2024-11-29,NYK,CHO,1,1,36.68,18,9,6,4,9,12,0,6,6,1,1,2,4,31,0
2024-12-01,NYK,NOP,0,33,26.47,11,4,7,3,5,5,2,2,9,0,0,3,3,16,29
2024-12-03,NYK,ORL,0,15,26.52,15,8,3,1,4,4,1,2,4,0,0,3,3,21,24
2024-12-05,NYK,CHO,0,24,26.97,8,6,6,5,7,8,0,1,5,1,0,0,1,24,22
2024-12-07,NYK,DET,0,-9,43.8,21,11,7,3,6,9,0,4,10,1,0,5,2,31,-10
2024-12-09,NYK,TOR,1,5,34.52,13,7,8,4,2,5,0,4,11,0,0,3,1,20,-2
2024-12-11,NYK,ATL,0,-8,35.52,15,5,6,2,2,3,1,4,8,1,1,2,0,14,0
2024-12-15,NYK,ORL,1,9,38.05,18,8,8,4,11,14,0,3,5,1,0,3,2,31,3
2024-12-19,NYK,MIN,1,26,29.75,14,5,5,2,2,2,1,3,7,1,0,3,1,14,8
2024-12-21,NYK,NOP,1,11,39.9,19,13,10,7,6,6,0,1,6,2,0,4,1,39,25
2024-12-23,NYK,TOR,0,14,32.13,13,4,5,0,4,8,0,1,7,2,0,3,6,12,8
2024-12-25,NYK,SAS,0,3,38.17,23,7,5,0,6,7,1,7,9,1,0,1,2,20,4
2024-12-27,NYK,ORL,1,23,36.72,21,11,2,0,4,6,1,3,9,2,0,1,4,26,19
2024-12-28,NYK,WAS,1,4,44.0,31,18,11,3,16,17,0,3,9,0,0,3,1,55,1
2024-12-30,NYK,WAS,1,20,35.88,17,6,6,1,5,5,0,3,6,1,0,2,1,18,2
2025-01-03,NYK,OKC,1,-10,40.13,23,9,5,0,4,6,1,3,9,1,0,3,2,22,-3
2025-01-04,NYK,CHI,1,-13,32.83,20,11,4,1,10,11,1,2,8,2,0,1,0,33,-18
