Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,DET,IND,0,-6,30.07,4,4,0,0,5,6,4,13,4,0,0,2,3,13,-16
2024-10-25,DET,CLE,1,-12,29.2,4,2,0,0,1,4,3,7,5,1,1,1,5,5,-7
2024-10-26,DET,BOS,0,-6,28.73,7,7,0,0,1,2,3,9,2,0,2,2,1,15,-5
2024-10-28,DET,MIA,1,-8,28.78,6,5,0,0,0,0,4,11,2,0,3,0,2,10,3
2024-10-30,DET,PHI,1,10,10.72,0,0,0,0,0,2,3,6,1,0,0,2,6,0,-4
2024-11-01,DET,NYK,0,-30,18.32,2,2,0,0,1,2,1,7,2,0,1,3,1,5,-22
2024-11-03,DET,BRK,1,14,33.25,5,5,0,0,3,4,3,17,4,1,3,4,3,13,6
2024-11-04,DET,LAL,0,12,23.85,7,5,0,0,1,1,8,14,1,1,1,2,5,11,6
2024-11-06,DET,CHO,1,-1,7.52,1,0,0,0,0,0,0,3,1,0,0,0,1,0,3
2024-11-12,DET,MIA,0,2,30.27,5,4,0,0,0,2,3,11,5,0,2,1,3,8,0
2024-11-13,DET,MIL,1,-7,34.13,4,3,0,0,3,4,4,9,6,0,0,5,5,9,-9
2024-11-15,DET,TOR,1,4,24.3,6,5,0,0,2,4,2,8,1,0,1,1,5,12,-6
2024-11-17,DET,WAS,1,20,18.2,8,5,0,0,1,4,4,10,1,1,0,1,3,11,22
2024-11-18,DET,CHI,0,-10,30.08,13,7,0,0,1,2,12,22,3,0,2,0,3,15,-7
2024-11-21,DET,CHO,1,-2,24.08,3,2,0,0,1,1,2,9,0,1,0,1,4,5,-17
2024-11-23,DET,ORL,1,-11,24.58,5,2,0,0,3,4,1,4,1,0,1,3,3,7,-6
2024-11-25,DET,TOR,0,2,24.58,7,4,0,0,5,8,2,12,4,0,4,2,1,13,16
2024-11-27,DET,MEM,1,-20,20.72,5,2,0,0,2,2,1,7,3,0,1,2,3,6,-17
2024-11-29,DET,IND,1,24,26.2,8,5,0,0,4,7,2,12,2,0,4,1,2,14,21
2024-11-30,DET,PHI,0,-15,12.53,2,2,0,0,0,0,0,0,2,0,0,4,1,4,-27
2024-12-03,DET,MIL,0,-21,19.78,6,5,0,0,1,1,3,6,2,1,3,3,5,11,-10
2024-12-04,DET,BOS,1,-10,25.1,5,1,0,0,3,6,2,5,2,1,0,4,4,5,-4
2024-12-07,DET,NYK,1,9,25.2,9,6,0,0,0,0,3,3,0,2,0,1,4,12,18
2024-12-16,DET,MIA,0,1,31.78,7,4,0,0,1,1,4,16,2,1,1,5,5,9,-5
2024-12-19,DET,UTA,0,-7,25.6,4,4,0,0,0,0,3,7,2,2,0,1,3,8,-26
2024-12-21,DET,PHO,1,8,33.6,7,7,0,0,3,5,3,11,2,0,0,2,2,17,4
2024-12-23,DET,LAL,1,3,27.43,2,1,0,0,4,4,3,9,2,1,1,2,3,6,-19
2024-12-26,DET,SAC,1,1,31.97,8,5,0,0,3,4,2,10,3,2,2,1,2,13,-11
2024-12-28,DET,DEN,1,-13,19.9,8,5,0,0,2,4,3,7,2,0,0,1,4,12,-8
2025-01-01,DET,ORL,0,9,26.73,10,9,0,0,0,0,3,11,1,1,0,1,3,18,13
2025-01-03,DET,CHO,0,4,24.72,9,5,0,0,0,0,7,14,1,0,3,2,5,10,-1
2025-01-04,DET,MIN,0,14,22.88,4,2,0,0,1,2,5,7,3,2,1,0,5,5,3
2025-01-06,DET,POR,0,3,27.42,11,7,0,0,0,0,6,12,4,0,0,3,0,14,2
2025-01-08,DET,BRK,1,15,21.63,5,3,0,0,2,4,2,9,3,2,2,1,1,8,12
2025-01-09,DET,GSW,0,-3,31.0,6,3,0,0,2,3,1,12,3,1,3,2,4,8,13
2025-01-11,DET,TOR,0,9,28.32,4,3,0,0,4,4,1,9,2,0,1,1,5,10,12
2025-01-13,DET,NYK,1,5,19.55,4,4,0,0,2,2,4,8,3,0,0,1,6,10,-9
2025-01-16,DET,IND,0,-11,27.22,8,8,0,0,1,1,6,17,0,0,2,1,2,17,-16
2025-01-18,DET,PHO,0,-4,24.77,9,5,0,0,5,6,7,10,2,0,0,1,4,15,6
