Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ATL,BRK,0,4,36.85,9,4,3,0,3,8,1,10,4,3,1,6,3,11,-3
2024-10-25,ATL,CHO,0,5,41.17,15,4,4,1,7,9,2,7,3,2,2,2,5,16,12
2024-10-27,ATL,OKC,1,-24,29.2,13,3,3,1,0,0,1,9,2,0,1,4,5,7,-21
2024-10-28,ATL,WAS,0,-2,38.8,17,11,3,1,6,7,2,12,7,1,1,3,3,29,8
2024-10-30,ATL,WAS,1,-13,40.35,21,9,5,1,2,5,6,17,4,3,0,3,1,21,-12
2024-11-01,ATL,SAC,0,-8,36.0,10,4,6,2,4,6,1,5,9,2,0,3,3,14,-2
2024-11-03,ATL,NOP,1,15,37.9,20,12,4,0,5,6,2,9,8,2,2,4,2,29,32
2024-11-04,ATL,BOS,0,-30,30.58,20,7,7,2,4,5,2,11,4,1,0,6,0,20,-34
2024-11-06,ATL,NYK,0,5,39.25,18,10,6,3,0,0,4,15,7,0,1,2,1,23,26
2024-11-08,ATL,DET,1,-1,37.17,19,8,6,2,2,2,0,9,1,0,1,1,2,20,-12
2024-11-09,ATL,CHI,0,-12,34.12,11,6,6,3,5,6,1,6,5,1,1,3,3,20,-11
2024-11-12,ATL,BOS,1,1,38.83,17,8,4,2,0,0,3,13,10,3,1,3,4,18,4
