Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ORL,MIA,1,19,12.53,4,3,2,1,4,4,0,2,4,1,0,1,3,11,18
2024-10-25,ORL,BRK,0,15,21.63,6,3,3,2,2,2,0,5,1,1,0,3,2,10,-1
2024-10-26,ORL,MEM,1,-13,30.65,17,6,13,5,4,4,0,7,3,4,1,2,1,21,-13
2024-10-28,ORL,IND,0,4,34.75,17,8,13,6,3,4,1,5,7,1,1,2,1,25,9
2024-10-30,ORL,CHI,1,-3,35.2,16,7,9,3,0,0,0,6,5,4,2,4,3,17,-3
2024-11-01,ORL,CLE,1,-11,36.55,20,10,7,1,7,8,1,8,7,3,1,3,2,28,-8
2024-11-03,ORL,DAL,1,-23,28.65,13,4,5,1,1,2,1,4,2,1,2,0,2,10,-26
2024-11-04,ORL,OKC,1,-16,34.98,13,6,4,1,6,6,0,6,6,0,1,2,4,19,-17
2024-11-06,ORL,IND,1,-7,35.67,10,6,3,1,2,2,1,5,6,1,1,5,3,15,-14
2024-11-08,ORL,NOP,0,27,32.72,9,3,6,1,0,0,0,6,3,1,2,5,1,7,9
2024-11-10,ORL,WAS,0,27,18.2,8,2,6,1,0,0,1,3,2,0,0,4,4,5,15
2024-11-12,ORL,CHO,0,25,28.0,14,7,5,3,0,0,0,4,4,2,1,2,3,17,17
2024-11-13,ORL,IND,0,4,37.62,15,2,11,2,2,2,1,2,3,2,2,4,3,8,8
2024-11-15,ORL,PHI,0,12,34.47,16,6,8,1,6,6,3,7,3,1,1,5,4,19,8
2024-11-18,ORL,PHO,1,10,29.65,11,4,7,2,2,2,0,2,1,0,2,3,1,12,-1
2024-11-20,ORL,LAC,1,-11,25.05,11,5,6,2,4,4,1,2,2,1,1,0,2,16,-10
2024-11-21,ORL,LAL,1,1,39.7,18,7,13,5,4,5,1,5,5,2,2,3,4,23,6
2024-11-23,ORL,DET,0,11,9.02,3,1,1,0,0,0,0,0,1,0,1,0,0,2,-6
2024-11-27,ORL,CHI,0,14,31.97,18,10,9,4,7,7,1,3,7,0,0,2,2,31,20
2024-11-29,ORL,BRK,1,23,26.58,12,5,6,2,0,0,0,3,6,1,1,3,6,12,10
2024-12-01,ORL,BRK,1,8,27.18,11,4,3,1,3,3,1,3,5,2,0,5,6,12,10
2024-12-03,ORL,NYK,1,-15,39.43,16,5,8,0,4,4,0,3,3,2,1,1,1,14,-18
2024-12-04,ORL,PHI,1,4,37.1,15,6,8,4,1,2,1,2,6,3,0,4,1,17,-10
2024-12-06,ORL,PHI,1,-8,32.68,19,8,12,4,2,2,0,1,3,3,0,3,4,22,2
2024-12-08,ORL,PHO,0,5,31.38,18,8,10,4,6,7,0,4,2,1,0,4,5,26,-2
2024-12-10,ORL,MIL,1,-5,37.68,26,12,11,3,5,6,3,9,1,4,1,4,2,32,2
2024-12-15,ORL,NYK,0,-9,32.37,19,4,5,1,0,0,1,5,8,1,3,2,6,9,-15
2024-12-19,ORL,OKC,0,-6,17.18,10,4,6,1,0,0,1,5,4,1,2,4,1,9,-3
2024-12-23,ORL,BOS,0,4,29.12,13,5,5,1,5,5,1,6,5,1,2,5,2,16,5
2024-12-26,ORL,MIA,0,-1,32.32,21,10,11,2,7,8,0,4,2,1,0,7,3,29,8
2024-12-27,ORL,NYK,0,-23,26.45,20,10,6,4,3,3,1,4,3,1,0,3,5,27,-6
2024-12-29,ORL,BRK,0,1,13.18,7,2,1,0,4,5,1,2,2,0,0,1,3,8,-4
2025-01-01,ORL,DET,1,-9,33.82,20,9,9,3,3,4,1,4,3,3,2,2,3,24,-5
2025-01-03,ORL,TOR,1,9,13.25,7,2,5,2,0,0,0,2,1,1,0,1,0,6,6
2025-01-25,ORL,DET,0,8,15.65,8,3,5,2,0,3,0,2,3,1,0,3,5,8,12
