Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,OKC,DEN,1,15,33.72,16,5,8,2,0,1,1,3,3,0,2,5,3,12,0
2024-10-26,OKC,CHI,1,19,32.07,22,10,4,1,3,3,2,9,8,0,0,2,1,24,5
2024-10-27,OKC,ATL,0,24,32.88,17,8,3,0,4,8,2,9,5,2,0,0,4,20,14
2024-10-30,OKC,SAS,0,12,26.7,13,5,3,1,1,2,0,7,8,4,1,1,3,12,19
2024-11-01,OKC,POR,1,23,26.27,12,8,6,4,2,2,1,5,4,4,0,3,2,22,16
2024-11-02,OKC,LAC,1,13,34.03,16,5,5,3,2,2,0,7,4,2,0,4,4,15,10
2024-11-04,OKC,ORL,0,16,34.53,17,10,7,3,0,0,0,4,1,3,1,1,3,23,-1
2024-11-06,OKC,DEN,1,-2,36.05,20,11,8,4,3,5,2,10,9,3,0,1,4,29,3
2024-11-08,OKC,HOU,0,19,31.65,11,7,1,0,0,0,0,5,3,0,1,3,3,14,21
2024-11-10,OKC,GSW,0,-11,31.3,15,9,2,0,2,2,1,3,4,1,4,4,2,20,-19
2024-11-11,OKC,LAC,0,6,35.42,16,11,3,2,4,4,2,8,6,2,0,2,4,28,5
2024-11-13,OKC,NOP,0,18,31.25,18,10,7,4,7,7,1,6,7,4,2,2,1,31,13
2024-11-15,OKC,PHO,0,16,30.32,16,6,4,0,2,2,0,8,3,2,2,1,3,14,12
2024-11-17,OKC,DAL,0,-2,35.15,17,11,6,3,2,2,2,5,5,1,1,1,5,27,-2
2024-11-19,OKC,SAS,1,-6,33.85,26,13,6,0,1,1,3,10,5,5,0,1,3,27,-17
2024-11-20,OKC,POR,0,10,35.88,19,11,9,5,3,3,0,7,8,2,2,3,3,30,14
2024-11-25,OKC,SAC,1,21,32.1,16,10,7,3,5,5,0,4,5,2,1,5,3,28,16
2024-11-27,OKC,GSW,1,4,16.1,6,3,4,2,5,8,1,6,7,2,1,2,1,13,4
2024-11-29,OKC,LAL,1,8,33.97,19,8,5,2,1,2,0,4,2,2,0,3,3,19,-3
2024-12-01,OKC,HOU,1,-3,37.43,21,7,7,2,6,7,0,5,7,1,1,1,3,22,0
2024-12-03,OKC,UTA,0,27,27.62,18,12,4,1,3,4,1,2,5,3,0,0,1,28,15
2024-12-05,OKC,TOR,1,37,28.37,13,6,4,2,6,6,0,7,2,0,0,0,1,20,25
2024-12-07,OKC,NOP,1,10,34.77,19,10,9,4,3,5,1,6,5,4,0,4,3,27,18
2024-12-10,OKC,DAL,0,14,32.27,21,8,3,0,2,2,2,7,4,0,1,4,2,18,5
2024-12-14,OKC,HOU,0,15,38.68,20,8,5,2,2,2,0,5,5,1,0,3,2,20,10
2024-12-19,OKC,ORL,1,6,35.6,15,5,5,1,0,0,1,1,7,0,0,3,3,11,2
2024-12-20,OKC,MIA,1,7,35.72,25,12,7,4,5,7,1,6,4,0,1,4,1,33,1
2024-12-23,OKC,WAS,0,18,29.12,18,7,2,0,3,4,2,7,4,1,0,2,4,17,-8
2024-12-26,OKC,IND,1,6,35.5,22,8,6,2,2,2,0,4,5,0,0,2,2,20,-8
2024-12-28,OKC,CHO,1,12,33.63,21,8,7,1,3,3,0,3,6,1,0,1,0,20,17
2024-12-29,OKC,MEM,0,24,25.58,16,7,5,0,0,0,4,10,8,2,1,2,3,14,12
2024-12-31,OKC,MIN,0,8,37.73,12,6,4,1,1,4,0,7,7,3,0,3,3,14,-10
2025-01-02,OKC,LAC,0,18,29.6,14,8,3,1,1,2,0,3,4,2,1,2,0,18,33
2025-01-03,OKC,NYK,0,10,37.85,17,8,4,1,3,5,0,4,5,2,1,0,2,20,6
2025-01-05,OKC,BOS,0,13,34.78,10,3,3,1,3,4,0,6,5,1,0,4,5,10,19
2025-01-08,OKC,CLE,1,-7,35.9,17,9,7,2,5,7,1,5,9,3,1,3,3,25,-12
2025-01-10,OKC,NYK,1,25,33.32,16,8,3,0,3,4,0,4,5,1,2,1,3,19,5
2025-01-12,OKC,WAS,1,41,21.32,13,4,4,1,8,8,0,6,2,0,0,3,1,17,21
2025-01-14,OKC,PHI,1,16,33.82,15,8,5,2,6,6,1,4,6,3,1,4,3,24,21
2025-01-16,OKC,CLE,0,20,30.12,14,8,4,1,2,2,1,6,5,3,2,0,2,19,29
2025-01-17,OKC,DAL,1,-8,37.1,22,7,5,1,4,8,0,5,6,0,0,6,2,19,-12
2025-01-22,OKC,UTA,0,9,36.15,18,9,3,1,6,7,1,3,2,2,0,2,2,25,-1
2025-01-23,OKC,DAL,0,-6,39.97,19,11,8,4,7,10,1,4,7,4,1,3,3,33,-11
2025-01-26,OKC,POR,1,10,36.65,19,7,4,2,8,8,0,4,8,1,2,0,1,24,9
2025-01-29,OKC,GSW,1,-7,34.3,26,12,6,2,0,2,2,7,2,2,1,1,4,26,-18
2025-02-05,OKC,PHO,0,31,25.53,12,6,3,1,0,0,1,3,4,2,0,0,0,13,17
2025-02-07,OKC,TOR,0,12,33.18,19,9,3,1,8,10,1,5,4,0,0,3,1,27,9
2025-02-08,OKC,MEM,1,13,37.17,20,12,5,1,0,0,2,6,6,1,1,4,5,25,10
2025-02-10,OKC,NOP,0,36,25.05,11,6,4,3,1,2,0,5,5,2,0,2,0,16,22
2025-02-12,OKC,MIA,0,14,30.6,15,7,4,1,3,5,3,6,3,1,0,2,1,18,-6
2025-02-13,OKC,MIN,1,-15,34.02,17,8,4,0,4,5,0,3,5,1,1,1,1,20,-4
2025-02-21,OKC,UTA,1,23,28.35,14,6,7,4,2,2,2,9,4,2,1,2,1,18,13
2025-02-23,OKC,MIN,1,7,36.4,14,6,5,3,3,4,0,3,9,3,1,3,4,18,-2
2025-02-24,OKC,MIN,0,-3,42.05,23,10,8,2,5,6,2,6,6,1,1,3,3,27,-5
