Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,BRK,ATL,1,-4,33.97,7,3,5,2,8,8,1,4,1,0,0,1,5,16,4
2024-10-25,BRK,ORL,1,-15,13.17,3,0,2,0,0,0,0,1,2,1,0,2,4,0,-17
2024-10-27,BRK,MIL,0,13,14.32,1,1,0,0,0,0,0,1,2,0,0,0,2,2,5
2024-10-29,BRK,DEN,0,-5,20.97,6,3,5,2,3,3,2,6,2,1,0,0,2,11,8
2024-10-30,BRK,MEM,1,13,26.85,7,5,3,1,1,2,3,7,2,0,0,2,1,12,25
2024-11-01,BRK,CHI,0,8,22.28,8,3,5,1,0,0,0,1,3,1,0,2,1,7,8
2024-11-03,BRK,DET,0,-14,21.82,6,3,1,1,1,2,1,3,2,0,0,0,0,8,4
2024-11-04,BRK,MEM,0,2,28.33,12,5,6,0,3,4,1,6,4,0,0,0,2,13,0
2024-11-08,BRK,BOS,1,-4,24.65,10,3,4,0,2,2,1,2,1,0,0,1,1,8,-1
2024-11-09,BRK,CLE,1,-5,10.02,3,1,2,0,0,0,2,3,1,0,0,2,1,2,-11
2024-11-11,BRK,NOP,1,2,23.42,10,3,4,1,3,3,1,1,2,0,0,1,3,10,-4
2024-11-13,BRK,BOS,0,-25,22.23,5,4,1,1,2,2,1,5,4,1,0,1,2,11,-5
2024-11-15,BRK,NYK,1,-2,16.12,6,2,4,2,0,0,0,2,1,0,0,0,3,6,-11
2024-11-17,BRK,NYK,1,-10,25.32,7,5,5,3,2,3,2,6,0,0,0,1,2,15,-2
2024-11-19,BRK,CHO,0,1,34.27,13,6,8,5,0,0,1,1,0,1,0,2,3,17,6
2024-11-22,BRK,PHI,1,-15,20.63,7,3,3,0,0,0,4,6,1,0,0,0,0,6,-9
2024-11-24,BRK,SAC,1,5,33.17,4,2,3,2,1,2,2,4,2,0,0,1,4,7,4
2024-11-25,BRK,GSW,1,8,40.85,11,5,8,3,5,5,0,7,2,0,1,1,2,18,18
2024-11-29,BRK,ORL,0,-23,31.32,6,4,3,3,0,0,0,2,1,0,0,1,2,11,-30
2024-12-01,BRK,ORL,0,-8,21.55,2,1,2,1,2,2,0,3,0,1,0,1,5,5,-5
2024-12-02,BRK,CHI,1,-26,25.87,5,1,3,0,0,0,0,6,0,0,0,1,5,2,-9
2024-12-04,BRK,IND,0,9,37.93,11,4,5,1,2,2,1,3,3,2,0,0,0,11,0
2024-12-08,BRK,MIL,0,-5,26.13,8,1,5,1,0,0,1,2,3,0,0,0,3,3,-9
2024-12-13,BRK,MEM,1,-16,28.78,13,5,8,3,2,3,0,2,4,2,0,2,2,15,-2
2024-12-16,BRK,CLE,0,-29,29.25,11,4,8,4,1,2,0,1,2,2,0,1,3,13,-14
2024-12-19,BRK,TOR,1,7,27.4,11,1,7,0,4,5,2,2,1,2,0,0,1,6,-8
2024-12-21,BRK,UTA,0,-11,22.75,9,3,5,1,2,2,1,7,2,1,0,2,1,9,-5
2024-12-23,BRK,MIA,1,-15,29.98,10,3,3,0,2,3,1,3,1,0,0,1,1,8,-13
2024-12-26,BRK,MIL,1,6,31.63,7,2,4,0,0,0,1,4,5,0,0,1,1,4,6
2024-12-27,BRK,SAS,0,-9,39.38,13,4,6,3,0,0,0,2,3,0,0,2,4,11,-12
2024-12-29,BRK,ORL,1,-1,31.15,5,4,5,4,4,4,0,1,1,1,0,1,4,16,5
2025-01-01,BRK,TOR,1,-17,31.48,11,3,5,1,3,3,1,1,0,0,0,1,3,10,-10
2025-01-02,BRK,MIL,1,3,36.98,13,6,4,1,0,0,2,4,1,2,0,2,3,13,-21
2025-01-04,BRK,PHI,0,-29,33.05,11,4,8,3,0,0,1,4,0,0,0,3,6,11,-20
2025-01-06,BRK,IND,0,-14,30.95,11,4,4,0,0,0,4,4,3,0,0,1,1,8,-1
2025-01-08,BRK,DET,0,-15,31.63,7,2,6,1,2,2,1,2,2,1,0,2,0,7,-1
2025-01-10,BRK,DEN,1,-19,16.88,5,0,4,0,0,0,0,3,1,0,0,3,5,0,-18
