Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,TOR,CLE,0,-30,18.72,7,3,4,1,3,3,0,1,4,1,1,2,2,10,-21
2024-10-25,TOR,PHI,0,8,25.48,11,4,2,1,2,2,0,2,5,0,0,7,2,11,-14
2024-10-26,TOR,MIN,1,-11,18.88,4,2,2,1,0,0,0,0,5,0,0,1,2,5,-1
2024-10-28,TOR,DEN,0,-2,18.1,8,4,2,0,0,0,0,1,5,1,0,1,3,8,0
2024-10-30,TOR,CHO,1,-5,19.57,6,2,2,1,2,3,1,2,9,1,0,1,1,7,0
2024-11-01,TOR,LAL,0,-6,14.8,7,2,3,0,0,0,0,1,1,0,0,1,2,4,-6
2024-11-02,TOR,SAC,0,3,14.07,3,0,1,0,0,0,0,0,6,0,0,1,2,0,-2
2024-11-04,TOR,DEN,1,-2,17.45,4,3,1,1,1,1,0,2,3,1,0,0,4,8,-2
2024-11-06,TOR,SAC,1,-15,15.78,5,2,1,0,1,1,0,1,2,0,1,1,2,5,-1
2024-11-09,TOR,LAC,1,-2,5.38,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-5
2024-11-10,TOR,LAL,1,-20,9.15,4,1,2,0,0,0,0,0,1,0,0,3,1,2,3
2024-11-12,TOR,MIL,1,-14,12.23,2,0,1,0,0,0,0,1,2,1,0,2,0,0,-12
2024-11-15,TOR,DET,0,-4,10.47,4,2,1,0,0,0,0,1,1,0,0,0,2,4,-17
2024-11-16,TOR,BOS,1,-3,20.75,9,3,1,0,0,0,0,1,4,0,0,1,3,6,-3
2024-11-18,TOR,IND,0,11,13.98,5,2,2,0,0,2,0,0,2,0,0,3,2,4,-15
2024-11-21,TOR,MIN,0,5,8.15,1,0,0,0,0,0,0,1,0,1,0,0,1,0,-5
2024-11-24,TOR,CLE,1,-14,16.32,5,2,5,2,0,0,0,2,2,1,0,2,3,6,5
2024-11-25,TOR,DET,1,-2,17.22,9,3,3,2,0,0,1,2,4,1,0,0,4,8,11
2024-11-27,TOR,NOP,1,26,15.47,6,3,4,2,0,0,0,1,4,2,0,1,1,8,2
2024-11-29,TOR,MIA,1,-10,7.43,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5
2024-12-01,TOR,MIA,0,3,3.87,1,1,0,0,0,0,0,0,0,0,0,1,1,2,-11
2024-12-03,TOR,IND,0,11,9.53,2,2,2,2,0,0,0,1,0,0,0,1,2,6,8
2024-12-05,TOR,OKC,0,-37,11.9,4,0,4,0,0,0,0,1,2,0,0,1,0,0,-14
2024-12-12,TOR,MIA,1,-10,13.78,5,2,1,1,0,0,0,0,1,1,0,1,2,5,-1
2024-12-16,TOR,CHI,0,-1,12.0,4,4,2,2,0,0,2,4,6,1,0,1,1,10,10
2024-12-19,TOR,BRK,0,-7,25.62,7,2,5,1,0,0,1,1,4,1,0,2,4,5,-10
2024-12-22,TOR,HOU,0,-4,32.93,7,5,3,1,0,0,0,6,10,2,1,3,2,11,1
2024-12-29,TOR,ATL,0,-29,25.12,2,2,1,1,0,0,1,2,6,0,1,1,2,5,-15
2024-12-31,TOR,BOS,1,-54,24.52,10,2,5,1,0,0,0,1,3,2,0,3,0,5,-37
2025-01-01,TOR,BRK,0,17,18.03,7,3,3,0,1,3,0,0,5,1,0,3,1,7,2
2025-01-03,TOR,ORL,0,-9,13.62,2,1,1,0,0,0,1,1,6,1,0,2,0,2,-11
2025-01-06,TOR,MIL,0,-24,18.03,6,1,2,0,1,2,1,2,6,2,0,1,2,3,2
2025-01-08,TOR,NYK,1,-14,16.35,3,1,2,1,1,2,0,0,4,0,0,2,1,4,-21
2025-01-09,TOR,CLE,1,-6,14.6,7,6,3,3,0,0,0,0,3,0,0,1,1,15,4
2025-01-11,TOR,DET,1,-9,16.85,3,3,1,1,3,3,0,0,5,2,0,0,2,10,17
2025-01-13,TOR,GSW,0,3,17.85,6,3,4,3,0,0,1,1,2,0,0,1,3,9,2
2025-01-15,TOR,BOS,0,13,15.27,6,3,4,2,0,0,0,0,1,0,0,3,2,8,2
2025-01-17,TOR,MIL,1,-18,18.4,3,1,1,0,0,0,1,1,1,0,0,1,1,2,-12
2025-01-21,TOR,ORL,0,16,21.92,5,2,3,2,0,0,0,2,1,1,0,1,2,6,19
2025-01-23,TOR,ATL,1,3,16.85,4,1,1,0,0,0,0,2,2,0,0,0,2,2,-14
2025-01-25,TOR,ATL,1,23,22.28,7,1,3,0,3,3,0,0,6,0,0,3,2,5,21
2025-01-27,TOR,NOP,0,9,23.93,9,2,5,1,0,0,0,2,5,0,1,3,2,5,-9
2025-01-29,TOR,WAS,1,24,21.02,5,3,2,1,3,3,1,2,4,1,0,1,1,10,0
2025-02-04,TOR,NYK,0,-6,23.07,12,7,4,1,1,1,1,3,9,0,0,2,4,16,10
2025-02-05,TOR,MEM,0,-31,30.47,10,5,5,2,2,2,0,0,4,1,0,2,2,14,-37
2025-02-07,TOR,OKC,1,-12,22.48,10,3,3,1,0,2,0,3,6,0,0,0,5,7,-13
2025-02-09,TOR,HOU,1,-7,18.98,9,6,3,2,0,0,0,0,2,0,0,1,2,14,-5
2025-02-11,TOR,PHI,1,3,17.07,5,3,1,0,0,0,0,3,5,0,0,3,1,6,-10
2025-02-12,TOR,CLE,0,-23,18.1,5,1,1,0,0,0,0,0,2,1,0,2,1,2,-11
2025-02-21,TOR,MIA,0,-9,17.65,8,3,3,1,2,2,0,2,5,1,0,1,4,9,4
2025-02-23,TOR,PHO,0,18,18.12,3,2,3,2,0,0,0,1,2,0,0,1,3,6,-8
2025-02-25,TOR,BOS,0,-10,18.43,5,3,2,0,0,0,1,2,6,0,1,1,2,6,-8
2025-02-26,TOR,IND,1,-20,19.9,2,0,1,0,0,0,0,1,4,0,0,7,3,0,-12
2025-02-28,TOR,CHI,1,-10,23.4,8,2,6,1,0,0,0,2,2,0,0,1,3,5,-17
2025-03-02,TOR,ORL,1,2,17.4,8,4,5,2,2,3,1,2,4,2,0,1,2,12,10
2025-03-04,TOR,ORL,1,1,21.8,10,3,4,1,1,1,0,1,5,1,0,3,5,8,-1
2025-03-07,TOR,UTA,0,9,25.95,9,3,4,0,2,2,1,2,5,0,0,1,5,8,-11
2025-03-08,TOR,WAS,0,-1,28.72,12,5,2,1,0,0,3,5,9,1,0,1,2,11,2
2025-03-10,TOR,WAS,0,15,26.63,9,4,3,0,0,0,3,4,1,0,1,0,2,8,5
2025-03-12,TOR,PHI,0,13,12.32,6,2,4,1,0,0,0,0,5,0,0,1,1,5,17
