Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,LAC,PHO,0,-3,39.87,28,10,9,2,7,9,3,12,8,1,0,8,3,29,-4
2024-10-26,LAC,DEN,1,5,37.75,11,5,5,1,12,13,0,6,16,1,1,7,5,23,3
2024-10-27,LAC,GSW,1,8,35.65,19,6,12,2,9,9,1,7,11,0,0,5,1,23,4
2024-10-30,LAC,POR,0,-1,31.72,18,6,11,5,2,4,0,5,10,3,0,5,2,19,1
2024-10-31,LAC,PHO,0,-6,35.68,19,8,10,3,6,7,0,10,13,2,2,6,2,25,-2
2024-11-02,LAC,OKC,0,-13,32.43,13,4,9,2,2,2,0,13,7,3,3,2,2,12,-9
2024-11-04,LAC,SAS,0,9,33.33,10,6,5,3,2,4,2,8,4,1,3,2,3,17,-12
2024-11-06,LAC,PHI,0,12,33.95,15,5,6,1,7,9,0,4,6,3,1,6,1,18,13
2024-11-08,LAC,SAC,1,9,34.53,16,5,6,3,9,9,0,4,8,2,0,7,2,22,7
2024-11-09,LAC,TOR,0,2,34.15,17,5,8,2,12,13,1,12,7,1,0,4,2,24,-2
2024-11-11,LAC,OKC,1,-6,37.22,15,5,7,3,4,5,3,11,9,0,0,5,5,17,-7
2024-11-13,LAC,HOU,1,-8,31.42,15,6,8,3,4,5,0,6,7,3,0,1,1,19,-12
2024-11-15,LAC,HOU,1,-21,30.58,14,7,9,3,4,4,0,6,2,0,1,5,3,21,-17
2024-11-17,LAC,UTA,0,11,34.35,14,7,8,2,4,5,1,6,11,2,2,0,1,20,9
2024-11-18,LAC,GSW,0,3,40.68,15,4,6,2,2,2,0,6,16,2,2,3,2,12,-4
2024-11-20,LAC,ORL,0,11,33.85,14,5,6,3,11,12,0,7,5,0,0,5,3,24,18
2024-11-22,LAC,SAC,0,16,36.25,18,5,10,2,10,10,0,6,9,3,1,4,0,22,14
2024-11-24,LAC,PHI,1,26,27.1,10,4,7,3,12,12,0,2,8,1,0,4,1,23,30
2024-11-25,LAC,BOS,1,-32,29.85,17,8,8,3,0,0,0,8,9,0,0,5,1,19,-14
2024-11-27,LAC,WAS,1,25,31.87,22,13,11,7,10,11,1,4,7,3,0,4,0,43,25
2024-11-29,LAC,MIN,1,-1,36.75,20,7,9,3,3,4,0,6,11,5,0,4,1,20,-3
2024-12-01,LAC,DEN,0,4,38.42,26,10,15,6,13,13,2,9,11,1,0,5,4,39,14
2024-12-03,LAC,POR,0,22,31.77,15,6,10,3,8,9,0,1,7,1,0,4,2,23,27
2024-12-04,LAC,MIN,0,-28,24.5,10,1,6,1,2,2,0,3,3,0,0,4,0,5,-27
