Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-25,IND,NYK,1,-25,3.75,1,1,0,0,0,0,0,0,1,0,1,1,0,2,4
2024-11-08,IND,CHO,1,-20,2.18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
2024-11-20,IND,HOU,1,-17,4.45,2,1,0,0,0,0,0,2,1,0,0,2,0,2,4
2024-12-22,IND,SAC,1,27,4.85,0,0,0,0,0,0,0,2,1,0,0,1,1,0,2
2024-12-27,IND,BOS,1,-37,6.37,3,2,0,0,0,1,0,0,0,0,1,0,2,4,-3
2025-01-06,IND,BRK,1,14,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2025-01-10,IND,GSW,0,12,1.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5
2025-01-14,IND,CLE,0,-10,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2025-01-29,IND,DET,0,14,1.78,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-4
2025-02-04,IND,POR,1,-23,3.6,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-3
2025-03-02,IND,CHI,0,15,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
