Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,TOR,CLE,0,-30,16.37,4,2,4,2,0,0,0,2,1,0,1,0,1,6,0
2024-10-25,TOR,PHI,0,8,14.73,5,4,3,2,2,4,3,6,0,0,0,0,6,12,4
2024-10-26,TOR,MIN,1,-11,18.8,8,3,4,1,2,2,2,6,1,0,0,0,0,9,4
2024-10-28,TOR,DEN,0,-2,12.13,3,1,2,0,2,2,1,1,0,0,1,0,3,4,3
2024-10-30,TOR,CHO,1,-5,14.05,2,0,2,0,0,0,0,3,0,0,0,0,2,0,-19
2024-11-02,TOR,SAC,0,3,15.47,6,3,6,3,0,0,1,1,3,0,0,0,0,9,6
2024-11-04,TOR,DEN,1,-2,12.47,6,2,4,1,0,0,1,2,0,0,0,0,1,5,-6
2024-11-06,TOR,SAC,1,-15,15.52,7,2,5,2,0,0,0,2,2,0,0,2,4,6,0
2024-11-09,TOR,LAC,1,-2,13.95,5,1,5,1,0,0,0,2,1,0,0,0,2,3,-3
2024-11-10,TOR,LAL,1,-20,12.88,1,0,1,0,0,0,2,3,1,0,0,2,0,0,-1
2024-11-12,TOR,MIL,1,-14,11.93,4,2,0,0,0,0,0,1,1,0,0,0,0,4,-2
2024-11-15,TOR,DET,0,-4,13.88,4,3,4,3,0,0,0,1,0,0,0,0,0,9,-27
2024-11-16,TOR,BOS,1,-3,10.88,1,1,1,1,0,0,0,0,1,0,0,0,0,3,-2
2024-11-18,TOR,IND,0,11,10.92,6,3,5,3,0,0,0,1,1,0,0,0,1,9,-4
