Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,WAS,BOS,0,-20,8.78,6,2,1,0,2,2,0,0,2,1,0,0,0,6,11
2024-10-26,WAS,CLE,0,-19,11.18,4,3,1,1,1,2,0,1,3,1,1,0,2,8,1
2024-10-30,WAS,ATL,0,13,9.68,2,1,0,0,0,0,0,2,2,0,0,1,0,2,-11
2024-11-02,WAS,MIA,0,-20,6.78,3,2,0,0,1,2,0,0,2,1,0,1,0,5,3
2024-11-04,WAS,GSW,0,-13,7.87,4,3,1,0,1,1,0,0,3,0,0,0,0,7,0
2024-11-08,WAS,MEM,1,-24,14.05,9,2,2,0,1,2,1,3,6,2,0,0,2,5,-1
2024-11-10,WAS,ORL,1,-27,9.38,0,0,0,0,4,6,1,1,1,0,1,0,3,4,-2
2024-11-11,WAS,HOU,1,-15,4.8,3,1,0,0,2,2,0,0,1,0,0,0,0,4,2
2024-11-17,WAS,DET,0,-20,4.0,1,1,0,0,1,1,0,0,0,0,0,0,0,3,5
2024-11-18,WAS,NYK,1,-28,5.82,2,2,0,0,0,1,0,0,4,1,0,1,1,4,-1
2024-11-24,WAS,IND,1,-12,5.07,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
2024-11-26,WAS,CHI,0,-19,6.27,2,1,0,0,0,0,0,1,4,0,0,2,2,2,-3
2024-11-27,WAS,LAC,0,-25,7.58,7,2,1,0,2,2,0,0,0,0,0,1,2,6,8
2024-12-03,WAS,CLE,1,-31,16.7,9,5,2,0,0,0,0,0,1,0,0,0,1,10,-3
2024-12-05,WAS,DAL,0,-36,18.72,10,2,4,1,0,0,0,0,5,0,0,0,1,5,-18
2024-12-07,WAS,DEN,0,9,17.03,9,5,4,2,0,0,0,2,4,0,0,2,1,12,4
2024-12-08,WAS,MEM,0,-28,26.15,14,6,6,1,1,1,2,5,7,0,0,3,4,14,-11
2024-12-13,WAS,CLE,1,-10,17.62,6,3,2,1,0,0,0,1,3,0,0,1,2,7,-2
2024-12-15,WAS,BOS,0,-14,14.4,4,3,1,1,0,0,1,3,0,1,0,2,2,7,-10
2024-12-23,WAS,OKC,1,-18,8.25,6,2,0,0,1,1,1,1,1,0,0,3,0,5,-1
2024-12-30,WAS,NYK,0,-20,4.93,2,1,0,0,0,0,0,0,1,0,0,0,0,2,-9
