Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CLE,TOR,1,30,26.08,7,5,0,0,4,5,2,7,1,1,4,1,1,14,8
2024-10-25,CLE,DET,0,12,31.22,7,5,0,0,7,8,0,11,2,1,1,1,0,17,3
2024-10-26,CLE,WAS,1,19,25.07,10,10,0,0,3,4,1,5,1,1,2,0,1,23,13
2024-10-28,CLE,NYK,1,6,31.4,7,5,0,0,5,7,5,15,1,1,0,2,2,15,2
2024-10-30,CLE,LAL,0,24,30.67,12,9,0,0,2,2,3,17,1,0,2,0,0,20,14
2024-11-01,CLE,ORL,0,11,28.47,3,1,0,0,0,0,2,11,1,1,1,2,2,2,12
2024-11-02,CLE,MIL,1,1,32.42,10,6,0,0,3,6,2,12,1,1,0,2,2,15,-12
2024-11-04,CLE,MIL,0,2,34.7,14,7,0,0,0,2,1,15,6,2,1,0,0,14,6
2024-11-06,CLE,NOP,1,9,34.8,10,7,0,0,2,2,2,14,2,1,2,0,5,16,24
2024-11-08,CLE,GSW,0,19,30.28,7,5,0,0,3,5,4,12,3,0,1,3,1,13,30
2024-11-09,CLE,BRK,0,5,21.12,6,1,0,0,2,2,1,3,0,1,1,3,2,4,-14
2024-11-11,CLE,CHI,1,6,26.28,7,3,0,0,3,4,1,5,2,0,1,0,0,9,-23
2024-11-13,CLE,PHI,1,8,32.1,8,5,0,0,1,2,1,12,1,1,0,0,0,11,5
2024-11-15,CLE,CHI,0,18,36.55,15,11,0,0,2,2,1,10,3,3,2,2,0,24,9
2024-11-17,CLE,CHO,0,14,31.38,7,6,0,0,9,10,4,15,0,1,1,2,0,21,8
2024-11-19,CLE,BOS,1,-3,28.32,6,5,0,0,0,0,3,11,2,1,0,0,1,10,-16
2024-11-20,CLE,NOP,0,28,21.05,7,7,0,0,2,2,6,11,4,0,1,0,1,16,27
2024-11-24,CLE,TOR,0,14,32.32,14,10,0,0,3,5,6,13,2,1,1,0,2,23,11
2024-11-27,CLE,ATL,0,-11,31.67,7,6,0,0,5,7,2,10,1,1,0,1,2,17,-12
2024-11-29,CLE,ATL,1,-16,25.25,3,3,0,0,0,0,0,5,0,0,0,1,2,6,-9
2024-12-01,CLE,BOS,0,4,31.72,6,4,0,0,0,1,2,10,0,1,0,1,2,8,-6
2024-12-03,CLE,WAS,0,31,24.78,6,5,1,0,1,2,1,3,1,2,0,2,2,11,17
2024-12-05,CLE,DEN,0,12,35.37,5,3,0,0,2,2,4,15,6,2,0,2,1,8,5
2024-12-07,CLE,CHO,1,14,32.98,8,4,0,0,3,4,3,10,3,0,1,0,0,11,14
2024-12-08,CLE,MIA,1,-9,28.63,7,3,0,0,0,0,0,7,1,0,0,1,2,6,-11
2024-12-13,CLE,WAS,0,10,33.37,9,7,0,0,7,10,3,11,2,1,1,1,0,21,8
2024-12-16,CLE,BRK,1,29,23.73,5,5,0,0,2,3,3,8,4,2,0,1,2,12,17
2024-12-20,CLE,MIL,0,23,24.67,6,5,0,0,0,0,1,10,0,2,0,1,1,10,16
2024-12-21,CLE,PHI,0,27,24.78,5,2,0,0,2,3,1,6,2,1,0,2,1,6,7
2024-12-23,CLE,UTA,0,11,26.9,6,2,0,0,3,4,2,6,2,0,0,1,1,7,10
2024-12-27,CLE,DEN,1,14,30.82,13,10,0,0,2,2,3,10,4,3,1,2,2,22,18
2024-12-30,CLE,GSW,1,18,24.72,9,6,0,0,0,0,3,9,1,1,2,1,5,12,22
2024-12-31,CLE,LAL,1,12,31.3,14,12,0,0,3,4,3,14,1,1,3,1,0,27,12
2025-01-03,CLE,DAL,1,12,22.35,10,5,0,0,1,2,3,9,0,0,1,0,4,11,5
