Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MEM,UTA,1,2,22.45,6,4,5,3,2,2,1,5,1,0,2,0,2,13,2
2024-10-25,MEM,HOU,1,-20,15.55,7,3,4,2,0,0,1,3,1,2,2,0,2,8,-12
2024-10-26,MEM,ORL,0,13,19.13,9,7,5,3,1,1,0,2,0,0,1,0,1,18,4
2024-10-28,MEM,CHI,0,-3,18.2,5,3,3,2,2,2,0,2,1,0,2,1,2,10,-1
2024-10-30,MEM,BRK,0,-13,9.85,3,2,1,0,0,0,0,0,0,0,0,1,1,4,-12
2024-10-31,MEM,MIL,0,23,16.58,4,1,2,0,2,2,0,2,1,0,1,1,4,4,3
2024-11-02,MEM,PHI,1,17,14.18,10,7,7,5,1,1,1,5,1,0,1,0,1,20,5
2024-11-04,MEM,BRK,1,-2,8.48,2,1,1,0,0,0,1,2,0,0,1,0,0,2,-7
2024-11-06,MEM,LAL,0,17,13.98,7,4,6,3,0,0,1,3,4,0,1,2,0,11,-1
2024-11-08,MEM,WAS,0,24,14.22,6,3,4,1,5,5,1,4,0,1,4,0,0,12,0
2024-11-10,MEM,POR,1,45,19.67,8,4,6,2,2,2,0,2,0,0,6,1,2,12,9
2024-11-13,MEM,LAL,1,-5,12.85,8,3,4,0,0,2,1,3,0,1,1,0,0,6,-16
2024-11-15,MEM,GSW,1,-5,6.1,3,1,1,0,0,0,1,2,1,0,1,0,0,2,-4
2024-11-17,MEM,DEN,0,15,11.83,5,4,3,2,0,0,0,1,1,0,1,1,0,10,-5
2024-11-19,MEM,DEN,0,-12,12.65,5,2,3,1,1,2,1,1,0,0,0,0,3,6,0
2024-11-20,MEM,PHI,0,6,14.25,7,3,6,2,0,0,0,0,2,0,1,2,1,8,16
2024-11-23,MEM,CHI,1,11,19.08,6,5,3,3,1,2,1,5,1,1,1,0,1,14,5
2024-11-25,MEM,POR,0,25,19.53,9,4,4,2,2,4,0,4,0,1,1,1,2,12,8
2024-11-27,MEM,DET,0,20,22.35,7,3,5,2,5,6,0,2,3,0,1,1,5,13,9
2024-11-29,MEM,NOP,0,11,16.6,7,3,4,1,0,2,1,1,0,0,1,1,1,7,1
2024-12-01,MEM,IND,0,15,6.37,2,0,2,0,0,0,1,2,0,0,0,1,0,0,-7
2024-12-03,MEM,DAL,1,-5,16.22,6,3,5,2,0,0,0,1,0,1,0,0,2,8,4
2024-12-05,MEM,SAC,0,5,20.07,9,4,6,2,1,2,0,4,1,0,2,1,4,11,30
2024-12-07,MEM,BOS,1,6,18.27,3,2,3,2,4,4,1,9,2,0,1,1,4,10,6
2024-12-08,MEM,WAS,1,28,23.77,14,6,11,3,2,2,1,3,1,0,0,1,3,17,3
2024-12-13,MEM,BRK,0,16,12.07,6,3,1,0,0,0,2,4,1,0,0,0,4,6,-5
2024-12-15,MEM,LAL,1,-6,6.15,3,1,2,1,0,0,1,3,0,1,0,1,2,3,-8
2024-12-27,MEM,NOP,1,8,12.67,4,2,3,1,2,2,0,2,0,0,0,0,2,7,-15
2024-12-29,MEM,OKC,1,-24,17.02,11,7,6,3,0,0,1,1,2,0,0,3,1,17,-16
2024-12-31,MEM,PHO,1,5,18.62,7,3,5,2,0,0,0,2,0,0,1,0,2,8,-4
