Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHI,MIL,0,-15,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-11-02,PHI,MEM,0,-17,1.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-11-08,PHI,LAL,1,-10,2.93,2,1,0,0,0,0,0,0,1,0,0,0,0,2,8
2024-11-10,PHI,CHO,0,2,23.05,7,4,3,1,2,2,0,2,0,1,0,0,1,11,3
2024-11-12,PHI,NYK,0,-12,21.65,4,0,1,0,0,0,1,1,1,2,0,0,1,0,-5
2024-11-13,PHI,CLE,0,-8,3.57,2,0,2,0,0,0,1,2,1,0,0,0,0,0,-7
2024-11-15,PHI,ORL,1,-12,5.12,0,0,0,0,1,2,0,1,1,0,0,0,1,1,-2
2024-11-18,PHI,MIA,1,-17,19.87,3,1,2,0,0,0,0,2,5,0,0,1,2,2,9
2024-12-21,PHI,CLE,1,-27,12.0,5,4,0,0,1,1,0,0,1,0,1,0,0,9,-4
2024-12-30,PHI,POR,1,22,4.85,1,1,1,1,0,0,0,2,0,0,0,1,0,3,-3
