Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,POR,GSW,0,-36,33.17,18,6,8,2,2,2,0,2,3,1,1,0,2,16,-16
2024-10-25,POR,NOP,0,-2,40.22,23,11,17,8,4,4,0,6,1,1,3,5,3,34,-4
2024-10-27,POR,NOP,0,22,28.62,17,9,7,2,8,12,1,5,2,2,4,3,3,28,7
2024-10-28,POR,SAC,1,-13,29.43,12,3,3,1,0,0,0,8,2,1,1,2,2,7,-19
2024-10-30,POR,LAC,1,1,33.72,14,3,7,2,0,0,2,3,1,0,0,2,2,8,-5
2024-11-01,POR,OKC,0,-23,28.28,11,5,7,3,4,5,0,3,2,0,1,1,1,17,-22
2024-11-02,POR,PHO,1,-6,39.1,23,8,9,2,2,2,0,7,2,1,1,1,2,20,2
2024-11-04,POR,NOP,1,18,35.72,15,5,7,2,4,4,1,3,4,2,1,0,0,16,18
2024-11-07,POR,SAS,1,-13,36.93,10,6,4,1,8,11,0,3,1,0,0,2,3,21,-16
2024-11-08,POR,MIN,1,-25,26.93,10,4,4,2,2,3,0,1,0,0,2,0,1,12,-25
2024-11-10,POR,MEM,0,-45,28.1,15,7,8,2,4,6,0,1,1,1,0,0,2,20,-28
2024-11-12,POR,MIN,0,14,38.6,15,5,5,2,9,10,0,2,8,0,0,3,1,21,15
2024-11-13,POR,MIN,0,8,35.38,12,3,4,2,0,0,0,3,2,1,1,1,2,8,-6
2024-11-17,POR,ATL,0,4,27.92,10,4,4,1,0,0,0,0,1,3,2,0,5,9,-7
2024-11-20,POR,OKC,1,-10,38.6,10,3,7,3,5,5,2,6,1,2,0,3,2,14,-7
2024-11-22,POR,HOU,1,-28,26.87,6,2,4,1,0,0,0,3,5,0,1,1,1,5,-10
2024-11-23,POR,HOU,1,6,33.43,12,6,7,4,6,6,1,3,2,0,1,2,5,22,5
2024-11-25,POR,MEM,1,-25,20.87,10,3,3,0,5,7,0,2,1,2,0,0,3,11,-8
2024-12-01,POR,DAL,0,-6,37.45,10,4,3,2,4,5,0,5,6,1,0,1,3,14,-1
2024-12-03,POR,LAC,1,-22,34.9,11,5,5,2,0,0,2,4,4,2,2,2,2,12,-21
2024-12-06,POR,UTA,0,-42,28.5,11,6,8,4,3,3,0,3,1,0,3,1,4,19,-31
2024-12-08,POR,LAL,1,-9,31.63,12,1,7,1,0,0,1,4,1,1,0,1,2,3,-18
2024-12-13,POR,SAS,0,-2,38.27,19,12,10,8,0,0,1,4,2,1,0,3,4,32,-8
2024-12-15,POR,PHO,1,-7,35.98,16,6,11,4,1,2,0,6,3,2,0,0,2,17,6
2024-12-19,POR,DEN,0,2,36.07,14,4,10,3,2,2,2,5,4,1,1,2,2,13,-6
2024-12-21,POR,SAS,1,-20,30.27,12,2,6,1,0,0,0,0,2,0,1,2,1,5,-26
