Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ORL,MIA,1,19,5.35,3,0,2,0,0,0,0,1,0,0,0,0,0,0,-13
2024-10-25,ORL,BRK,0,15,1.55,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1
2024-10-26,ORL,MEM,1,-13,11.55,6,4,5,3,0,0,0,2,0,0,0,0,1,11,-1
2024-10-28,ORL,IND,0,4,8.12,1,0,1,0,0,0,1,2,1,0,0,0,2,0,-5
2024-10-30,ORL,CHI,1,-3,11.02,4,1,4,1,0,0,0,2,0,0,1,0,1,3,6
2024-11-01,ORL,CLE,1,-11,17.45,7,3,6,3,0,0,0,3,0,0,1,0,0,9,0
2024-11-03,ORL,DAL,1,-23,22.13,12,4,8,2,2,2,0,1,0,1,0,2,1,12,4
2024-11-04,ORL,OKC,1,-16,11.18,2,0,2,0,0,0,0,0,0,0,1,0,0,0,-9
2024-11-06,ORL,IND,1,-7,3.08,3,0,2,0,0,0,0,0,0,0,0,1,1,0,-3
2024-11-08,ORL,NOP,0,27,4.28,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3
2024-11-10,ORL,WAS,0,27,5.48,3,3,3,3,0,0,0,0,0,0,0,0,0,9,4
2024-11-12,ORL,CHO,0,25,6.23,3,1,3,1,0,0,0,0,0,0,0,1,2,3,-3
2024-11-13,ORL,IND,0,4,13.75,3,2,3,2,0,0,0,0,2,0,1,1,2,6,-6
2024-11-15,ORL,PHI,0,12,1.22,1,1,1,1,0,0,0,1,0,0,1,0,1,3,-1
2024-11-20,ORL,LAC,1,-11,11.35,5,2,3,0,0,0,0,3,1,0,1,0,2,4,3
2024-11-21,ORL,LAL,1,1,10.75,1,1,0,0,0,0,2,2,2,0,0,1,1,2,-7
2024-11-23,ORL,DET,0,11,15.0,8,4,5,2,0,0,3,4,0,0,0,0,1,10,3
2024-11-25,ORL,CHO,1,11,23.38,4,0,4,0,0,0,0,2,2,0,0,0,1,0,16
2024-11-27,ORL,CHI,0,14,4.42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-8
2024-11-29,ORL,BRK,1,23,16.22,6,3,4,2,0,0,2,2,0,1,0,0,0,8,5
2024-12-01,ORL,BRK,1,8,9.78,1,0,1,0,0,0,0,0,0,0,0,0,2,0,-3
2024-12-03,ORL,NYK,1,-15,11.45,6,0,5,0,0,0,2,3,1,1,0,1,0,0,3
2024-12-06,ORL,PHI,1,-8,16.23,5,2,4,1,0,0,0,1,0,0,0,0,0,5,-5
2024-12-08,ORL,PHO,0,5,14.9,4,2,1,0,2,2,0,1,2,2,0,0,2,6,8
2024-12-10,ORL,MIL,1,-5,12.5,7,3,5,2,2,3,0,0,1,0,0,0,1,10,-1
2024-12-15,ORL,NYK,0,-9,4.95,2,0,2,0,0,0,0,0,0,0,0,1,1,0,-1
2024-12-19,ORL,OKC,0,-6,9.15,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-1
2024-12-21,ORL,MIA,0,7,12.67,9,3,6,3,0,0,1,4,1,0,0,3,1,9,6
2024-12-23,ORL,BOS,0,4,4.78,5,2,1,0,0,0,0,0,0,0,0,0,1,4,-1
2024-12-26,ORL,MIA,0,-1,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2024-12-29,ORL,BRK,0,1,12.32,3,0,3,0,0,0,0,1,1,0,0,0,1,0,-18
2025-01-01,ORL,DET,1,-9,15.2,4,3,1,0,3,4,0,1,0,0,0,0,1,9,-1
2025-01-03,ORL,TOR,1,9,10.13,5,1,4,1,2,2,0,0,1,0,0,1,2,5,-7
2025-01-05,ORL,UTA,0,-13,25.48,16,7,10,4,3,3,2,2,4,0,0,1,0,21,-7
2025-01-06,ORL,NYK,1,9,15.73,7,4,3,1,0,0,0,1,0,0,0,1,3,9,11
2025-01-09,ORL,MIN,0,-15,23.12,11,4,9,2,0,0,2,8,4,0,0,2,3,10,-5
2025-01-10,ORL,MIL,0,-3,7.25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-2
2025-01-23,ORL,POR,0,-22,16.93,6,3,4,3,1,2,2,3,0,0,0,1,1,10,-14
2025-01-25,ORL,DET,0,8,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-30,ORL,POR,1,-29,4.8,1,0,1,0,0,0,1,1,0,0,0,0,1,0,-8
2025-02-01,ORL,UTA,1,-14,19.15,10,2,5,1,0,0,0,0,1,2,1,1,5,5,0
2025-02-03,ORL,GSW,1,-5,4.83,1,1,1,1,0,0,0,0,0,0,0,0,0,3,12
2025-02-05,ORL,SAC,1,19,5.68,2,1,2,1,0,0,0,0,0,0,0,2,1,3,-11
2025-02-06,ORL,DEN,1,-22,14.2,4,1,3,1,0,0,0,2,1,0,0,1,0,3,3
2025-02-12,ORL,CHO,0,16,25.67,8,2,8,2,0,0,1,2,5,2,1,0,0,6,15
2025-02-21,ORL,MEM,0,-1,12.37,3,1,3,1,0,2,0,2,3,0,0,0,1,3,12
2025-02-23,ORL,WAS,0,20,9.87,5,2,4,1,0,0,0,1,3,0,0,1,1,5,3
