Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-26,CHI,OKC,0,-19,4.43,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
2024-11-06,CHI,DAL,1,-20,6.28,2,2,1,1,0,0,1,2,0,0,0,0,0,5,6
2024-11-07,CHI,MIN,0,-16,1.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2024-11-09,CHI,ATL,1,12,8.5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,10
2024-11-17,CHI,HOU,0,-36,14.13,9,3,6,2,0,0,0,3,2,2,0,1,1,8,-8
2024-11-20,CHI,MIL,1,-16,1.6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-23,CHI,MEM,0,-11,4.6,2,1,2,1,0,0,0,0,1,0,0,1,0,3,9
2024-11-26,CHI,WAS,1,19,1.92,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-5
2024-11-27,CHI,ORL,1,-14,4.42,2,1,1,0,0,0,0,0,1,0,0,0,0,2,8
2024-12-02,CHI,BRK,0,26,3.85,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2024-12-05,CHI,SAS,1,15,0.98,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-2
2024-12-21,CHI,BOS,0,-25,4.3,3,2,0,0,0,0,1,1,1,0,0,0,0,4,0
2024-12-23,CHI,MIL,0,-21,4.2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
