Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,HOU,CHO,0,-5,10.47,4,2,1,1,0,0,3,3,2,0,0,0,1,5,-6
2024-10-25,HOU,MEM,0,20,6.47,0,0,0,0,0,0,1,3,0,0,0,0,0,0,-6
2024-10-26,HOU,SAS,1,-3,13.62,7,5,0,0,3,4,0,2,0,0,0,0,0,13,-4
2024-11-02,HOU,GSW,0,-6,5.32,1,1,1,1,0,0,1,1,1,0,0,1,1,3,0
2024-11-06,HOU,SAS,0,27,18.47,12,5,1,1,0,0,4,6,0,1,0,1,2,11,15
2024-11-08,HOU,OKC,1,-19,6.05,1,0,1,0,0,2,0,2,0,0,0,0,1,0,4
2024-11-10,HOU,DET,1,2,16.72,3,0,1,0,3,4,1,5,0,0,0,1,3,3,-6
2024-11-13,HOU,LAC,0,8,17.1,2,2,0,0,0,0,1,4,4,1,2,0,2,4,26
2024-11-15,HOU,LAC,0,21,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2024-11-17,HOU,CHI,1,36,16.2,7,2,0,0,1,2,4,8,2,0,2,2,1,5,-6
2024-11-20,HOU,IND,0,17,13.0,5,2,0,0,2,3,3,4,3,0,0,0,2,6,9
2024-11-22,HOU,POR,0,28,6.5,1,1,0,0,0,0,0,1,0,0,1,0,0,2,2
2024-11-23,HOU,POR,0,-6,11.9,1,0,1,0,0,2,2,6,1,0,1,0,0,0,-3
2024-11-26,HOU,MIN,1,6,11.23,3,1,0,0,1,2,0,1,1,1,0,2,1,3,-22
2024-12-19,HOU,NOP,0,20,2.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2024-12-22,HOU,TOR,1,4,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10
2024-12-23,HOU,CHO,1,13,5.27,2,0,0,0,0,0,1,1,0,0,0,0,0,0,-8
2024-12-26,HOU,NOP,1,17,8.9,1,0,1,0,0,0,0,0,0,0,1,3,1,0,-11
2025-01-03,HOU,BOS,0,-23,4.88,3,1,0,0,1,1,1,2,0,0,0,0,0,3,-2
2025-01-07,HOU,WAS,1,23,3.05,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3
2025-01-20,HOU,DET,0,-11,10.25,5,2,0,0,2,2,2,3,0,1,0,0,0,6,-4
2025-01-28,HOU,ATL,1,4,16.3,3,2,0,0,0,0,2,6,2,0,1,1,2,4,15
2025-01-30,HOU,MEM,1,-1,16.38,3,2,1,1,3,4,2,3,2,1,0,0,3,8,7
2025-02-01,HOU,BRK,0,-12,8.0,4,1,0,0,0,0,2,2,2,0,0,0,0,2,-11
2025-02-06,HOU,MIN,1,-13,14.22,4,4,1,1,1,1,2,5,1,0,0,1,2,10,5
2025-02-09,HOU,TOR,0,7,24.42,8,4,1,0,3,3,2,10,1,0,1,1,3,11,2
2025-02-13,HOU,GSW,0,-7,15.8,9,6,2,1,0,0,3,8,1,1,0,0,1,13,15
2025-02-22,HOU,UTA,1,-9,10.98,3,1,1,0,2,2,0,1,1,0,0,0,1,4,-6
2025-02-25,HOU,MIL,0,3,8.57,4,0,1,0,0,0,0,1,0,0,0,0,1,0,-9
2025-02-26,HOU,SAS,0,12,7.53,4,2,1,0,1,2,1,3,0,0,0,0,0,5,-11
2025-03-03,HOU,OKC,1,-9,21.25,6,3,1,0,0,0,1,3,1,0,0,2,3,6,-11
