Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-29,UTA,SAC,0,-17,7.3,2,0,2,0,0,0,0,0,0,1,0,0,1,0,-8
2024-10-31,UTA,SAS,0,-18,13.32,2,0,1,0,0,0,0,2,0,0,0,1,1,0,-15
2024-11-02,UTA,DEN,1,-26,26.82,9,4,7,3,6,6,2,2,1,2,0,2,3,17,-2
2024-11-04,UTA,CHI,1,9,18.2,6,3,5,2,0,0,0,1,2,0,0,0,2,8,1
2024-11-07,UTA,MIL,1,-23,16.4,6,4,4,3,1,1,0,1,1,1,1,0,3,12,-4
2024-11-09,UTA,SAS,1,1,22.15,4,3,2,1,3,3,0,4,0,0,1,0,2,10,11
2024-11-12,UTA,PHO,0,-8,13.33,2,0,2,0,0,0,0,1,2,0,0,0,2,0,-12
2024-11-14,UTA,DAL,0,2,6.92,3,0,2,0,0,0,0,0,1,1,0,0,1,0,-4
2024-11-16,UTA,SAC,1,-4,8.42,1,0,0,0,0,0,0,0,0,0,0,2,1,0,-8
2024-11-19,UTA,LAL,1,-6,15.42,8,3,5,1,0,0,2,5,0,0,0,0,4,7,13
2024-11-21,UTA,SAS,1,-8,16.25,4,2,4,2,0,0,1,2,1,1,0,0,1,6,14
2024-11-23,UTA,NYK,0,15,16.62,8,4,7,4,0,0,0,3,2,0,0,1,1,12,17
2024-11-26,UTA,SAS,0,-13,22.9,6,1,5,1,0,0,0,3,1,0,0,0,2,3,-17
2024-11-27,UTA,DEN,0,-19,17.55,5,0,4,0,0,0,2,5,3,0,1,1,3,0,-16
2024-11-30,UTA,DAL,0,-12,15.37,5,1,2,0,0,0,2,5,0,0,1,0,1,2,2
2024-12-01,UTA,LAL,0,-1,16.17,10,4,6,2,1,3,1,4,5,0,0,0,2,11,-3
2024-12-03,UTA,OKC,1,-27,24.02,9,5,7,3,0,0,0,0,1,0,0,2,2,13,-30
2024-12-06,UTA,POR,1,42,25.73,14,8,11,6,0,0,0,2,0,0,0,0,4,22,15
2024-12-08,UTA,SAC,1,-44,25.37,8,2,4,1,0,0,0,1,1,1,0,2,1,5,-37
2024-12-13,UTA,PHO,0,-8,12.88,3,1,3,1,0,0,0,1,1,0,0,0,2,3,0
2024-12-16,UTA,LAC,1,-37,22.25,7,4,7,4,0,0,0,3,1,0,0,0,3,12,-12
2024-12-19,UTA,DET,1,7,13.43,5,2,2,1,0,0,1,3,0,0,0,0,1,5,-16
2024-12-21,UTA,BRK,1,11,12.2,3,1,2,1,0,0,0,2,1,2,0,0,0,3,12
2024-12-23,UTA,CLE,1,-11,14.17,2,1,2,1,0,0,1,1,0,0,0,2,2,3,-5
