Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,NOP,CHI,0,12,27.9,9,4,6,3,2,2,0,7,1,0,1,2,1,13,-1
2024-10-25,NOP,POR,1,2,29.02,12,8,7,4,4,4,1,5,0,0,0,0,1,24,1
2024-10-27,NOP,POR,1,-22,34.22,13,6,4,2,3,3,1,7,3,0,0,2,0,17,-19
2024-10-29,NOP,GSW,1,-18,25.77,6,0,1,0,4,4,0,2,1,1,0,2,3,4,-13
2024-10-30,NOP,GSW,1,-15,38.82,21,9,14,4,1,2,1,4,1,0,0,2,3,23,-14
2024-11-01,NOP,IND,0,7,36.72,17,7,8,2,7,8,0,4,1,0,0,0,1,23,8
2024-11-03,NOP,ATL,0,-15,31.28,18,7,8,3,2,2,1,3,3,0,1,4,2,19,-21
2024-11-06,NOP,CLE,0,-9,18.5,7,1,4,1,4,4,0,4,1,0,1,1,0,7,-10
2024-11-22,NOP,GSW,0,-4,19.78,9,2,5,1,1,2,1,1,0,1,1,0,1,6,-1
2024-11-25,NOP,IND,1,-4,17.93,5,1,3,0,0,0,0,2,2,1,0,1,0,2,-1
2024-11-27,NOP,TOR,0,-26,22.02,9,2,6,2,0,0,0,3,1,0,0,0,0,6,-12
2024-12-19,NOP,HOU,1,-20,17.25,7,2,3,1,0,0,0,1,0,0,1,0,0,5,-7
2024-12-21,NOP,NYK,0,-11,20.72,8,3,6,3,0,0,1,2,1,0,0,0,0,9,-5
2024-12-22,NOP,DEN,0,-3,33.68,18,9,13,5,2,2,0,1,1,0,3,1,0,25,3
2024-12-26,NOP,HOU,0,-17,17.5,8,1,6,0,3,5,0,0,1,2,0,0,0,5,-23
2024-12-27,NOP,MEM,0,-8,15.08,9,2,4,1,4,4,0,2,0,2,1,1,1,9,-3
2024-12-30,NOP,LAC,0,-3,15.53,5,1,4,1,0,0,0,2,1,0,0,1,2,3,-7
2025-01-01,NOP,MIA,1,-11,20.2,9,3,5,2,0,0,1,4,1,1,2,0,0,8,-7
2025-01-03,NOP,WAS,0,12,16.52,6,1,4,1,1,2,0,2,2,0,1,0,1,4,-6
2025-01-05,NOP,WAS,1,12,12.28,10,2,7,2,0,0,0,2,0,0,0,1,1,6,17
2025-01-07,NOP,MIN,0,-7,9.73,4,1,4,1,0,0,0,0,0,0,0,0,0,3,1
2025-01-08,NOP,POR,0,-19,25.2,16,4,9,2,0,0,1,1,1,0,0,3,0,10,-11
2025-01-10,NOP,PHI,1,8,31.13,15,7,11,5,2,3,1,2,2,2,0,0,0,21,-6
2025-01-12,NOP,BOS,1,-1,12.85,2,1,1,0,0,0,0,1,0,0,0,0,1,2,-10
2025-01-14,NOP,CHI,1,6,20.05,10,4,6,1,0,0,0,1,0,0,1,1,0,9,15
2025-01-15,NOP,DAL,0,3,21.42,9,5,5,2,0,0,1,3,2,3,0,1,2,12,-9
2025-01-17,NOP,UTA,0,13,23.83,10,3,9,3,2,5,1,3,0,0,0,2,0,11,3
2025-01-20,NOP,UTA,0,4,20.77,8,5,3,3,5,5,1,1,0,2,0,0,1,18,7
2025-01-24,NOP,MEM,1,-13,31.6,18,8,10,4,0,0,0,2,1,2,0,1,0,20,-6
2025-01-25,NOP,CHO,1,-31,38.58,12,5,6,2,2,2,0,4,1,3,0,1,2,14,-19
2025-01-27,NOP,TOR,1,-9,20.65,7,3,3,1,0,0,0,1,1,1,0,1,1,7,4
2025-02-03,NOP,DEN,1,-12,14.47,4,0,4,0,0,0,0,2,1,0,0,2,0,0,-14
2025-02-05,NOP,DEN,1,-25,24.8,15,5,6,2,3,3,0,3,2,1,0,0,0,15,-14
2025-02-08,NOP,SAC,1,-5,18.38,4,0,2,0,0,0,0,0,0,0,0,0,1,0,-14
2025-02-10,NOP,OKC,1,-36,25.88,12,5,4,2,0,0,1,5,3,0,0,1,3,12,-8
2025-02-12,NOP,SAC,0,-8,13.85,4,1,4,1,2,2,0,0,1,0,0,0,0,5,-1
2025-02-13,NOP,SAC,0,7,26.17,8,5,5,3,3,4,0,2,4,0,2,1,0,16,-4
2025-02-21,NOP,DAL,1,-8,21.1,7,1,3,1,2,2,0,5,1,0,0,0,0,5,-11
2025-02-23,NOP,SAS,0,18,23.77,9,3,6,2,2,2,1,3,0,1,0,0,0,10,0
2025-02-25,NOP,SAS,0,6,23.83,13,5,7,1,1,1,0,4,0,1,1,2,1,12,4
2025-02-27,NOP,PHO,1,8,23.27,9,4,7,2,0,0,0,5,3,0,2,3,1,10,22
2025-02-28,NOP,PHO,1,-17,31.03,17,10,7,3,1,2,2,2,4,3,1,2,0,24,-4
2025-03-02,NOP,UTA,1,7,21.88,8,3,6,2,0,0,1,4,3,0,0,2,1,8,-3
2025-03-04,NOP,LAL,1,-21,29.42,14,6,10,4,1,2,0,4,1,1,0,1,1,17,-8
2025-03-06,NOP,HOU,0,-12,20.83,8,2,4,1,2,2,2,5,0,1,0,3,2,7,-8
2025-03-08,NOP,HOU,1,-29,27.68,12,4,10,4,1,2,2,2,1,0,0,0,3,13,-17
