Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-02,MIN,SAS,1,-10,10.17,4,2,2,0,0,0,0,2,0,0,0,1,2,4,7
2024-11-04,MIN,CHO,0,21,8.42,0,0,0,0,1,2,0,1,0,0,1,1,1,1,-7
2024-11-07,MIN,CHI,1,16,4.57,0,0,0,0,0,0,0,1,0,0,0,1,1,0,-1
2024-11-08,MIN,POR,0,25,12.9,2,1,1,0,0,0,0,0,0,0,1,0,1,2,-2
2024-11-12,MIN,POR,1,-14,1.77,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
2024-11-13,MIN,POR,1,-8,3.98,2,1,1,0,0,0,0,0,0,0,0,0,2,2,-1
2024-11-24,MIN,BOS,1,-2,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
2024-12-02,MIN,LAL,0,29,7.97,2,1,1,0,0,0,0,2,1,1,0,0,1,2,11
2024-12-04,MIN,LAC,1,28,20.88,7,5,3,1,2,3,1,8,3,1,1,1,2,13,-1
2024-12-06,MIN,GSW,1,17,4.98,1,0,1,0,0,0,0,0,0,1,0,1,0,0,-6
2024-12-08,MIN,GSW,1,-8,4.55,1,1,1,1,0,0,0,0,0,0,0,0,1,3,3
2024-12-15,MIN,SAS,1,14,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-7
2024-12-19,MIN,NYK,0,-26,10.57,8,5,2,1,0,0,2,2,1,3,1,0,0,11,9
2024-12-21,MIN,GSW,0,-10,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-12-23,MIN,ATL,1,-13,13.15,5,1,1,0,2,2,2,4,3,2,0,0,2,4,8
2024-12-25,MIN,DAL,1,6,5.2,3,1,2,0,0,0,0,2,0,0,1,0,0,2,6
2024-12-27,MIN,HOU,1,1,5.82,1,1,1,1,0,0,0,0,1,1,0,0,1,3,6
2024-12-29,MIN,SAS,0,2,11.43,4,2,2,1,0,0,0,4,1,0,0,0,2,5,0
2024-12-31,MIN,OKC,1,-8,9.73,4,3,1,0,0,0,0,0,1,0,0,0,0,6,-5
2025-01-02,MIN,BOS,0,-3,11.32,3,2,2,1,2,2,0,1,0,0,2,1,1,7,6
2025-01-06,MIN,LAC,0,2,4.52,1,0,1,0,0,0,0,0,1,1,0,1,1,0,-8
2025-01-07,MIN,NOP,1,7,6.08,3,1,1,0,0,0,1,2,0,0,0,0,0,2,2
2025-01-09,MIN,ORL,1,15,7.72,2,0,1,0,0,0,0,0,0,0,1,0,3,0,-7
2025-01-11,MIN,MEM,0,-2,2.02,1,1,0,0,0,0,0,0,0,0,1,0,2,2,-5
2025-01-13,MIN,WAS,1,14,6.82,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-5
