Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,SAS,DAL,1,-11,27.32,12,7,8,4,0,0,2,7,3,1,2,3,1,18,-19
2024-10-26,SAS,HOU,0,3,25.22,8,4,4,2,2,2,3,6,0,0,0,2,1,12,2
2024-10-28,SAS,HOU,0,-5,28.18,7,2,6,1,0,0,1,5,1,1,1,0,2,5,2
2024-10-30,SAS,OKC,1,-12,20.03,5,1,4,1,0,0,0,3,0,1,0,3,0,3,-17
2024-10-31,SAS,UTA,1,18,25.17,7,3,1,0,0,0,2,6,2,3,0,0,0,6,27
2024-11-02,SAS,MIN,0,10,28.67,9,3,7,1,0,0,1,6,3,0,1,0,2,7,13
2024-11-04,SAS,LAC,1,-9,38.22,12,7,10,5,2,3,0,5,2,0,0,0,3,21,-16
2024-11-06,SAS,HOU,1,-27,28.12,9,5,6,3,0,0,0,3,2,0,0,2,2,13,-11
2024-11-07,SAS,POR,0,13,32.87,10,5,8,4,0,0,1,6,2,1,0,1,0,14,10
2024-11-09,SAS,UTA,0,-1,24.67,7,2,6,1,0,0,0,6,2,0,1,2,3,5,13
2024-11-11,SAS,SAC,0,20,26.83,12,5,8,3,0,0,1,6,1,0,0,1,2,13,25
2024-11-13,SAS,WAS,0,9,33.38,8,3,7,3,3,3,0,5,2,1,0,0,1,12,17
2024-11-15,SAS,LAL,0,-5,31.33,8,4,6,2,0,0,0,8,2,0,0,0,2,10,0
2024-11-16,SAS,DAL,1,-17,25.37,10,3,8,3,4,5,1,2,0,0,2,1,2,13,-14
2024-11-19,SAS,OKC,0,6,28.13,11,5,7,2,0,0,2,7,0,2,1,3,2,12,-5
2024-11-21,SAS,UTA,0,8,32.42,11,4,7,2,4,5,0,3,6,3,1,1,1,14,9
2024-11-23,SAS,GSW,0,10,34.47,11,4,8,1,0,0,0,5,1,0,2,0,2,9,6
2024-11-26,SAS,UTA,1,13,35.72,9,4,9,4,3,3,1,3,2,3,0,2,1,15,13
2024-11-27,SAS,LAL,0,-18,30.62,12,6,7,3,3,3,1,5,1,1,1,1,1,18,-4
2024-12-01,SAS,SAC,1,2,31.8,10,5,9,4,5,5,2,8,1,2,1,0,0,19,8
2024-12-03,SAS,PHO,1,-11,27.72,10,3,8,1,2,2,1,6,1,0,0,2,2,9,-6
2024-12-05,SAS,CHI,0,-15,24.9,11,5,5,2,0,0,1,3,1,0,1,0,2,12,-20
2024-12-06,SAS,SAC,0,-27,34.68,16,8,12,6,8,8,0,3,1,1,0,1,2,30,-8
2024-12-08,SAS,NOP,0,5,34.83,13,5,8,2,0,0,1,6,0,0,1,1,2,12,-6
2024-12-13,SAS,POR,1,2,30.85,14,7,10,5,0,1,0,5,1,0,1,1,2,19,8
2024-12-15,SAS,MIN,0,-14,29.17,14,4,12,3,0,0,2,6,1,2,0,0,2,11,-6
2024-12-19,SAS,ATL,0,7,25.98,8,3,6,2,0,0,0,4,2,2,0,1,3,8,4
2024-12-21,SAS,POR,0,20,23.8,7,3,4,1,0,0,0,3,0,1,0,3,3,7,7
2024-12-23,SAS,PHI,1,-5,28.77,10,5,10,5,0,0,0,8,1,0,1,3,3,15,8
2024-12-25,SAS,NYK,1,-3,25.88,7,3,7,3,0,0,0,2,1,0,0,0,2,9,-4
2024-12-27,SAS,BRK,1,9,20.03,9,6,7,5,1,1,0,2,1,2,0,1,0,18,17
2024-12-29,SAS,MIN,1,-2,11.37,4,0,2,0,0,0,0,1,1,1,1,0,1,0,2
2024-12-31,SAS,LAC,0,36,16.02,8,3,6,2,1,1,1,2,1,0,1,1,0,9,16
2025-01-03,SAS,DEN,1,3,25.0,11,6,6,3,0,0,2,4,0,0,0,1,1,15,-6
2025-01-04,SAS,DEN,0,-11,22.72,5,2,3,2,4,5,1,3,1,0,0,1,0,10,-7
2025-01-06,SAS,CHI,1,-4,16.23,9,4,9,4,0,0,1,4,0,0,0,0,1,12,0
2025-01-08,SAS,MIL,1,-16,26.72,11,3,9,3,0,0,0,3,1,0,0,1,2,9,-26
2025-01-13,SAS,LAL,1,24,16.62,7,1,6,0,0,0,1,1,0,0,0,0,1,2,-1
2025-01-15,SAS,MEM,0,-14,21.85,6,3,5,3,0,0,0,4,2,0,1,1,1,9,4
2025-01-17,SAS,MEM,0,-28,22.78,5,1,3,0,2,2,1,2,1,1,0,1,1,4,-18
2025-01-19,SAS,MIA,1,-21,22.07,8,2,6,1,0,0,2,3,2,0,0,1,0,5,-7
2025-01-23,SAS,IND,1,30,16.98,4,2,2,1,2,2,2,6,1,0,0,2,2,7,9
2025-01-25,SAS,IND,0,-38,10.87,1,1,1,1,0,0,0,0,0,0,0,1,2,3,1
2025-01-29,SAS,LAC,0,-12,14.47,5,2,3,1,0,0,1,2,1,2,0,2,1,5,-7
2025-01-31,SAS,MIL,0,26,17.52,5,2,5,2,0,0,3,5,1,1,0,0,1,6,8
2025-02-01,SAS,MIA,0,-2,17.42,5,2,5,2,0,0,0,2,2,1,1,0,1,6,16
2025-02-03,SAS,MEM,1,-19,20.02,6,2,5,1,0,0,0,5,0,1,0,1,1,5,-21
2025-02-05,SAS,ATL,1,1,22.23,6,2,3,1,0,0,1,3,2,5,1,1,2,5,8
2025-02-07,SAS,CHO,1,-1,19.22,3,1,2,0,1,1,0,0,2,1,0,1,1,3,-9
2025-02-08,SAS,ORL,1,-1,12.6,1,0,1,0,0,0,0,1,0,1,0,1,1,0,7
2025-02-10,SAS,WAS,1,10,16.22,3,2,2,1,1,1,0,0,1,0,0,0,1,6,7
2025-02-12,SAS,BOS,1,-13,18.92,6,3,3,1,0,0,1,3,1,1,0,0,0,7,-13
2025-02-20,SAS,PHO,0,11,15.93,7,5,5,3,2,2,0,2,2,0,0,0,2,15,-6
2025-02-21,SAS,DET,0,-15,14.2,4,0,3,0,1,2,1,1,1,2,2,1,2,1,1
2025-02-23,SAS,NOP,1,-18,19.43,13,6,11,6,0,0,2,4,4,2,0,0,0,18,0
2025-02-25,SAS,NOP,1,-6,14.58,5,1,3,0,0,0,1,2,1,2,0,0,0,2,-12
2025-02-26,SAS,HOU,1,-12,21.07,8,4,5,1,2,2,1,4,1,0,3,1,1,11,3
