Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,CHI,NOP,1,-12,11.53,3,1,2,0,0,0,0,0,1,1,0,0,0,2,-9
2024-10-25,CHI,MIL,1,11,14.87,2,1,2,1,0,0,1,2,0,1,0,0,1,3,6
2024-10-26,CHI,OKC,0,-19,14.93,6,3,5,2,1,1,0,1,0,1,0,0,1,9,-14
2024-10-28,CHI,MEM,1,3,13.7,6,2,1,1,0,0,1,3,1,1,0,2,1,5,7
2024-10-30,CHI,ORL,0,3,14.12,4,1,4,1,1,2,0,1,0,1,0,2,1,4,-11
2024-11-01,CHI,BRK,1,-8,13.92,2,0,2,0,2,2,1,2,1,0,0,0,2,2,2
2024-11-04,CHI,UTA,0,-9,15.8,2,0,1,0,0,0,1,1,1,2,0,0,2,0,-1
2024-11-06,CHI,DAL,1,-20,15.3,5,4,1,0,0,3,2,2,0,0,0,0,1,8,1
2024-11-07,CHI,MIN,0,-16,10.57,2,2,1,1,1,2,0,1,0,1,0,0,2,6,-9
2024-11-09,CHI,ATL,1,12,14.15,8,4,3,2,0,0,4,4,0,2,1,0,2,10,14
2024-11-11,CHI,CLE,0,-6,9.82,1,0,1,0,0,0,1,3,0,0,1,1,0,0,-21
2024-11-13,CHI,NYK,1,1,10.87,2,2,1,1,0,0,0,1,0,0,0,0,1,5,8
2024-11-15,CHI,CLE,1,-18,21.13,5,1,5,1,1,2,0,6,1,1,0,1,1,4,-6
2024-11-17,CHI,HOU,0,-36,12.38,6,1,4,0,0,0,0,0,1,1,0,1,3,2,-9
2024-11-18,CHI,DET,1,10,14.77,2,1,0,0,3,4,0,4,1,0,0,1,2,5,7
2024-11-20,CHI,MIL,1,-16,14.43,4,2,4,2,0,0,0,2,0,1,0,0,3,6,-11
