Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHO,LAC,1,3,22.32,5,2,4,1,6,8,0,9,2,2,0,4,4,11,3
2024-10-25,PHO,LAL,1,-7,18.42,5,1,3,0,2,2,1,7,4,0,1,4,4,4,-19
2024-10-26,PHO,DAL,0,12,30.47,12,7,2,0,4,8,3,14,1,0,1,5,2,18,0
2024-10-28,PHO,LAL,0,4,15.13,6,1,2,0,0,1,1,4,0,0,2,3,2,2,-20
2024-10-31,PHO,LAC,1,6,23.08,6,3,2,1,4,4,0,3,2,0,0,3,2,11,11
2024-11-02,PHO,POR,0,6,24.02,6,1,3,1,0,0,2,15,0,0,0,2,3,3,15
2024-11-04,PHO,PHI,0,2,28.42,8,5,3,1,4,6,1,15,2,2,1,5,4,15,16
2024-11-06,PHO,MIA,0,3,33.22,8,6,3,3,5,6,4,18,1,1,2,2,4,20,5
2024-11-08,PHO,DAL,1,1,33.68,12,6,4,2,1,2,3,10,0,2,0,1,4,15,-3
2024-11-10,PHO,SAC,0,-9,15.18,4,0,3,0,0,0,0,7,0,1,0,1,0,0,-6
2024-11-13,PHO,SAC,1,-23,21.6,7,1,3,0,1,2,5,11,1,3,0,2,2,3,-11
2024-11-15,PHO,OKC,1,-16,29.22,7,0,3,0,4,8,3,8,0,0,0,2,4,4,-10
2024-11-17,PHO,MIN,1,-3,13.53,5,2,3,1,0,0,2,7,1,0,0,1,3,5,1
2024-11-20,PHO,NYK,0,-16,33.05,8,5,5,3,1,2,2,12,3,3,2,1,3,14,-21
2024-11-26,PHO,LAL,0,27,27.23,11,5,4,1,1,1,1,12,3,1,1,0,3,12,20
2024-11-27,PHO,BRK,0,-10,16.8,2,2,0,0,2,2,1,7,1,0,0,1,3,6,-13
2024-12-13,PHO,UTA,1,8,31.35,7,6,1,0,0,0,1,7,0,1,3,2,3,12,6
2024-12-15,PHO,POR,0,7,26.23,9,4,1,0,2,3,5,14,2,1,1,5,4,10,4
2024-12-19,PHO,IND,0,-9,32.08,7,4,1,0,4,5,1,10,2,1,0,2,3,12,-15
2024-12-21,PHO,DET,0,-8,25.13,7,4,0,0,2,2,1,7,6,2,0,0,4,10,-6
2024-12-23,PHO,DEN,1,-27,14.88,3,1,1,1,1,1,2,4,4,1,0,2,4,4,-5
2024-12-25,PHO,DEN,0,10,29.93,6,3,4,1,1,2,3,13,6,0,0,1,2,8,5
2024-12-27,PHO,DAL,0,-9,13.5,4,1,1,1,0,0,2,5,2,1,1,4,3,3,-10
2025-01-06,PHO,PHI,1,10,14.35,2,1,0,0,3,4,1,7,1,0,0,2,3,5,6
2025-01-07,PHO,CHO,1,-11,18.92,6,3,3,2,0,0,1,3,3,1,1,2,5,8,-22
2025-02-12,CHO,ORL,1,-16,15.65,5,3,1,0,3,4,1,8,1,1,1,1,1,9,2
2025-02-19,CHO,LAL,1,3,18.02,3,0,3,0,0,0,0,8,7,1,2,1,1,0,8
2025-02-20,CHO,DEN,1,-14,18.7,11,4,4,0,1,1,4,10,7,1,1,2,3,9,4
2025-02-22,CHO,POR,1,-53,16.27,9,5,3,1,0,1,4,8,5,1,1,2,4,11,-22
2025-02-24,CHO,SAC,1,-42,26.88,6,4,3,1,3,4,1,9,3,3,1,4,1,12,-19
2025-03-03,CHO,GSW,0,-18,14.75,3,1,2,0,3,6,1,5,2,0,1,1,2,5,0
2025-03-05,CHO,MIN,0,-15,11.92,4,0,1,0,2,2,3,5,0,1,0,1,0,2,-16
2025-03-07,CHO,CLE,0,-1,28.27,11,6,1,0,0,2,5,15,5,1,1,1,5,12,18
2025-03-10,CHO,MIA,1,3,10.4,3,2,1,0,2,2,0,2,0,1,0,0,2,6,-11
2025-03-12,CHO,ATL,1,-13,10.9,2,1,0,0,0,0,1,5,0,0,0,1,1,2,-4
