Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,PHI,MIL,0,-15,15.07,3,1,0,0,1,2,2,5,0,0,0,0,3,3,-12
2024-10-25,PHI,TOR,1,-8,24.32,1,1,0,0,0,0,0,3,3,1,1,0,4,2,-3
2024-10-27,PHI,IND,1,4,21.58,3,3,1,1,1,2,2,3,1,1,0,0,4,8,8
2024-10-30,PHI,DET,0,-10,22.5,4,2,0,0,2,2,0,2,0,0,1,0,2,6,7
2024-11-02,PHI,MEM,0,-17,20.3,2,1,0,0,2,2,0,3,1,0,3,0,3,4,3
2024-11-04,PHI,PHO,1,-2,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-11-06,PHI,LAC,1,-12,18.45,6,5,0,0,0,0,0,4,0,1,0,0,1,10,-1
2024-11-08,PHI,LAL,1,-10,17.12,5,4,1,1,2,2,0,2,0,0,1,0,1,11,-15
2024-11-13,PHI,CLE,0,-8,15.43,3,0,2,0,0,0,0,1,0,0,0,1,4,0,4
2024-11-15,PHI,ORL,1,-12,1.22,1,1,0,0,1,2,0,0,0,0,0,0,0,3,1
2024-11-20,PHI,MEM,1,-6,5.28,0,0,0,0,0,0,0,0,1,0,1,0,2,0,13
2024-11-22,PHI,BRK,0,15,18.37,1,0,1,0,2,2,1,4,1,0,1,1,1,2,-5
2024-11-24,PHI,LAC,0,-26,26.1,3,1,0,0,2,2,2,4,3,0,0,1,2,4,-6
2024-11-27,PHI,HOU,0,-7,22.33,6,3,0,0,2,2,1,2,1,1,2,0,6,8,-5
2024-11-30,PHI,DET,1,15,27.13,8,7,2,1,4,5,3,6,3,0,3,1,3,19,7
2024-12-03,PHI,CHO,1,6,22.23,8,3,3,1,2,2,0,2,1,1,0,2,3,9,6
2024-12-04,PHI,ORL,0,-4,28.9,9,5,2,0,1,1,2,4,0,2,0,1,2,11,-6
