Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,LAC,PHO,0,-3,13.0,5,3,0,0,0,0,2,4,0,0,0,0,2,6,-5
2024-10-26,LAC,DEN,1,5,3.73,0,0,0,0,0,0,1,2,0,0,1,0,0,0,-1
2024-10-27,LAC,GSW,1,8,4.58,1,0,0,0,0,0,0,1,1,0,0,0,1,0,-1
2024-10-30,LAC,POR,0,-1,16.68,2,2,0,0,3,5,3,5,1,0,2,0,2,7,-2
2024-10-31,LAC,PHO,0,-6,9.77,1,0,0,0,0,0,1,2,0,0,1,1,0,0,3
2024-11-02,LAC,OKC,0,-13,9.83,2,2,0,0,0,0,2,2,1,0,1,1,1,4,7
2024-11-04,LAC,SAS,0,9,4.23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-9
2024-11-06,LAC,PHI,0,12,8.83,1,1,0,0,0,0,0,0,0,0,0,1,1,2,-8
2024-11-09,LAC,TOR,0,2,3.68,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2024-11-15,LAC,HOU,1,-21,11.13,2,2,0,0,0,0,1,4,0,0,1,1,2,4,-1
