Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-27,ATL,OKC,1,-24,3.05,1,0,0,0,2,2,0,1,0,0,0,0,0,2,-4
2024-10-28,ATL,WAS,0,-2,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2024-10-30,ATL,WAS,1,-13,14.7,3,3,2,2,0,0,0,1,2,0,0,0,0,8,-4
2024-11-01,ATL,SAC,0,-8,29.3,9,5,8,4,0,0,0,3,3,1,1,1,3,14,-2
2024-11-03,ATL,NOP,1,15,21.95,7,3,1,0,0,0,1,2,1,2,0,2,2,6,-3
2024-11-04,ATL,BOS,0,-30,20.7,5,2,1,0,2,2,0,4,2,4,2,2,1,6,-4
2024-11-06,ATL,NYK,0,5,12.73,7,3,3,1,0,0,0,0,0,1,0,1,1,7,-1
2024-11-08,ATL,DET,1,-1,7.0,1,1,0,0,0,0,0,0,0,0,1,2,0,2,-15
2024-11-09,ATL,CHI,0,-12,18.93,5,2,2,0,0,0,0,1,2,0,1,1,2,4,-5
2024-11-12,ATL,BOS,1,1,31.93,13,3,6,1,0,0,0,2,8,0,0,2,1,7,-6
2024-11-15,ATL,WAS,0,12,14.77,1,0,0,0,0,0,1,3,2,1,1,0,0,0,12
2024-11-17,ATL,POR,1,-4,16.88,3,0,3,0,0,0,0,1,2,1,0,1,3,0,11
