Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-12-07,TOR,DAL,0,-7,14.47,3,3,3,3,4,4,1,4,1,2,0,1,0,13,1
2024-12-09,TOR,NYK,0,-5,14.58,8,3,1,0,0,0,3,4,1,1,1,2,2,6,-15
2024-12-12,TOR,MIA,1,-10,11.62,6,0,3,0,0,2,0,4,2,2,0,0,1,0,-4
2024-12-16,TOR,CHI,0,-1,13.25,6,2,1,0,3,4,0,3,1,2,0,2,5,7,-7
2024-12-19,TOR,BRK,0,-7,17.62,5,2,1,0,4,4,1,6,5,0,0,2,4,8,6
2024-12-22,TOR,HOU,0,-4,24.93,8,3,4,2,0,0,2,9,4,2,1,5,5,8,-2
2024-12-23,TOR,NYK,1,-14,18.37,3,2,2,2,0,0,0,3,2,0,0,1,4,6,7
2024-12-26,TOR,MEM,1,-29,23.1,9,6,4,2,0,0,0,5,5,0,0,2,2,14,-8
2024-12-29,TOR,ATL,0,-29,11.72,4,1,1,0,4,4,3,6,2,0,0,4,4,6,-1
2024-12-31,TOR,BOS,1,-54,9.82,5,2,2,1,0,0,1,1,0,0,0,0,1,5,-25
2025-01-01,TOR,BRK,0,17,13.72,3,3,1,1,0,0,0,2,1,0,1,0,0,7,1
2025-01-03,TOR,ORL,0,-9,14.5,3,2,0,0,2,2,2,2,1,1,0,1,2,6,1
