Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,ORL,MIA,1,19,25.15,5,0,5,0,3,3,1,1,2,1,2,2,1,3,24
2024-10-25,ORL,BRK,0,15,25.77,7,3,5,2,2,2,0,1,2,2,2,0,1,10,12
2024-10-26,ORL,MEM,1,-13,28.25,6,1,4,0,1,1,0,2,1,2,1,1,2,3,-21
2024-10-28,ORL,IND,0,4,30.7,5,2,3,0,0,0,0,0,1,1,0,1,4,4,1
2024-10-30,ORL,CHI,1,-3,33.95,9,3,7,2,0,0,1,1,1,1,0,0,3,8,-12
2024-11-01,ORL,CLE,1,-11,27.5,3,2,2,1,2,2,0,1,1,1,0,0,3,7,-13
2024-11-03,ORL,DAL,1,-23,26.0,6,2,6,2,1,1,1,3,1,0,0,0,3,7,-8
2024-11-04,ORL,OKC,1,-16,30.82,7,1,4,1,3,3,0,5,2,4,1,1,1,6,-1
2024-11-06,ORL,IND,1,-7,37.38,10,5,5,2,1,1,2,5,2,1,0,0,1,13,5
2024-11-08,ORL,NOP,0,27,29.05,9,3,4,0,1,1,0,3,5,4,1,0,1,7,11
2024-11-10,ORL,WAS,0,27,28.0,8,2,6,1,3,3,1,5,3,0,1,1,3,8,16
2024-11-12,ORL,CHO,0,25,24.8,6,2,2,0,2,2,0,1,3,0,0,1,2,6,11
2024-11-13,ORL,IND,0,4,34.25,8,4,5,2,0,0,0,5,3,0,0,1,3,10,10
2024-11-15,ORL,PHI,0,12,33.42,9,3,6,2,0,0,0,1,1,2,0,2,2,8,8
2024-11-18,ORL,PHO,1,10,34.23,5,3,2,1,2,2,0,1,2,1,0,1,1,9,4
2024-11-20,ORL,LAC,1,-11,29.68,6,1,4,0,0,0,0,2,1,1,0,0,3,2,-18
2024-11-23,ORL,DET,0,11,24.4,6,3,4,1,1,1,0,0,2,1,2,1,1,8,16
2024-11-25,ORL,CHO,1,11,28.93,4,1,2,0,1,2,1,4,2,1,1,1,1,3,-2
2024-11-27,ORL,CHI,0,14,34.15,13,8,10,6,2,2,0,1,2,4,0,1,2,24,18
2024-11-29,ORL,BRK,1,23,29.08,8,7,5,4,1,1,2,2,3,2,1,0,1,19,31
2024-12-01,ORL,BRK,1,8,34.18,11,6,9,4,0,0,0,1,0,2,1,0,2,16,14
2024-12-03,ORL,NYK,1,-15,26.62,7,3,7,3,0,0,0,3,0,0,0,2,4,9,-20
2024-12-04,ORL,PHI,1,4,32.03,7,2,5,1,2,2,0,2,1,5,0,1,4,7,-10
2024-12-06,ORL,PHI,1,-8,33.67,7,1,5,0,0,0,0,3,2,3,1,2,2,2,4
2024-12-08,ORL,PHO,0,5,33.1,6,3,5,2,0,2,0,0,1,3,0,0,2,8,-3
2024-12-10,ORL,MIL,1,-5,31.32,7,3,2,0,1,2,0,1,1,1,0,0,2,7,-1
2024-12-15,ORL,NYK,0,-9,32.7,7,2,3,0,0,0,1,2,2,1,1,2,3,4,-2
2024-12-19,ORL,OKC,0,-6,33.0,8,3,5,3,2,2,1,1,5,1,1,2,2,11,8
2024-12-21,ORL,MIA,0,7,36.15,10,5,7,2,12,12,0,2,2,0,2,0,2,24,13
2024-12-23,ORL,BOS,0,4,34.17,8,2,6,2,2,2,0,5,2,2,2,1,3,8,1
2024-12-26,ORL,MIA,0,-1,32.12,8,5,4,1,0,0,0,2,2,3,0,1,0,11,10
2024-12-27,ORL,NYK,0,-23,31.1,11,4,6,1,1,1,0,0,3,2,0,1,1,10,-10
2024-12-29,ORL,BRK,0,1,34.03,10,2,4,0,1,1,0,1,5,2,1,0,2,5,17
2025-01-01,ORL,DET,1,-9,34.38,11,8,6,4,1,1,0,2,2,2,1,2,2,21,-17
2025-01-03,ORL,TOR,1,9,32.68,10,6,7,3,0,0,0,1,2,2,1,0,1,15,13
2025-01-05,ORL,UTA,0,-13,27.97,8,1,4,0,0,0,0,2,2,0,0,1,2,2,-12
2025-01-06,ORL,NYK,1,9,30.43,10,6,6,3,0,0,1,4,2,3,0,2,2,15,7
2025-01-09,ORL,MIN,0,-15,33.03,7,5,4,3,0,0,0,1,2,1,1,1,3,13,-20
2025-01-10,ORL,MIL,0,-3,11.38,3,1,2,1,0,0,0,1,3,1,0,3,0,3,8
2025-01-15,ORL,MIL,1,-29,22.95,9,3,7,2,0,0,0,2,1,1,0,1,0,8,-14
2025-01-17,ORL,BOS,1,-27,25.7,5,2,4,1,0,0,1,1,1,1,1,1,1,5,-19
2025-01-19,ORL,DEN,0,-13,34.68,14,4,7,2,2,3,1,1,4,1,0,1,1,12,-9
2025-01-21,ORL,TOR,1,-16,36.93,12,8,5,2,2,2,0,1,1,2,0,1,3,20,1
2025-01-23,ORL,POR,0,-22,33.83,5,2,2,0,3,4,2,2,0,2,0,1,2,7,-20
2025-01-25,ORL,DET,0,8,37.27,7,2,5,1,2,4,0,2,0,2,0,1,2,7,-5
