Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,GSW,POR,1,36,14.08,2,0,0,0,2,2,3,6,2,1,1,1,3,2,14
2024-10-25,GSW,UTA,1,41,13.42,6,4,0,0,1,2,7,10,1,0,1,1,2,9,12
2024-10-27,GSW,LAC,0,-8,20.07,9,4,0,0,2,4,5,11,3,3,0,1,4,10,-6
2024-10-29,GSW,NOP,0,18,19.95,5,2,0,0,0,0,5,9,2,2,1,1,4,4,11
2024-10-30,GSW,NOP,0,15,8.55,1,1,0,0,0,0,1,4,1,0,0,1,2,2,3
2024-11-02,GSW,HOU,1,6,20.52,3,1,0,0,5,8,2,7,2,1,1,0,3,7,12
2024-11-04,GSW,WAS,1,13,17.97,6,2,0,0,0,0,5,10,2,0,0,0,3,4,0
2024-11-06,GSW,BOS,1,6,15.87,5,3,0,0,0,0,6,10,0,0,0,0,4,6,4
2024-11-08,GSW,CLE,1,-19,15.67,6,4,0,0,1,1,1,7,1,2,0,0,2,9,2
2024-11-12,GSW,DAL,0,3,14.82,5,2,0,0,1,2,9,11,2,1,0,2,2,5,-9
2024-11-15,GSW,MEM,0,5,12.5,4,2,0,0,2,4,3,7,3,0,0,1,2,6,4
2024-11-20,GSW,ATL,0,23,13.47,3,1,0,0,0,3,2,5,1,0,0,0,1,2,-4
2024-11-22,GSW,NOP,1,4,14.17,2,2,0,0,0,0,2,7,2,0,0,0,2,4,3
2024-11-23,GSW,SAS,1,-10,12.67,5,4,0,0,0,2,3,7,0,2,0,2,2,8,-10
2024-11-25,GSW,BRK,0,-8,12.52,3,2,0,0,0,2,1,4,0,2,0,1,3,4,7
2024-11-27,GSW,OKC,0,-4,11.87,5,1,0,0,1,2,5,9,1,0,0,1,2,3,-1
2024-11-30,GSW,PHO,1,-8,16.07,4,4,0,0,1,1,2,6,1,0,0,0,2,9,1
2024-12-03,GSW,DEN,1,-4,24.57,3,2,0,0,1,4,4,11,5,2,1,3,6,5,-3
