Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-11-02,LAC,OKC,0,-13,4.22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
2024-11-06,LAC,PHI,0,12,3.37,1,1,0,0,0,0,0,0,0,0,0,0,0,2,-7
2024-11-13,LAC,HOU,1,-8,8.08,5,2,2,0,0,0,2,5,1,0,0,0,0,4,8
2024-11-15,LAC,HOU,1,-21,10.38,7,2,2,0,1,2,2,4,0,1,0,0,1,5,-1
2024-11-20,LAC,ORL,0,11,2.65,1,0,0,0,0,0,1,2,0,0,0,0,1,0,-3
2024-11-24,LAC,PHI,1,26,13.18,4,3,1,0,0,0,0,4,2,0,0,0,3,6,-2
2024-11-25,LAC,BOS,1,-32,5.2,2,1,1,1,0,0,0,0,0,0,0,0,0,3,-7
2024-12-31,LAC,SAS,1,-36,12.0,6,2,1,1,0,0,0,0,0,0,0,0,1,5,-8
2025-01-02,LAC,OKC,1,-18,8.82,0,0,0,0,0,0,1,3,1,0,0,0,2,0,5
2025-01-04,LAC,ATL,0,26,5.1,2,2,0,0,1,1,0,4,1,0,0,1,0,5,4
