Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,LAC,PHO,0,-3,20.25,4,2,2,1,0,0,2,4,2,2,0,1,1,5,-5
2024-10-26,LAC,DEN,1,5,18.63,6,4,5,3,0,0,1,6,1,0,0,1,5,11,8
2024-10-27,LAC,GSW,1,8,28.45,5,3,2,0,0,1,0,9,4,4,0,2,2,6,20
2024-10-30,LAC,POR,0,-1,18.28,3,3,0,0,0,0,0,2,2,0,0,1,1,6,-2
2024-10-31,LAC,PHO,0,-6,23.53,5,2,2,2,0,0,3,4,2,0,0,0,3,6,1
2024-11-02,LAC,OKC,0,-13,19.62,8,4,5,2,1,3,1,4,4,1,0,2,3,11,-11
2024-11-04,LAC,SAS,0,9,25.43,9,4,5,2,1,2,0,3,1,0,2,0,5,11,24
2024-11-06,LAC,PHI,0,12,18.27,3,2,1,0,0,0,1,1,5,2,0,2,3,4,17
2024-11-08,LAC,SAC,1,9,18.13,1,0,1,0,0,0,1,3,1,0,0,0,3,0,-5
2024-11-09,LAC,TOR,0,2,19.88,3,3,1,1,0,0,0,3,0,1,0,1,1,7,-4
2024-11-11,LAC,OKC,1,-6,27.72,6,3,5,2,1,2,1,4,8,0,0,0,5,9,4
2024-11-13,LAC,HOU,1,-8,30.63,10,5,4,1,0,0,0,4,8,2,0,1,4,11,11
2024-11-15,LAC,HOU,1,-21,19.28,13,6,7,1,0,0,1,2,2,1,1,0,2,13,-19
2024-11-17,LAC,UTA,0,11,25.2,8,4,6,3,0,0,2,4,4,2,0,0,0,11,5
2024-11-18,LAC,GSW,0,3,18.88,6,3,3,1,0,0,0,2,1,1,0,3,3,7,6
2024-11-20,LAC,ORL,0,11,25.53,8,3,2,1,0,0,0,3,3,1,0,5,2,7,12
