Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,GSW,POR,1,36,5.12,3,3,2,2,0,0,0,1,0,0,0,0,2,8,8
2024-10-25,GSW,UTA,1,41,6.82,3,2,3,2,0,0,0,1,1,1,0,0,0,6,11
2024-10-27,GSW,LAC,0,-8,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-29,GSW,NOP,0,18,30.57,13,8,7,3,2,2,3,8,4,1,0,0,3,21,26
2024-10-30,GSW,NOP,0,15,29.97,5,1,5,1,0,0,0,1,3,1,1,0,1,3,13
2024-11-02,GSW,HOU,1,6,17.45,4,1,2,0,0,0,0,1,3,0,0,0,0,2,-3
2024-11-04,GSW,WAS,1,13,13.87,4,1,3,1,0,0,1,3,1,0,0,0,2,3,-2
2024-11-06,GSW,BOS,1,6,13.9,2,0,1,0,0,0,0,2,1,0,0,0,0,0,-1
2024-11-08,GSW,CLE,1,-19,4.73,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1
2024-11-15,GSW,MEM,0,5,10.55,4,3,3,2,0,0,0,0,1,0,1,1,1,8,3
2024-11-18,GSW,LAC,1,-3,28.5,6,2,4,2,0,0,1,5,1,3,0,0,1,6,-4
2024-11-20,GSW,ATL,0,23,23.08,9,4,5,2,0,0,0,3,1,1,0,0,4,10,16
2024-11-22,GSW,NOP,1,4,15.17,3,0,3,0,0,0,0,0,2,0,0,1,1,0,-1
2024-11-23,GSW,SAS,1,-10,25.18,12,4,8,3,0,0,2,4,1,0,1,0,3,11,-8
2024-11-25,GSW,BRK,0,-8,27.7,10,5,5,2,1,1,0,4,1,1,1,2,4,13,-5
2024-11-27,GSW,OKC,0,-4,24.33,7,1,7,1,1,2,1,6,1,1,1,0,3,4,-9
2024-11-30,GSW,PHO,1,-8,13.37,3,1,3,1,0,0,0,3,1,0,0,0,1,3,-6
2024-12-06,GSW,MIN,0,-17,19.72,7,2,7,2,0,0,0,0,0,0,0,1,1,6,-3
