Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,OKC,DEN,1,15,28.58,7,2,2,0,1,1,1,2,0,3,1,0,3,5,-1
2024-10-26,OKC,CHI,1,19,24.73,5,2,3,1,2,2,0,2,1,0,0,1,0,7,16
2024-10-27,OKC,ATL,0,24,28.83,7,5,6,4,2,2,1,2,1,0,0,0,5,16,17
2024-10-30,OKC,SAS,0,12,25.08,9,7,8,6,0,0,3,6,1,0,2,0,1,20,6
2024-11-01,OKC,POR,1,23,25.47,9,3,4,1,1,1,1,5,2,4,2,0,1,8,14
2024-11-02,OKC,LAC,1,13,29.73,12,6,4,1,3,4,1,4,3,0,0,0,4,16,2
2024-11-04,OKC,ORL,0,16,27.9,6,2,4,2,0,0,1,3,1,2,0,2,3,6,0
2024-11-06,OKC,DEN,1,-2,25.65,6,3,5,3,2,2,0,6,3,3,2,1,4,11,5
2024-11-08,OKC,HOU,0,19,18.98,7,1,5,1,0,0,0,0,1,0,0,1,3,3,7
2024-11-10,OKC,GSW,0,-11,29.63,11,6,8,3,1,1,1,6,3,1,1,0,4,16,-9
2024-11-11,OKC,LAC,0,6,35.17,14,7,8,4,1,1,0,2,1,2,0,3,5,19,6
2024-11-13,OKC,NOP,0,18,32.15,6,3,5,3,2,4,0,3,1,2,1,0,3,11,6
2024-11-15,OKC,PHO,0,16,31.6,11,5,7,2,3,3,3,9,2,0,1,1,1,15,23
2024-11-17,OKC,DAL,0,-2,35.62,10,5,9,4,4,6,2,5,3,0,0,1,2,18,13
2024-11-19,OKC,SAS,1,-6,32.45,12,2,8,2,0,0,6,12,2,2,1,2,2,6,3
2024-11-20,OKC,POR,0,10,29.82,7,0,6,0,2,2,1,5,2,0,1,0,4,2,-3
2024-11-25,OKC,SAC,1,21,39.45,2,0,0,0,0,0,2,10,2,2,1,0,2,0,20
2024-11-27,OKC,GSW,1,4,31.87,5,1,3,0,0,0,2,5,2,1,1,1,4,2,-1
2024-11-29,OKC,LAL,1,8,24.13,8,5,5,4,0,0,2,2,2,0,0,0,5,14,6
2024-12-01,OKC,HOU,1,-3,26.9,6,2,5,2,0,0,1,3,6,1,2,0,6,6,2
