Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,DET,IND,0,-6,27.83,13,5,6,2,2,3,0,3,1,0,0,1,2,14,-5
2024-10-25,DET,CLE,1,-12,29.3,11,5,6,3,0,0,0,4,1,0,1,1,1,13,-6
2024-10-26,DET,BOS,0,-6,20.32,10,5,8,5,2,2,0,3,0,0,0,1,0,17,1
2024-10-28,DET,MIA,1,-8,18.65,12,1,7,1,0,0,0,0,1,1,0,1,1,3,0
2024-10-30,DET,PHI,1,10,25.5,11,4,10,3,0,1,2,3,3,0,0,1,1,11,1
2024-11-01,DET,NYK,0,-30,25.35,9,3,6,2,0,0,0,0,1,1,0,3,0,8,-26
2024-11-03,DET,BRK,1,14,29.32,15,6,11,4,2,3,0,1,1,2,0,0,3,18,18
2024-11-04,DET,LAL,0,12,28.48,10,2,5,1,2,2,1,4,1,0,0,1,3,7,-6
2024-11-06,DET,CHO,1,-1,24.33,11,2,7,1,0,0,0,1,5,2,0,0,1,5,12
2024-11-08,DET,ATL,0,1,33.53,14,8,9,3,3,5,2,2,1,0,0,2,2,22,-3
2024-11-10,DET,HOU,0,-2,27.47,12,5,9,4,1,2,1,2,3,1,0,3,2,15,8
2024-11-12,DET,MIA,0,2,35.3,17,7,11,5,2,3,1,5,1,1,0,4,2,21,-9
2024-11-13,DET,MIL,1,-7,44.4,17,9,16,8,0,0,2,10,4,0,0,2,2,26,13
2024-11-15,DET,TOR,1,4,30.42,15,8,9,4,0,0,0,3,0,1,0,0,2,20,-7
2024-11-17,DET,WAS,1,20,29.27,16,10,11,6,0,0,1,3,1,1,0,0,0,26,30
2024-11-18,DET,CHI,0,-10,30.35,19,8,14,5,0,0,3,4,2,1,0,0,2,21,-11
2024-11-21,DET,CHO,1,-2,34.37,15,5,12,4,2,2,1,6,1,0,0,1,2,16,11
2024-11-23,DET,ORL,1,-11,31.48,12,7,9,4,0,0,1,1,4,1,0,1,1,18,1
2024-11-25,DET,TOR,0,2,32.8,16,4,14,3,3,4,0,2,5,1,0,3,3,14,10
2024-11-27,DET,MEM,1,-20,20.47,6,4,4,2,0,0,0,2,3,1,0,0,0,10,-7
2024-11-29,DET,IND,1,24,28.75,14,10,9,5,0,1,0,1,1,2,0,0,1,25,30
2024-11-30,DET,PHI,0,-15,26.82,9,6,5,4,3,3,0,6,4,0,0,1,1,19,-10
2024-12-03,DET,MIL,0,-21,17.87,10,2,4,0,0,0,0,3,0,0,0,0,0,4,-7
2024-12-04,DET,BOS,1,-10,32.63,16,8,11,6,1,1,1,4,1,2,0,0,1,23,6
2024-12-07,DET,NYK,1,9,26.22,13,7,10,7,2,2,0,4,1,1,0,2,1,23,6
2024-12-12,DET,BOS,1,-24,16.18,7,2,3,0,1,2,0,4,3,0,0,0,0,5,-27
2024-12-16,DET,MIA,0,1,40.73,18,9,13,7,3,3,0,3,4,0,1,2,2,28,8
2024-12-19,DET,UTA,0,-7,34.5,26,9,19,7,1,3,0,2,4,1,0,0,0,26,7
