Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-24,SAC,MIN,0,-2,26.4,9,6,2,1,4,5,0,1,4,0,0,0,1,17,-7
2024-10-26,SAC,LAL,1,-4,27.83,14,6,7,2,0,0,0,3,5,1,0,0,3,14,20
2024-10-28,SAC,POR,0,13,18.52,6,3,5,3,3,3,0,4,0,1,1,1,2,12,-2
2024-10-29,SAC,UTA,1,17,26.03,11,2,8,2,1,2,0,4,3,0,1,1,1,7,8
2024-11-01,SAC,ATL,1,8,28.88,9,3,3,0,3,4,0,4,6,0,0,1,0,9,4
2024-11-02,SAC,TOR,1,-3,38.37,16,9,7,3,0,0,0,4,4,2,0,1,3,21,3
2024-11-04,SAC,MIA,1,1,24.33,11,6,3,0,0,0,0,1,0,0,0,1,4,12,-4
2024-11-06,SAC,TOR,0,15,21.22,12,4,4,1,4,5,0,5,1,2,0,1,1,13,5
2024-11-08,SAC,LAC,0,-9,31.17,13,6,3,0,5,5,0,1,3,2,2,1,2,17,1
2024-11-10,SAC,PHO,1,9,7.5,3,1,1,0,2,2,0,3,2,1,0,1,1,4,4
2024-11-25,SAC,OKC,0,-21,26.0,12,4,7,2,4,6,0,1,3,1,1,1,5,14,-19
