Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2024-10-23,MIL,PHI,1,15,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-25,MIL,CHI,0,-11,1.82,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2
2024-10-27,MIL,BRK,1,-13,3.43,3,1,1,0,2,2,0,0,0,1,0,2,2,4,4
2024-10-28,MIL,BOS,1,-11,2.73,2,1,2,1,0,0,0,0,0,0,0,0,1,3,4
2024-10-31,MIL,MEM,1,-23,4.73,3,1,1,0,0,0,1,2,0,0,0,1,0,2,-1
2024-11-07,MIL,UTA,0,23,3.22,2,1,1,0,0,0,0,2,0,0,0,1,0,2,-1
2024-11-08,MIL,NYK,1,-22,8.38,3,1,0,0,2,2,1,2,1,0,0,0,0,4,6
2024-11-12,MIL,TOR,0,14,1.93,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1
2024-11-20,MIL,CHI,0,16,1.6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2024-11-22,MIL,IND,0,12,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024-11-26,MIL,MIA,1,3,6.43,1,1,1,1,0,0,0,2,0,0,0,0,0,3,1
2024-12-20,MIL,CLE,1,-23,12.0,4,3,1,1,1,2,0,4,1,0,0,3,1,8,4
2024-12-21,MIL,WAS,0,11,1.72,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-4
2024-12-23,MIL,CHI,1,21,3.63,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-1
2025-01-02,MIL,BRK,0,-3,6.65,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18
2025-01-06,MIL,TOR,1,24,6.6,3,1,2,0,0,0,0,0,0,0,1,1,1,2,-5
2025-01-08,MIL,SAS,0,16,2.8,2,1,0,0,0,0,1,1,0,0,0,0,0,2,-4
2025-01-12,MIL,NYK,1,-34,11.32,5,2,2,1,0,0,1,2,0,1,0,0,0,5,-8
2025-01-14,MIL,SAC,0,15,2.52,2,0,1,0,2,2,0,1,0,0,0,0,0,2,-6
2025-01-15,MIL,ORL,0,29,4.95,3,2,1,1,1,2,0,1,0,0,0,0,0,6,5
2025-01-23,MIL,MIA,0,29,3.95,1,0,1,0,0,0,0,2,1,0,0,0,0,0,3
2025-01-25,MIL,LAC,1,-10,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-01-28,MIL,POR,1,-13,6.45,1,1,1,1,0,0,0,1,1,0,0,0,1,3,-4
2025-01-31,MIL,SAS,1,-26,3.77,1,0,0,0,0,0,1,1,0,0,0,1,0,0,-7
2025-02-03,MIL,OKC,1,-29,17.0,7,2,2,1,1,2,1,6,4,1,0,0,3,6,9
2025-02-05,MIL,CHO,1,10,1.92,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-6
2025-02-08,LAC,UTA,0,20,2.0,1,1,1,1,0,0,0,0,1,0,0,0,0,3,3
2025-02-12,LAC,MEM,0,14,2.63,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2
2025-02-23,LAC,IND,1,-18,12.6,5,3,1,1,2,4,2,3,1,0,0,1,2,9,4
2025-03-10,NYK,SAC,1,29,4.73,3,1,2,1,0,0,0,2,0,0,0,1,1,3,-5
