Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2025-02-21,SAC,GSW,0,-24,9.6,5,4,0,0,0,0,0,0,1,0,0,3,0,8,-2
2025-02-24,SAC,CHO,0,42,18.18,7,2,2,1,0,0,1,3,1,3,0,3,3,5,12
2025-02-26,SAC,UTA,1,17,4.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2025-03-01,SAC,HOU,1,10,3.98,2,2,0,0,1,1,0,0,1,0,0,0,0,5,5
2025-03-03,SAC,DAL,1,24,16.28,5,3,0,0,0,0,0,1,4,1,0,3,1,6,1
2025-03-05,SAC,DEN,1,-6,9.63,2,0,0,0,0,0,0,1,0,0,1,1,0,0,-1
2025-03-07,SAC,SAS,0,18,3.68,2,0,0,0,0,0,1,1,0,0,0,0,0,0,-6
2025-03-09,SAC,LAC,1,-1,2.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
2025-03-10,SAC,NYK,0,-29,7.77,4,1,1,0,0,0,0,0,2,1,0,0,0,2,-5
2025-03-13,SAC,GSW,1,-26,3.37,2,0,0,0,0,0,0,0,0,0,0,0,1,0,-6
